id	confidence	reasons	length_ratio	correct_answer	qtext_preview	ocr_preview	image_url
03d10203-5714-5612-b2a4-347ac53f2de5	high	italic_i_segment	1.142	B	O merkezli çember ADO üçgen $AO \perp OD$ $OC = AB$ $|OCI| = 12$ birim $|ODI| = 15$ birim Buna göre, $|DB|$ kaç birimdir	O merkezli çember ADO üçgen AO ⊥ OD OC ⊥ AB |OC| = 12 birim |OD| = 15 birim  Buna göre, |DB| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0196_q01.png
06133c2a-6f61-5e90-97cc-7543374ca60f	high	italic_i_segment	1.118	C	ABC üçgen, $AE \perp BC$, $EF \parallel DB$, $|DE|=|EC|=8$ birim, $|EFI|=2$ birim. Buna göre, $|AD|$ kaç birimdir?	ABC üçgen AB ⊥ BC BD ⊥ AC EF // DB |DE| = |EC| = 8 birim |EF| = 2 birim  Buna göre, |AD| kaç birimdir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0044_q03.png
07d4229e-1b04-5893-9f07-bc008458b342	high	broken_text_o	1.396	A	ABC üçgen $[AD]$ iç açıortay $|EC| = |CD|$ $m(\widehat{ADE}) = 37^ ext{o}$ $m(\widehat{ABC}) = x$ Buna göre, $x$ kaç der	ABC üçgen [AD] iç açıortay |EC| = |CD| m(AÊD) = 37° m(AÊC) = x  Buna göre, x kaç derecedir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0020_q04.png
0e0acaf4-d8f0-59b2-b443-aec1af6d5012	high	broken_text_o	1.016	D	ABC üçgen $|AD| = |AB| = |BE|$ $m(\widehat{ABC}) = 80^ ext{o}$ $m(\widehat{ACB}) = 40^ ext{o}$ Buna göre, $x$ kaç derece	7.  ABC üçgen |AD| = |AB| = |BE| m(A$\hat{B}$C) = 80° m(A$\hat{C}$B) = 40° m(D$\hat{E}$B) = x  Buna göre, x kaç derecedi	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0018_q01.png
0f4573dc-3ef7-5316-8cf4-0a26f90cc128	high	italic_i_brackets	1.278	B	ABC dik üçgen, $AB \perp AC$, $ED \perp BC$, $CD = IDBI$, $|AE| = 3$ birim, $|EB| = 5$ birim. Buna göre, $A(\text{AED})$	ABC dik üçgen AB ⊥ AC ED ⊥ BC |CD| = |DB| |AE| = 3 birim |EB| = 5 birim  Buna göre, A(AED) kaç birimkaredir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0100_q01.png
112c6ced-9073-5888-9037-983fa0237904	high	broken_text_o	1.488	A	ABC üçgen $AD \perp BC$ $|AC| = |BC|$ $m(\widehat{ACB}) = 20^ ext{o}$ $m(\widehat{BAD}) = x$ Buna göre, $x$ kaç derecedi	ABC üçgen AD ⊥ BC |AC| = |BC| m(ACB) = 20° m(BAD) = x  Buna göre, x kaç derecedir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0014_q03.png
1343ec68-e426-5c7b-8a95-e9615f97a6f6	high	broken_text_o	1.505	A	ABC dik üçgen $AC \perp CB$ $m(\widehat{ADC}) = 30^ ext{o}$ $|BD| = 2$ birim $m(\widehat{BAC}) = 75^ ext{o}$ Buna göre, 	ABC dik üçgen AC ⊥ CB m(ADC) = 30° |BD| = 2 birim m(BAC) = 75°  Buna göre, |AC| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0048_q03.png
15996f80-a535-5c04-8625-5c3b54dcb79f	high	broken_text_o	1.503	C	ABC üçgen ADC eşkenar üçgen $[KL] \perp [AD]$, $[KM] \perp [AC]$, $[KN] \perp [BC]$ $m(\text{ABC}) = 30^ ext{o}$ $|KL| =	ABC üçgen ADC eşkenar üçgen [KL] ⊥ [AD], [KM] ⊥ [AC], [KN] ⊥ [BC] m(ABC) = 30° |KL| = 1 cm, |KN| = 3 cm, |AB| = 16 cm ol	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0062_q04.png
1aa62049-d039-52ab-902d-9193fcd8e918	high	broken_text_o	1.297	D	$|DC|=2 \text{ cm}$, $|AD|=4 \text{ cm}$, $|BA|=5 \text{ cm}$'dir. Şekildeki dik yamuğun $AB$ kenarı etrafında $360^ ext	|DC| = 2 cm, |AD| = 4 cm, |BA| = 5 cm'dir.  Şekildeki dik yamuğun AB kenarı etrafında 360° döndürülmesiyle elde edilen c	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0427_q03.png
1acce595-622f-54e3-b47d-c25ba871fd6c	high	broken_text_o	1.515	B	ABC üçgen $|AB| = |BD| = |DC|$ $m(\widehat{ABD}) = 60^ ext{o}$ $m(\widehat{DBC}) = 10^ ext{o}$ Verilenlere göre, $m(\wid	ABC üçgen |AB| = |BD| = |DC| m(ABD) = 60° m(DBC) = 10°  Verilenlere göre, m(ACD) = x kaç derecedir?	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0042_q03.png
1c63d970-e8cc-57c3-8877-d1d3c9ed4315	high	broken_text_o	1.267	C	G; ABC üçgeninin ağırlık merkezi $AB \perp AC$ $m(\widehat{ACG}) = 30^ ext{o}$ $|AB| = 9$ cm Verilenlere göre, $|GC| = x	G: ABC üçgeninin ağırlık merkezi AB ⊥ AC m(ACG) = 30° |AB| = 9 cm  Verilenlere göre, |GC| = x kaç cm dir?	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0120_q03.png
1cefdc7c-d587-5485-ad9c-c9cfb29168f8	high	italic_i_segment	1.169	B	ABCD kare, $[EC] \perp [BF]$, $|IF| = 3$ cm, $|EFI| = 1$ cm olduğuna göre, $|DC| = x$ kaç santimetredir?	ABCD kare [EC] ⊥ [BF] |FC| = 3 cm |EF| = 1 cm  olduğuna göre, |DC| = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0257_q08.png
1eb97730-2641-5747-86dd-598f09cd9c7e	high	italic_i_segment	0.992	E	Analitik düzlemde ABCO kare, $|AE|=|CD|=|TI|$. $2|OT|=|BT|$, C(4, a). Yukarıdaki verilere göre, A(DTE) kaç birimkaredir?	Analitik düzlemde ABCO kare, [AE] ∩ [CD] = {T}, 2|OT| = |BT|, C(4, a)  Yukarıdaki verilere göre, A(DTE) kaç birimkaredir	/static/crops/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0362_q05.png
26e765c6-d385-582a-b498-7a09b92ebf3c	high	italic_i_segment	1.082	C	ABCD kare $DG \perp CF$ $|DE| = 4\sqrt{2}$ birim $|EG| = \sqrt{2}$ birim Buna göre, $|EFI|$ kaç birimdir?	ABCD kare DG ⊥ CF |DE| = $4\sqrt{2}$ birim |EG| = $\sqrt{2}$ birim  Buna göre, |EF| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0148_q06.png
27ba6169-7ff2-57f7-95b8-61bafa097c17	high	broken_text_o	1.362	C	ABCD yamuk $[DC] \parallel [AB]$ $[AC] \perp [BC]$ $|AB| = 2|AD|$ $m(\widehat{DAB}) = 60^ ext{o}$ Yukarıda verilenlere g	12. ABCD yamuk [DC] // [AB] [AC] ⊥ [BC] |AB| = 2|AD| m(DÂB) = 60°  Yukarıda verilenlere göre, m(A͡BC) kaç derecedir?	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0215_q06.png
28a66f91-f175-5512-bb57-2fd28a0274fd	high	broken_text_o	1.358	E	ABC ve BCD üçgen $[BD]$ ve $[CA]$ açıortay $m(\text{BAC})=90^ ext{o}$ $m(\text{BDC})=60^ ext{o}$ olduğuna göre, $m(\text	ABC ve BCD üçgen [BD] ve [CA] açıortay m(BÂC) = 90° m(B̂DC) = 60° olduğuna göre, m(AÊD) = x kaç derecedir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0027_q05.png
28aa90ff-146f-5b36-8543-933a4909aaf2	medium	truncation_lr=0.64	0.637	B	Dik koordinat düzleminde verilenlere göre, OAB üçgensel bölgesinin ağırlık merkezinin ordinatı kaçtır?	ABO üçgen OA ⊥ AB AC ⊥ OB |OC| = 12 birim |CB| = 3 birim  Dik koordinat düzleminde verilenlere göre, OAB üçgensel bölges	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0238_q01.png
29606c61-74f0-5973-8bd4-0ca28179bfcd	high	broken_text_o	0.994	B	ABC ikizkenar üçgen, $|AB|=|AC|$, $m(\widehat{BAC})>60^ ext{o}$. Buna göre, I. $|a-b|-|c-a|=0$'dır. II. $|b-c|+|a-b|=b$'	ABC ikizkenar üçgen, |AB| = |AC| m(BAC) > 60°  Buna göre, I. |a - b| - |c - a| = 0'dır. II. |b + c - a| + |a - b| = b'di	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0172_q05.png
2b08a35e-ce97-5293-91f5-693a64fa86de	high	italic_i_brackets	1.163	A	ABCDE düzgün beşgen, $DF \perp EC$, $IEG = IGBI$, $|AB| = 10$ birim. Buna göre, $|FG|$ kaç birimdir?	ABCDE düzgün beşgen DF ⊥ EC |EG| = |GB| |AB| = 10 birim  Buna göre, |FG| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0172_q04.png
