id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	topic_quality	has_diagram	verdict	error_type	notes
9fc756a1-7f80-5901-9d63-407848320c97	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	181	log a = 2 olduğuna göre, $\frac{\ln a + \ln b}{\ln a - \ln b}$ ifadesinin değeri kaçtır?	1	2	3	4	5	C	exact	false	fail	incomplete	log b verilmemis, ifade hesaplanamaz
ebd6e4ba-1ddc-5a5a-9e3d-a483b0742a8f	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	261	"Serpil severek izlediği bir televizyon dizisi ile ilgili bir arkadaşına; ""Ben diziyi seyretmeye bu yıl başladım ama aslında bu dizi iki kez ben doğmadan 5 sene önce yayınlanmış. Dizideki iki başrol oy"	2002	2003	2004	2005	2006	B	fuzzy	false	fail	ocr	Text cut off (oy...)
0186e3d9-77bf-5db7-826c-8c104f1b8d1d	MATEMATIK	Orijinal-2025-Ayt-Polinom parabol	192	$f(x) = x^2 + 2x + 1$ parabolü önce x eksenine göre yansıtılıyor. Daha sonra yansıtılan parabol y ekseni boyunca 3 birim sola, düşey eksen boyunca 9 birim yukarı ötelenerek yeni bir $g(x)$ parabolü el	-3	-4	-5	-6	-7	D	fallback	false	unclear	ocr	Text cut off; g(x) tepe (-4,9) hesap, ama soru ne sorduğu belirsiz
4b53254d-3b37-5308-8df1-f9116f4db78b	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	125	$a$ ve $b$ gerçel sayılar olmak üzere, gerçel sayılar kümesi üzerinde tanımlı $f(x) = x^2-2x+3$ fonksiyonunun grafiği $a$ birim sağa, $b$ birim aşağı ötelenerek $g(x) = x^2-4x+4$ fonksiyonu elde edili	3	4	5	6	7	A	fuzzy	false	pass		a=1 b=2, a+b=3=A dogal okuma
ad1b8275-205b-5781-b971-52e104ff9305	MATEMATIK	345 2025 Start Matematik	180	$rac{5}{2x} - rac{1}{8x} = rac{1}{12} + rac{1}{x}$ olduğuna göre, $x$ kaçtır?	$rac{1}{2}$	$rac{3}{2}$	$rac{5}{2}$	$rac{7}{2}$	$rac{9}{2}$	B	fuzzy	false	fail	wrong_answer	x=33/2 cikar, B=3/2 yanlis (olasi OCR 33/2 -> 3/2)
a1e83207-eee9-5904-8c82-d1f6e1ef4a7c	MATEMATIK	Aromat-2023-Ayt-Matematik Soru Bankası	124	Yukarıda verilen beş açıdan esas ölçüleri birbirine eşit olan iki açı silindikten sonra, geriye kalan üç açıdan esas ölçüleri birbirine eşit olan iki açı daha siliniyor. Buna göre, en son kalan açı aş	-1520°	-640°	1930°	-1720°	-230°	C	exact	false	fail	incomplete	Yukarida verilen 5 aci listesi yok
ed27de1c-df37-5387-aba8-f777d15815d1	MATEMATIK	Bilgi Sarmalı-2023-2024-Ayt-Matematik Soru Bankası	317	Gerçek sayılar kümesi üzerinde türevlenebilir $f$ ve $g$ fonksiyonları için $f(3)=1$, $g(2)=3$, $(f \circ g)(2)=6$ eşitlikleri veriliyor. Buna göre, $g'(2)$ kaçtır?	1	2	3	6	18	B	exact	false	fail	incomplete	f'(3) verilmemis, sadece f(3)=1; chain rule eksik
204c37e6-da60-5f74-9b76-b3331d9e046d	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	361	$P(x)$ bir polinom olmak üzere, $\text{der}[f'(x^2) \cdot P(x)] = 10$ $\int x^2 \cdot P(x)dx = x^5 + x^3 - 10$ olduğuna göre, $\text{der}[x \cdot P(x^2)]$ kaçtır?	7	8	9	10	11	C	fuzzy	false	fail	wrong_answer	P(x)=5x^2+3 -> der[xP(x^2)]=5, C=9 yanlis (integral x^5 OCR'da x^7 olsa C dogru)
c45f79fe-dd56-5743-8560-65c7eaef861b	MATEMATIK	Full Matematik-Ayt-Matematik Soru Bankası	175	$\tan 5x + \cot 2x = 0$ denkleminin $[0, 2\pi]$ aralığında kaç farklı kökü vardır?	2	4	5	6	8	E	exact	false	fail	wrong_answer	4 kok dogrulandi (pi/6, 5pi/6, 7pi/6, 11pi/6); E=8 yanlis
26335fac-96da-54b2-98a1-5c1742b5b852	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	206	"Arda, Burak, Cenk ve Doğan isimli dört arkadaş bir lokantada yemek yemişlerdir.

Ceplerinde sadece 50 TL, 100 TL ve 200 TL'lik banknotlar bulunan arkadaşlardan hesap defterinin içine; Arda 200 TL, Bur"	10	20	30	40	50	B	fuzzy	false	fail	ocr	Text cut off (Bur...)
593d482b-97bc-52f5-9a13-385f818f80e9	MATEMATIK	Orijinal-2024-Tyt Ayt-Fonksiyonlar	139	$f: (-\infty, 1] \cup [2, \infty)$ aralığında tanımlı $f(x) = \begin{cases} 7x-5, & x \le 1 \\ 5x+a, & x \ge 2 \end{cases}$ fonksiyonu bire bir olduğuna göre, $a$'nın alabileceği en küçük tam sayı değ	-6	-7	-8	-9	-10	D	exact	false	fail	wrong_answer	Bire bir icin a > -8; smallest int = -7 = B; D=-9 yanlis (overlap)
8c365bc0-32f0-58f7-af18-7f736ac38ef3	MATEMATIK	CAP-2022-2023-TYT-Matematik Soru Bankası	116	Ayda bir oyun oynuyor. Verilen bir sayı $||...||$ şeklinde iki çizgi arasına alınırsa sayının sayı doğrusu üzerinde 0 noktasına olan uzaklığını alıyor. $|x|$ şeklinde iki çizgi arasına alınırsa sayını	17	19	21	25	35	C	exact	false	fail	ocr	Text cut off (sayini...)
38269b1c-bbbd-58d8-a779-aada25e12b0f	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	48	$2x^2+mx+n=0$ ve $x^2+3x+1=0$ denklemlerinin çözüm kümeleri aynı olduğuna göre, $m-n$ çarpımı kaçtır?	2	3	6	12	24	D	fuzzy	false	pass		Vieta: m=6 n=2, m*n=12=D (m-n notation OCR olasi)
28a9ac44-bb73-55ed-b42a-03366e5e4786	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	324	4 cm uzunluğundaki bir telden bir eşkenar üçgenle bir kare meydana getiriliyor. Alanlar toplamının minimum olması için eşkenar üçgenin bir kenarı kaç cm olmalıdır?	12/(9+4\sqrt{3})	11/(9+4\sqrt{3})	10/(9+4\sqrt{3})	8/(9+4\sqrt{3})	6/(9+4\sqrt{3})	E	fuzzy	false	fail	wrong_answer	Optimizasyon: a=12/(9+4sqrt(3))=A; E=6/(9+4sqrt(3)) yanlis (tam yarisi)
64bad36d-4377-5559-8b45-4c8a0a70fe61	MATEMATIK	Bilgi Sarmalı-2024-Ayt-Matematik Soru Bankası	60	Gerçel katsayılı ve dördüncü dereceden olan bir $P(x)$ polinomu, her $x$ gerçel sayısı için $P(x)-2x>0$ eşitsizliğini sağlıyor. $P(1)=2$, $P(2)=4$, $P(3)=10$ olduğuna göre, $P(4)$ kaçtır?	40	42	44	46	48	E	exact	false	fail	wrong_answer	Q(x)=(x-1)^2(x-2)^2, Q(3)=4, Q(4)=36, P(4)=44=C; E=48 yanlis
fb09ff13-0ebf-5c6b-b752-e4c1ca9160de	MATEMATIK	ACİL-2025-Matematiğin İlacı Sayılar-1	162	$a=2,\overline{123}$, $b=2,1\overline{23}$, $c=2,12\overline{3}$ olduğuna göre, $a, b$ ve $c$'nin doğru sıralanışı aşağıdakilerden hangisidir?	$a<b<c$	$b<a<c$	$c<b<a$	$a<c<b$	$c<a<b$	A	fuzzy	false	pass		Devirli ondalik: 2.1231 < 2.1232 < 2.1233 -> a<b<c=A
c754c95d-8993-52e9-a0a6-16e2200b95ca	MATEMATIK	2020-2021-Acil-Problemlerin ilacı	117	Yasemin, yeterince uzun bir karta adını büyük harflerle yan yana olacak şekilde 21 kez yazıyor. Daha sonra bu kartı soldan sağa doğru ve her parçasında 6 harf bulunacak şekilde sırasıyla kesmeye başlı	N	İN	MİN	EMİN	SEMİN	C	fuzzy	false	pass		YASEMIN 21 kez, 147 harf/6 = 24 parca + 3 harf MIN=C
9451ced4-3b41-5174-980e-74c396fdfd9c	MATEMATIK	PES-Konu özetleri-Problemler Kampı	51	"Saatteki hızları $V_1$, $V_2$ ve $V_3$ olan üç araç A kentinden B kentine gidecektir.
• $V_1$ hızlı araç A kentinden $V_2$ hızlı araçtan 1 saat önce yola çıkıp B kentine $V_3$ hızlı araçtan 2 saat önc"	12	13	14	15	16	D	fuzzy	false	fail	ocr	Text cut off (onc...)
