id	book	page	db_q_no	crop_q_no	similarity	crop_file	db_text_preview	ocr_text_preview	verdict
87eee7ce-b5fd-5927-b0b5-7faa51584280	Cap Tyt Fizik Soru Bankası 2023 2024	285	11	2	0.585	Cap_Tyt_Fizik_Soru_Bankası_2023_2024_p0285_q02.png	Serdar Öğretmen, öğrencilerine küresel aynalar ile mercek-leklerde oluşan görüntülerin sanal ya da g	Serdar Öğretmen, öğrencilerine küresel aynalar ile merceklerde oluşan görüntülerin sanal ya da gerçe	ok
d5c91bce-3f29-5ed6-9bb6-a25948c1db38	2023-2024-ACİL-TYT-AYT Geometri Soru Bankası	59	14	4	0.537	2023-2024-ACİL-TYT-AYT_Geometri_Soru_Bankası_p0059_q04.png	ABC üçgeninde boyalı BDA üçgeni $[AD]$ boyunca katlandığında B noktasının yeni yeri B' olmaktadır. G	ABC üçgeninde boyalı BDA üçgeni [AD] boyunca katlandığında B noktasının yeni yeri B' olmaktadır.  G,	ok
8db8535e-7b71-56ee-b792-5d372786858a	2019-2020-ACİL-AYT-Matematik Soru Bankası	250	14	3	0.582	2019-2020-ACİL-AYT-Matematik_Soru_Bankası_p0250_q03.png	Aşağıda bir örüntünün ilk üç adımı verilmiştir. $n > 1$ olmak üzere, $n$. adımda bulunurken, $(n-1)$	Aşağıda bir örüntünün ilk üç adımı verilmiştir.  [Resim açıklaması: 1. adımda saat yönünde 2, 1, 2, 	ok
bafb105a-cea9-51f5-b2c8-fd5a358b3983	Fizipedia Ayt Fizik Soru Bankası 2025	68	6	1	0.686	Fizipedia_Ayt_Fizik_Soru_Bankası_2025_p0068_q01.png	Hava sürtünmesinin önemsenmediği bir ortamda K, L ve M cisimleri K serbest bırakıldığı anda L ve M c	6. Hava sürtünmesinin önemsenmediği bir ortamda K, L ve M cisimlerinden K serbest bırakıldığında ve 	ok
e26972ba-c88e-5183-af8d-0751bd5c562f	Orijinal-2025-Tyt-Matematik Porblemler	189	6	3	0.529	Orijinal-2025-Tyt-Matematik_Porblemler_p0189_q03.png	Aşağıda bir marketin sattığı ürünler ve bu ürünlerden elde edilen gelirlere ait tablo verilmiştir. T	Aşağıda bir marketin sattığı ürünler ve bu ürünlerden elde edilen gelirler ile tablo verilmiştir.  |	ok
867558a9-0266-5607-9ca6-d53650dcb15f	345 2025 Tyt Biyoloji Soru Bankası	29	11	3	0.512	345_2025_Tyt_Biyoloji_Soru_Bankası_p0029_q03.png	Bütün proteinlerin yapı taşları olan amino asitlerin genel yapısı aşağıdaki şekilde gösterilmiştir. 	Bütün proteinlerin yapı taşları olan amino asitlerin genel yapısı aşağıdaki şekilde gösterilmiştir. 	ok
e35ef67b-8b23-5db8-b5a2-681857e32b51	Full Matematik-Tyt-Matematik Soru Bankası	19	7	1	0.586	Full_Matematik-Tyt-Matematik_Soru_Bankası_p0019_q01.png	$n$ doğal sayı ve $p$ asal sayısı için, $p = 4n+1$ eşitliği sağlanıyorsa $p$ sayısına Hilbert asalı 	n doğal sayısı ve p asal sayısı için, p = 4n + 1 koşulu sağlanıyorsa p sayısına Hilbert asalı denir.	ok
d3b94b97-ba66-5583-b10b-75c22a3694f5	2023-2024-ACİL-TYT-Matematiğin İlacı	85	11	4	0.545	2023-2024-ACİL-TYT-Matematiğin_İlacı_p0085_q04.png	Şekildeki araç AO doğrultusunda ilerlerken, A noktasında ani bir fren yapıp K ile O arasında durmuşt	Şekildeki araç AO doğrusu üzerinde ilerlerken, A noktasında ani fren yapıp K ile O arasında durmuştu	ok
8fc2b9c2-cada-5638-a3e6-f2a7451788e2	Esen Yks Motivasyon Fizik Testleri	71	5	2	0.556	Esen_Yks_Motivasyon_Fizik_Testleri_p0071_q02.png	Açık hava basıncının $P_0$ olduğu bir ortamda özkütlesi $d$ olan sıvıya batırılmış bir tüpün havası 	Açık hava basıncının Pa olduğu bir ortamda özkütlesi d olan sıvıya batırılmış bir tüpün havası bir m	ok
45ab365c-68bc-5e2d-adff-00ed2ae32fc7	2023-2024-ACİL-TYT Matematik Soru Bankası	12	7	2	0.595	2023-2024-ACİL-TYT_Matematik_Soru_Bankası_p0012_q02.png	Yukarıda $-20^{\circ}C$'den $40^{\circ}C$'ye kadar sıcaklık ölçebilen bir termometre sırasıyla A, B 	A odasında yapılan ölçüm B odasında yapılan ölçüm C odasında yapılan ölçüm  Yukarıda -20°C den 40°C 	ok
c036c7f4-589b-5ba6-8352-c6a54cfcb90e	CAP-2023-2024-AYT-Matematik Soru Bankası	384	17	2	0.583	CAP-2023-2024-AYT-Matematik_Soru_Bankası_p0384_q02.png	Bir top labirente atıldığında herhangi bir yöne gitme olasılığı eşittir. Top atıldığında B'den düşme	Bir top labirente atıldığında herhangi bir yöne gitme olasılığı eşittir.  Top atıldığında B den düşm	ok
4c69cea4-d7e8-5e46-b5d9-1790bdcb5ef2	Fizipedia Ayt Fizik Soru Bankası 2025	28	6	1	0.662	Fizipedia_Ayt_Fizik_Soru_Bankası_2025_p0028_q01.png	Akıntı hızı verilen yönde yere göre $2 \text{ m/s}$ büyüklüğünde olduğu şekildeki nehirde akıntıyla 	Akıntı hızının verilen yönde yere göre 2 m/s büyüklüğünde olduğu şekildeki nehirde akıntıyla birlikt	ok
2d891641-5efa-56a4-b06b-41133eb3a25d	Esen Apt Ayt Fizik 2025	99	7	2	0.506	Esen_Apt_Ayt_Fizik_2025_p0099_q02.png	Gaz fazında ve iki adımda gerçekleşen $H_2(g) + 2IBr(g) \to I_2(g) + 2HBr(g)$ tepkimesinin yavaş ola	Gaz fazında ve iki adımda gerçekleşen $$H_2(g) + 2IBr \longrightarrow I_2 + 2HBr$$ tepkimesinde yava	ok
