id	book	page	q_no	substr_pct	img_url_bound	tier_i_flag_present	crop_exists	db_q_text_preview	db_ocr_preview	diagnosis
ef8fcadf-81b1-5188-80c9-55c923723fb7	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	154	7	0.917	1	1	1	ABC üçgen, $AD \perp BC$, $|AB| = |DC|$, $|AC| = 2\sqrt{7}$ cm, $m(\widehat{ABC}) = 60^\circ$. Verilenlere göre, Alan(ABC) kaç $cm^2$ dir?	ABC üçgen $AD \perp BC$ $|AB| = |DC|$ $|AC| = 2\sqrt{7}$ cm $m(\widehat{ABC}) = 60°$  Verilenlere göre, Alan(ABC) kaç cm² dir?	OK
94ce6dfa-ff73-5004-9470-04e67305b79e	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	46	8	0.909	1	1	1	ABC üçgen, $CE \perp BA$, $ED \perp CA$, $|AB| = |AC|$, $|EDI| = 12$ birim, $|CD| = 9$ birim. Buna göre, $|BE|$ kaç birimdir?	ABC üçgen CE ⊥ BA ED ⊥ CA |AB| = |AC| |ED| = 12 birim |CD| = 9 birim  Buna göre, |BE| kaç birimdir?	OK
c9040bff-8741-538d-808d-cc7731e537b9	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	245	12	0.778	1	1	1	ABCD eşkenar dörtgen, A, K, C doğrusal, $[KF] \perp [DC]$, $[KE] \perp [AD]$, $|KF|=5$ br, $|KE|=3$ br, $|AB|=10$ br. Yukarıda verilenlere göre, A(ABCD) - A($\widehat{AKB}$) farkı kaç $br^2$'dir?	ABCD eşkenar dörtgen, A, K, C doğrusal [KF] ⊥ [DC], [KE] ⊥ [AD], |KF| = 5 br, |KE| = 3 br, |AB| = 10 br Yukarıda verilenlere göre, A(KBC) – A(AKB) farkı kaç br² dir?	OK
bbed309e-fdca-5039-a2a2-5ae4291bf81c	345 2025 Tyt Ayt Geometri Soru Bankası 1	303	13	1.000	1	1	1	ABCD paralelkenar, AEB üçgen, $[GF] \parallel [AB]$, $|AG| = 2 \text{ cm}$, $|GE| = 1 \text{ cm}$ Boyalı bölgenin alanı $24 \text{ cm}^2$ olduğuna göre, $A(ABCD)$ kaç $\text{cm}^2$ dir?	ABCD paralelkenar AEB üçgen [GF] // [AB] |AG| = 2 cm |GE| = 1 cm  Boyalı bölgenin alanı 24 cm² olduğuna göre, A(ABCD) kaç cm² dir?	OK
bae71618-47ba-5d32-9063-61f68a42137f	345 Tyt Ayt Geometri Soru Bankası	363	7	0.800	1	1	1	ABCD dikdörtgen $|EC|=10$ cm $|EB|=17$ cm $|ED|^2+|EA|^2=261$ cm$^2$ olduğuna göre, Çevre(ABCD) kaç cm'dir?	ABCD dikdörtgen |EC| = 10 cm |EB| = 17 cm |ED|² + |EA|² = 261 cm²  olduğuna göre, Çevre(ABCD) kaç cm'dir?	OK
9d71a398-9bac-568d-9477-f4f0aff76995	Orijinal-2024-Ayt-Trigonometri	25	9	0.867	1	1	1	ABCD yamuk, \([DC] \parallel [AB]\) ve \(m(\widehat{DAB}) = \alpha\) dır. \(|AB| = 17\) br, \(|AD| = 6\) br, \(|DC| = 7\) br ve \(|CB| = 8\) br olduğuna göre, $\cot\alpha$ değeri kaçtır?	9. ABCD yamuk, [DC] // [AB] ve m(DÂB) = α dır.  |AB| = 17 br, |AD| = 6 br.  |DC| = 7 br ve |CB| = 8 br  olduğuna göre, cotα değeri kaçtır?	OK
e341cd59-607a-5ad9-aefe-2511e683abd0	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	84	10	0.909	1	1	1	ABC üçgen $DE \parallel BC$ $|DF| = 2\sqrt{5}$ birim $|KI| = 3\sqrt{5}$ birim $|FE| = 6$ birim Buna göre, $|KC|$ kaç birimdir?	ABC üçgen DE // BC |DF| = 2√5 birim |BK| = 3√5 birim |FE| = 6 birim  Buna göre, |KC| kaç birimdir?	OK
9e618cb9-452e-5472-9ae5-78e113644789	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	94	9	1.000	1	1	1	ABC dik üçgen, $AB \perp BC$, $|AD|=|DC|$, $|AB|=|EF|=10$ birim. Buna göre, $A(DEF)$ kaç birimkaredir?	ABC dik üçgen, AB ⊥ BC, |AD| = |DC|  |AB| = |EF| = 10 birim  Buna göre, A(DEF) kaç birimkaredir?	OK
da36b46d-f085-543d-940d-ac4f2829aab7	Esen Tyt Kimya Soru Bankası	18	8	0.750	1	1	1	Tabloda bazı element ve sembolleri ifade edilirken doğru ve yanlış yazılma durumlarına göre "$\/$" işareti kullanılmıştır. Buna göre, hangisinde yanlış işaretleme yapılmıştır?	8. Tabloda bazı element ve semboller ifade edilirken doğru ve yanlış yazılma durumlarına göre "✓" işareti kullanılmıştır.  | | Element | Sembol | D | Y | |---|---|---|---|---| | I. | Magnezyum | Mg | 	OK
39a6310a-4ea8-51c3-ba33-c37a96798b32	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	202	11	0.750	1	1	1	O merkezli daire, $|AO|=2\sqrt{6}$ birim, $m(\widehat{BOC})=75^\circ$, $m(\widehat{DOE})=30^\circ$, $m(\widehat{FOA})=45^\circ$. Buna göre, boyalı bölgelerin alanları toplamı kaç $\pi$ birimkaredir?	O merkezli daire |AO| = $2\sqrt{6}$ birim m($\widehat{BOC}$) = 75° m($\widehat{DOE}$) = 30° m($\widehat{FOA}$) = 45°  Buna göre, boyalı bölgelerin alanları toplamı kaç $\pi$ birimkaredir?	OK
