id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	topic_quality	has_diagram
9fc756a1-7f80-5901-9d63-407848320c97	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	181	log a = 2 olduğuna göre, $\frac{\ln a + \ln b}{\ln a - \ln b}$ ifadesinin değeri kaçtır?	1	2	3	4	5	C	exact	false
ebd6e4ba-1ddc-5a5a-9e3d-a483b0742a8f	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	261	"Serpil severek izlediği bir televizyon dizisi ile ilgili bir arkadaşına; ""Ben diziyi seyretmeye bu yıl başladım ama aslında bu dizi iki kez ben doğmadan 5 sene önce yayınlanmış. Dizideki iki başrol oy"	2002	2003	2004	2005	2006	B	fuzzy	false
0186e3d9-77bf-5db7-826c-8c104f1b8d1d	MATEMATIK	Orijinal-2025-Ayt-Polinom parabol	192	$f(x) = x^2 + 2x + 1$ parabolü önce x eksenine göre yansıtılıyor. Daha sonra yansıtılan parabol y ekseni boyunca 3 birim sola, düşey eksen boyunca 9 birim yukarı ötelenerek yeni bir $g(x)$ parabolü el	-3	-4	-5	-6	-7	D	fallback	false
4b53254d-3b37-5308-8df1-f9116f4db78b	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	125	$a$ ve $b$ gerçel sayılar olmak üzere, gerçel sayılar kümesi üzerinde tanımlı $f(x) = x^2-2x+3$ fonksiyonunun grafiği $a$ birim sağa, $b$ birim aşağı ötelenerek $g(x) = x^2-4x+4$ fonksiyonu elde edili	3	4	5	6	7	A	fuzzy	false
ad1b8275-205b-5781-b971-52e104ff9305	MATEMATIK	345 2025 Start Matematik	180	$rac{5}{2x} - rac{1}{8x} = rac{1}{12} + rac{1}{x}$ olduğuna göre, $x$ kaçtır?	$rac{1}{2}$	$rac{3}{2}$	$rac{5}{2}$	$rac{7}{2}$	$rac{9}{2}$	B	fuzzy	false
a1e83207-eee9-5904-8c82-d1f6e1ef4a7c	MATEMATIK	Aromat-2023-Ayt-Matematik Soru Bankası	124	Yukarıda verilen beş açıdan esas ölçüleri birbirine eşit olan iki açı silindikten sonra, geriye kalan üç açıdan esas ölçüleri birbirine eşit olan iki açı daha siliniyor. Buna göre, en son kalan açı aş	-1520°	-640°	1930°	-1720°	-230°	C	exact	false
ed27de1c-df37-5387-aba8-f777d15815d1	MATEMATIK	Bilgi Sarmalı-2023-2024-Ayt-Matematik Soru Bankası	317	Gerçek sayılar kümesi üzerinde türevlenebilir $f$ ve $g$ fonksiyonları için $f(3)=1$, $g(2)=3$, $(f \circ g)(2)=6$ eşitlikleri veriliyor. Buna göre, $g'(2)$ kaçtır?	1	2	3	6	18	B	exact	false
204c37e6-da60-5f74-9b76-b3331d9e046d	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	361	$P(x)$ bir polinom olmak üzere, $\text{der}[f'(x^2) \cdot P(x)] = 10$ $\int x^2 \cdot P(x)dx = x^5 + x^3 - 10$ olduğuna göre, $\text{der}[x \cdot P(x^2)]$ kaçtır?	7	8	9	10	11	C	fuzzy	false
c45f79fe-dd56-5743-8560-65c7eaef861b	MATEMATIK	Full Matematik-Ayt-Matematik Soru Bankası	175	$\tan 5x + \cot 2x = 0$ denkleminin $[0, 2\pi]$ aralığında kaç farklı kökü vardır?	2	4	5	6	8	E	exact	false
26335fac-96da-54b2-98a1-5c1742b5b852	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	206	"Arda, Burak, Cenk ve Doğan isimli dört arkadaş bir lokantada yemek yemişlerdir.

Ceplerinde sadece 50 TL, 100 TL ve 200 TL'lik banknotlar bulunan arkadaşlardan hesap defterinin içine; Arda 200 TL, Bur"	10	20	30	40	50	B	fuzzy	false
593d482b-97bc-52f5-9a13-385f818f80e9	MATEMATIK	Orijinal-2024-Tyt Ayt-Fonksiyonlar	139	$f: (-\infty, 1] \cup [2, \infty)$ aralığında tanımlı $f(x) = \begin{cases} 7x-5, & x \le 1 \\ 5x+a, & x \ge 2 \end{cases}$ fonksiyonu bire bir olduğuna göre, $a$'nın alabileceği en küçük tam sayı değ	-6	-7	-8	-9	-10	D	exact	false
8c365bc0-32f0-58f7-af18-7f736ac38ef3	MATEMATIK	CAP-2022-2023-TYT-Matematik Soru Bankası	116	Ayda bir oyun oynuyor. Verilen bir sayı $||...||$ şeklinde iki çizgi arasına alınırsa sayının sayı doğrusu üzerinde 0 noktasına olan uzaklığını alıyor. $|x|$ şeklinde iki çizgi arasına alınırsa sayını	17	19	21	25	35	C	exact	false
38269b1c-bbbd-58d8-a779-aada25e12b0f	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	48	$2x^2+mx+n=0$ ve $x^2+3x+1=0$ denklemlerinin çözüm kümeleri aynı olduğuna göre, $m-n$ çarpımı kaçtır?	2	3	6	12	24	D	fuzzy	false
28a9ac44-bb73-55ed-b42a-03366e5e4786	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	324	4 cm uzunluğundaki bir telden bir eşkenar üçgenle bir kare meydana getiriliyor. Alanlar toplamının minimum olması için eşkenar üçgenin bir kenarı kaç cm olmalıdır?	12/(9+4\sqrt{3})	11/(9+4\sqrt{3})	10/(9+4\sqrt{3})	8/(9+4\sqrt{3})	6/(9+4\sqrt{3})	E	fuzzy	false
64bad36d-4377-5559-8b45-4c8a0a70fe61	MATEMATIK	Bilgi Sarmalı-2024-Ayt-Matematik Soru Bankası	60	Gerçel katsayılı ve dördüncü dereceden olan bir $P(x)$ polinomu, her $x$ gerçel sayısı için $P(x)-2x>0$ eşitsizliğini sağlıyor. $P(1)=2$, $P(2)=4$, $P(3)=10$ olduğuna göre, $P(4)$ kaçtır?	40	42	44	46	48	E	exact	false
fb09ff13-0ebf-5c6b-b752-e4c1ca9160de	MATEMATIK	ACİL-2025-Matematiğin İlacı Sayılar-1	162	$a=2,\overline{123}$, $b=2,1\overline{23}$, $c=2,12\overline{3}$ olduğuna göre, $a, b$ ve $c$'nin doğru sıralanışı aşağıdakilerden hangisidir?	$a<b<c$	$b<a<c$	$c<b<a$	$a<c<b$	$c<a<b$	A	fuzzy	false
c754c95d-8993-52e9-a0a6-16e2200b95ca	MATEMATIK	2020-2021-Acil-Problemlerin ilacı	117	Yasemin, yeterince uzun bir karta adını büyük harflerle yan yana olacak şekilde 21 kez yazıyor. Daha sonra bu kartı soldan sağa doğru ve her parçasında 6 harf bulunacak şekilde sırasıyla kesmeye başlı	N	İN	MİN	EMİN	SEMİN	C	fuzzy	false
9451ced4-3b41-5174-980e-74c396fdfd9c	MATEMATIK	PES-Konu özetleri-Problemler Kampı	51	"Saatteki hızları $V_1$, $V_2$ ve $V_3$ olan üç araç A kentinden B kentine gidecektir.
• $V_1$ hızlı araç A kentinden $V_2$ hızlı araçtan 1 saat önce yola çıkıp B kentine $V_3$ hızlı araçtan 2 saat önc"	12	13	14	15	16	D	fuzzy	false
c3fa6f17-48b1-5f6a-b325-fcd802602617	MATEMATIK	Full Matematik-Ayt-Matematik Soru Bankası	242	$(a_n)$ aritmetik dizisinde $a_4+a_5=24$ ve $a_7+a_8+a_9=48$ olduğuna göre, $a_1$ kaçtır?	6	12	18	24	30	A	fuzzy	false
e8fdca37-a155-54e8-bee2-730d2e165932	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	254	"Kilo kontrolü için diyetisyene başvuran Sümeyye ile diyetisyen arasında aşağıdaki konuşma geçiyor.

Diyetisyen: ""Hazırladığım yeni detoks suyundan 100 litre tüketirsen 4 kg verebilirsin.""
Sümeyye: ""He"	Hızlı, 25	Hızlı, 20	Hızlı, 30	Yavaş, 25	Yavaş, 20	A	exact	false
a4b29dd0-13d0-505f-9392-455c37b9243e	MATEMATIK	2019-2020-Apotemi-Tyt Matematik Soru Bankası	286	"Bir doğal sayıda kullanılan her rakam kendi sayısının değeri kadar tekrar ediyorsa bu sayıya ""bilgin sayı"" adı verilir. Örneğin; 221, 3313 sayılan bilgin sayıdır. Buna göre, 5 basamaklı (tersten okunu"	1	3	4	6	12	C	fuzzy	false
f4fcc920-214d-52fc-8db0-f2088cfcae1c	MATEMATIK	345 2025 Start Matematik	293	$(\sqrt{6}-\sqrt{2})\cdot(\sqrt{6}+\sqrt{2})$ işleminin sonucu kaçtır?	4	5	6	7	8	A	fuzzy	false
885e5e08-78e6-5ded-a51a-2c2cfaac41dc	MATEMATIK	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	80	$\sqrt{x-3} \cdot \sqrt[4]{x-2}=0$ denkleminin çözüm kümesi aşağıdakilerden hangisidir?	{1, 2}	{1, 4}	{2, 5}	{1, 16}	{3, 18}	E	exact	false
dd302950-5207-56ef-b746-f83d1dec0f6f	MATEMATIK	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	238	İlk $n$ terim toplamı $S_n = 2^{n-1}$ olan geometrik dizinin genel terimi aşağıdakilerden hangisidir?	$2^{n-1}$	$2^{n-1} - 1$	$2^n$	$2^n + 1$	$2^{n+1} - 1$	A	fuzzy	false
fb9e614e-76fb-5314-bb22-e191621e1606	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	230	$(\log_2 x, y, \log_2 9)$ sonlu geometrik dizisi veriliyor. Buna göre, $\frac{x \cdot z}{y}$ oranı kaçtır?	$\sqrt{2}$	$2$	$\sqrt{3}$	$3$	$2\sqrt{3}$	A	fuzzy	false
3ec959c4-0147-53e4-8f93-fe041c88d146	MATEMATIK	2020-2021-Acil-Problemlerin ilacı	107	Tuz oranı %12 olan 50 gram tuzlu su ile tuz oranı %20 olan 50 gram tuzlu su karıştırılıyor. Buna göre, yeni karışımın ağırlıkça yüzde kaçı tuzdur?	14	15	16	17	18	C	fuzzy	false
8a252415-c7b3-51b1-a37d-ee980ece53dc	MATEMATIK	2024-ACİL TYT Matematik Geometri Kitap-1	65	$p, q$ ve $r$ asal sayılar olmak üzere, $p \cdot q - q \cdot (q-r) = 323$ olduğuna göre, $p+q+r$ toplamı kaçtır?	16	21	36	37	38	D	fuzzy	false
46e543ab-2d13-56ce-970b-f9fa42762ce7	MATEMATIK	ACİL-2025-Problemin İlacı	100	Yıllık enflasyonun %20 olduğu bir ülkede memur maaşlarına %14 zam yapılmıştır. Buna göre, memurun alım gücü yüzde kaç azalmıştır?	2	3	4	5	6	D	fuzzy	false
5794b9d0-c10c-5842-a370-2ebc5c27b605	MATEMATIK	C1CELL-2025-Matematik Soru Bankası	177	$0 < x < \frac{\pi}{2}$ olmak üzere, $\frac{1 - \sin x}{\cos x} = 2$ eşitliği $x=a$ için sağlanıyor. Buna göre, $\tan a$ kaçtır?	$\frac{5}{12}$	$\frac{3}{4}$	$\frac{4}{3}$	$\frac{15}{8}$	$\frac{12}{5}$	B	fuzzy	false
2e4b671c-e6bb-56f5-b337-eadc1db4b4a6	MATEMATIK	Orijinal-2025-Ayt-Polinom parabol	129	$i^2=-1$ ve $a<0<b$ olmak üzere, I. $z=\sqrt{b}-\sqrt{i^2}a$ ifadesi bir gerçek sayıdır. II. $z=\sqrt{a}-\sqrt{b}-ib$ ifadesi bir gerçek sayıdır. III. $z=\sqrt{-a}-\sqrt{-b}-i$ ifadesinin gerçek ve sa	Yalnız I	Yalnız II	Yalnız III	I ve III	I, II ve III	D	fuzzy	false
