id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	match_tier	quality_review_status
81931d93-26fd-55b0-900a-95b3261f1b92	BIYOLOJI	Esen Tyt Ayt Biyoloji Soru Bankası	137	"Aşağıda uzun bir kemiğin bazı kısımları numaralandırılarak gösterilmiştir.

Buna göre, aşağıdaki ifadelerden hangisi yanlıştır?"	1 numaralı kısmın kemiğin enine büyümesinde ve onarılmasında rol alır.	2 numaralı yapı eklem kıkırdaktır.	3 numaralı kısım sadece uzun kemiklerde bulunur.	4 numaralı doku kısa ve yassı kemiklerin dış yüzeyinde bulunur.	4 numaralı bölgede kan hücreleri üretilir.	E	/static/crops/Esen_Tyt_Ayt_Biyoloji_Soru_Bankası/Esen_Tyt_Ayt_Biyoloji_Soru_Bankası_p0137_q03.png	tier1_page_inline	bronze_clean
e5c059da-408b-5eeb-931f-33c6ade69209	MATEMATIK	2022-Apotemi-Turev	213	"Maraton Testi - 1

1. Bir dikdörtgenin bir köşesinden geçen bir doğru parçası, dikdörtgenin bir kenarının 10 cm, diğer kenarının 20 cm olup, dikdörtgenin bir köşesinden geçen doğru parçasının uzunluğu 25 cm ise, dikdörtgenin alanını bulunuz."	100 cm²	200 cm²	300 cm²	400 cm²	500 cm²	B			legacy_v3_unaudited
7e5d23fb-d71e-5772-8a9c-8c32c4beee36	MATEMATIK	Full Matematik-2019-2020-Geometri Soru Bankası	215	Recep ayrıtları $1 \text{ birim}$ olan tahta küplerle şekildeki cismi oluşturduktan sonra taban hariç tüm yüzeyleri boyuyor. Öğretmeni şekildeki işaretlediği küpleri çıkarmasını istiyor. Buna göre son durumda oluşan cismin boyalı yüzeylerin alanları toplamı kaç birimkaredir?	39	40	41	42	43	C	/static/crops/Full_Matematik-2019-2020-Geometri_Soru_Bankası/Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0215_q02.png		bronze_clean
ff33eb7d-58a4-58fd-81a5-76c1521448b9	EDEBIYAT	Krallar Karmasi Ayt 2024 Edebiyat Brans Denemesi-4	11	Hz. Ebubekir Müslümanların ilk halifesidir. Aşağıdaki gelişmelerden hangisi Hz Ebubekir Dönemi'ne ait olamaz?	Ridde Savaşları'nda dinden dönenlerle mücadele edilmiştir.	Yemame Savaşı'nın kazanılmasıyla peygamber ol- duğunu iddia eden yalancılar yenilgiye uğratılmıştır.	634 yılında Bizans ile yapılan Ecnadeyn Savaşı'nın kazanılmasıyla Suriye'nin kapıları Müslümanlara açıl- mıştır.	Kadisiye (636), Celula (637) ve Nihavent (642) sa- vaşları ile İran'ın büyük bölümü fethedilmiştir.	Arabistan'da ilk kez siyasal birlik sağlanmıştır.	D	/static/crops/Krallar_Karmasi_Ayt_2024_Edebiyat_Brans_Denemesi-4/Krallar_Karmasi_Ayt_2024_Edebiyat_Brans_Denemesi-4_p0011_q01.png		legacy_v3_unaudited
6340b446-72d9-554d-aa70-39bcc7b403d3	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	260	Bir odada kırmızı, mavi ve yeşil renklerde üç adet lamba ile A, B, C, D, E ve F düğmeleri vardır. Her bir düğme tek bir lambaya bağlı ve herhangi bir lamba iki farklı düğme basılı olduğunda yanmaktadır. Yukarıda, basılı olan düğmeler ile hangi lambaların yandığı üç farklı durum için gösterilmiştir. Örneğin; Şekil 2'deki gibi A, B, E ve F düğmeleri basılı iken sadece mavi lamba yanmaktadır. Buna göre, I. A, II. C, III. E düğmelerinden hangilerinin bağlı olduğu lamba bulunabilir?	Yalnız I	I ve II	I ve III	II ve III	I, II ve III	B	/static/crops/C1CELL-2024-TYT-Matematik_Soru_Bankası/C1CELL-2024-TYT-Matematik_Soru_Bankası_p0260_q03.png		bronze_clean
36267051-06ce-5db7-b6fb-6ff1a98494b6	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	174	|2x - 1| + 1 ≥ 0 eşitsizliğinin gerçek sayılardaki çözüm kümesi aşağıdakilerden hangisidir?	∅	[0, 1]	[1, ∞)	(-∞, 0]	ℝ	B	/static/crops/C1CELL-2024-TYT-Matematik_Soru_Bankası/C1CELL-2024-TYT-Matematik_Soru_Bankası_p0174_q05.png	tier1b_position_page_inline	bronze_clean
77fc66a3-e7f5-518a-b298-15e21e5f7c60	GEOMETRI	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	129	"ABC üçgeninde,
[DE] // [BC], 3|KL| = |ML| olarak veriliyor.
|KE| = 2 br ve |BM| = 12 br olduğuna göre,
|DK| kaç br'dir?"	2√2	3	2√3	4	3√2	E	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0129_q04.png	tier1_page_inline	bronze_clean
c7ff1ece-d1fd-54cf-92aa-3ce68cd2d894	GENEL	ACİL-2025-TYT-Soru Bankası	292	"Bir okulun asansörüne binen Can, Ela, Tan ve Gül gidecekleri katlar için kabinde 1'den 8'e kadar numaralandırılmış olan düğmelerden farklı birine basmışlardır.
p: ""Can 1 numaralı düğmeye basmıştır.""
q: ""Ela 7 numaralı düğmeye basmıştır.""
r: ""Tan ile Ela'nın bastıkları düğmelerin numaraları ardışıktır.""
s: ""Gül'ün bastığı düğmenin numarası 5'ten küçüktür.""
önermeleri veriliyor.
Verilen önermelerden ikisi doğru ikisi yanlış, r ≠ 0 ve p = q olduğuna göre; Can, Tan ve Gül'ün bastıkları düğmelere ilgili aşağıdakilerden hangisi doğru olabilir?"	Can: 2, Ela: 7, Tan: 8, Gül: 4	Can: 2, Ela: 6, Tan: 7, Gül: 3	Can: 1, Ela: 7, Tan: 5, Gül: 6	Can: 1, Ela: 7, Tan: 8, Gül: 3	Can: 3, Ela: 6, Tan: 4, Gül: 8	B	/static/crops/ACİL-2025-TYT-Soru_Bankası/ACİL-2025-TYT-Soru_Bankası_p0292_q01.png	tier1_page_inline	legacy_v3_unaudited
097d9826-4069-5327-ba8c-f69052fdc58c	GEOMETRI	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	44	ABC üçgen, $|AB| = |BE| = |ED| = |DC|$, $m(\widehat{ACB}) = 20^\circ$. Buna göre, $m(\widehat{ABE}) = x$ kaç derecedir?	50	60	70	80	90	B	/static/crops/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0044_q05.png		bronze_clean
0b73fe95-fa45-5172-95ee-ca239163a0dc	MATEMATIK	Full-2019-2020-Ayt-Matematik Soru Bankası	115	"x ve y pozitif gerçek sayıları için
$$\log_x(x - y) = 2$$
$$\log_y(x - y) = 1$$
olduğuna göre, x · y çarpımı kaçtır?"	\frac{3}{8}	\frac{3}{4}	1	\frac{9}{8}	\frac{3}{2}	D	/static/crops/Full-2019-2020-Ayt-Matematik_Soru_Bankası/Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0115_q05.png	tier1b_position_page_inline	bronze_clean
