id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	verdict	error_type	notes
635a0d1a-3635-526c-8ef7-3e755f2a4150	GEOMETRI	2020-2021-Apotemi-Tyt Ayt-Geometri Maestro Soru Bankası	48	A ve B noktalarında bulunan, AB = 200 olan boyunca 10 m/s hızı ile hareket eden iki nesnenin birbirine göre hız farkı kaç m/s'dir?	10	20	30	40	50	A	fail	garbage_text	Hiz farki yon bilgisi gerektirir; A=10 hicbir senaryoda dogru degil
b1b47537-4940-5b85-b369-6648a54568c0	KIMYA	Bilgi Sarmal 2024 Tyt Kimya Soru Bankasi	149	"160'ar gram Ca(s) ve Br2(g) maddelerinin tam verimli tepkimesi sonucu 200 gram CaBr2 bileşiği oluşurken X gram Ca(s) metali artmaktadır.

Buna göre, tepkime sonucu artan Ca(s) metali kütlesi ""X"" kaç g"	80	100	120	130	140	C	pass		Stokiyometri: 1 mol Br2 limiting, 40g Ca kullanildi, 120g kaldi; C=120 dogru
41efea4a-0ef8-5891-ac74-36817761b158	MATEMATIK	2020-2021-ACİL-TYT Matematik Soru Bankası	119	Sayı doğrusunda verilen noktaların koordinatları sırasıyla hangi doğruya denk gelir?	74	75	76	77	78	A	fail	incomplete	Noktalar verilmemis, soru eksik
ac7b00f2-d8ec-5983-9891-13cdfb50893f	MATEMATIK	ACİL-2025-Matematiğin İlacı Polinom	21	Polinomun genel formülesi P(x) = ax^2 + bx + c ise, aşağıdaki eşitliklerden hangisi polinomun x = 0 için değerini verir?	P(0) = 0	P(0) = a	P(0) = b	P(0) = c	P(0) = a + b + c	D	pass		P(0)=c trivial; D dogru
90481b04-86f6-5d8d-ab8c-6eedd5efc7e1	FIZIK	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	319	Bir üçgenin bir kenar uzunluğu 10 cm, diğer kenar uzunluğu 8 cm ve bu kenarların arasındaki açı 60° ise, üçgenin alanı kaç cm²'dir?	20	24	30	36	40	A	fail	wrong_answer	Alan = 20*sqrt(3) ~= 34.64; A=20 yanlis. FIZIK->GEOMETRI yanlis konu
c8343387-47f1-5cc1-a6b3-779abb4f1204	MATEMATIK	Orijinal-2025-Tyt-Matematik Porblemler	179	1. Eski, Gelen ve Gelenlerin toplamı 100 olan bir dizi veriliyor. Bu dizideki her bir eleman, önceki elemanın 2 katı ve sonraki elemanın 3 katı olup, bu dizi 100'den büyük olmayan en büyük elemanı kaç	40	50	60	70	80	D	fail	garbage_text	'Eski, Gelen' anlamsiz; OCR veya soru kotuluk
5a98ee3b-865e-56ed-8e50-daca61bd29a8	FIZIK	Krallar Karmasi Tyt Fizik 45 Deneme	65	Farklı türden iki doğru, bir doğru ve bir yanlış olan beş tane cümle verilmiştir. Bu cümlelerden hangileri doğru, hangileri yanlış?	1 doğru, 4 yanlış	2 doğru, 3 yanlış	3 doğru, 2 yanlış	4 doğru, 1 yanlış	5 doğru	B	fail	incomplete	5 cumle verilmemis
3714a906-9886-5e52-8647-31039dac0180	TURKCE	Bilgi Sarmal  Tyt Türkce Soru Bankası	232	10. Bu cümlede manasını veren ifade hangisi doğru?	a) 10.000.000.000	b) 10.000.000.000.000	c) 1.000.000.000	d) 1.000.000.000.000	e) 10.000.000.000.000.000	B	fail	incomplete	Cumle yok, sadece sayi siklari
056c1c5f-9fa1-5c02-bf80-3f8afca026ed	MATEMATIK	2023-2024-ACİL-TYT-Matematiğin İlacı	168	1998 yılında Rusya'da bir operasyon başarıyla sonuçlanmıştır. Bu operasyon hangi sayıya karşılık gelir?	2000	2010	2020	2030	2040	A	fail	garbage_text	Operasyon-sayi eslesmesi anlamsiz
58cd4ea9-08ed-5fb4-bfc6-134ea3aee9b9	TARIH	Bilgi Sarmali Ayt Tarih Soru Bankasi 2021 2022	242	Aşağıdakiler hangisi bir perişanın davranışlarıdır?	Yüksek ses tonu kullanarak ses çıkarmak	Kadınlarla konuşmak	Farklı dillerde konuşmak	Sanki bir baba gibi davranmak	Rota belirtmek	C	fail	garbage_text	Perisan tarih kavrami degil
