id	v1_sim	v2_sim	delta	v2_class	correct_answer	qtext_full	ocr_full	image_url
3206995e-9c4c-5820-b41d-259e2fb5806d	0.421	0.571	+0.150	v2_substantive	D	ABC ve EDB dik üçgen, $[AH] \perp [AC]$, $[ED] \perp [AB]$, $|AH| = |BC|$, $|BE| = 6$ birim, $|EH| = 3$ birim. Buna göre, $|HC| = x$ kaç birimdir?	ABC ve EDB dik üçgen, [AB]⊥[AC], [ED]⊥[AB], [AH]⊥[BC], |BE| = 6 birim, |EH| = 3 birim  Buna göre, |HC| = x kaç birimdir?	/static/crops/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası_p0100_q04.png
0cb27b74-cf55-5703-9ed4-3a3327de1204	0.769	0.667	-0.102	v2_substantive	E	$m(\widehat{BAD}) = 40^{\circ}$ $m(\widehat{ABC}) = 30^{\circ}$ $m(\widehat{DCB}) = 10^{\circ}$ Şekildeki iki üçgen benzer olduğuna göre, $m(\widehat{ACD}) = x$ kaç derecedir?	$m(\widehat{BAD}) = 40°$ $m(\widehat{ABC}) = 30°$ $m(\widehat{DCB}) = 10°$  Şekildeki iki üçgen benzer olduğuna göre, $m(\widehat{ACD}) = x$ kaç derecedir?	/static/crops/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0127_q05.png
769a77c4-5a8e-5109-a0d9-42f4cd099a82	0.632	0.800	+0.168	v2_moderate	A	ABCD dörtgen, $[AB] \perp [AD]$, $[DC] \perp [BC]$, $m(\widehat{ABC}) = 60^\circ$, $|AD| = 2\sqrt{3}$ cm, $|DC| = 3\sqrt{3}$ cm. Yukarıdaki verilere göre, $|BC| = x$ kaç cm'dir?	ABCD dörtgen [AB] ⊥ [AD] [DC] ⊥ [BC] m(ÂBC) = 60° |AD| = 2√3 cm |DC| = 3√3 cm  Yukarıdaki verilere göre, |BC| = x kaç cm'dir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0033_q04.png
695b9111-41e8-510b-9962-956e3a0d5171	0.515	0.579	+0.064	v2_substantive	C	ABC üçgendir. Buna göre, I. $|AB|=|AC|=k$ ve $90^{\circ} \le m(\widehat{BAC}) \le 120^{\circ}$ ise $k\sqrt{2} \le |BC| \le k\sqrt{3}$ tür. II. $m(\widehat{ACB})=30^{\circ}$ ve $[BA] \perp [AC]$ ise $|BC|=2|AB|$ dir. III. $[AB] \perp [AC]$ ve $m(\widehat{ACB})=15^{\circ}$ ise $|BC|$ uzunluğu A köşesine ait yüksekliğin 4 katıdır. ifadelerinden hangileri doğrudur?	10. ABC üçgendir.  Buna göre,  I. |AB| = |AC| = k ve 90º ≤ m(BÂC) ≤ 120º ise k√2 ≤ |BC| ≤ k√3 tür. II. m(AĈB) = 30º ve [BA] ⊥ [AC] ise |BC| = 2|AB| dir. III. [AB] ⊥ [AC] ve m(AĈB) = 15º ise |BC| uzunluğu A köşesine ait yüksekliğin 4 katıdır.  ifadelerinden hangileri doğrudur?	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0035_q04.png
60c52392-7dc2-5f15-b21d-9300b4073a56	0.571	0.846	+0.275	v2_moderate	C	ABCD kare, [AC] köşegen, $|EF| = |AC|$, $|EF| = 3$ cm, $|AF| = 5$ cm olduğuna göre, $|AB| = x$ kaç santimetredir?	11. ABCD kare [AC] köşegen [EF] ⊥ [AC] |EF| = 3 cm |AF| = 5 cm olduğuna göre, |AB| = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0257_q06.png
3d20d44b-28fa-5dde-aea1-f65151c09eab	0.857	0.812	-0.044	v2_moderate	B	ABCD yamuk $AB \parallel DC$ $GH \parallel EF$ $|DE| = |EA|$ $|CF| = |FB|$ $|GH| = 4$ birim $|EF| = 7$ cm olduğuna göre, Alan(ABCD) kaç $cm^2$ dir?	ABCD yamuk AB // DC GH ⊥ EF |DE| = |EA| |CF| = |FB| |GH| = 4 cm |EF| = 7 cm  olduğuna göre, Alan(ABCD) kaç cm² dir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0247_q04.png
2e6437d2-74e0-5975-8f90-128b946a439c	0.278	0.500	+0.222	v2_substantive	C	ABC üçgen, $[DE]\perp[BC]$, $|AB|=|AD|=|DC|$, $|BE|=|EC|$. Yukarıdaki verilere göre, $m(\widehat{CDE})=\alpha$ kaç derecedir?	ABC üçgen, [DE] ⊥ [BC], |AB| = |AD| = |DC|, |BE| = |EC| Yukarıdaki verilere göre, m(CDE) = α kaç derecedir?	/static/crops/Full_Matematik-2019-2020-Geometri_Soru_Bankası/Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0021_q03.png
f1278f7f-bf39-58cd-bd55-52e4de778678	0.500	0.625	+0.125	v2_substantive	E	ABCD deltoid $|AB| = |BC|$ $m(\widehat{ADB}) = 55^ ext{o}$ $m(\widehat{DBC}) = 30^ ext{o}$ olduğuna göre, $m(\widehat{BCD}) = x$ kaç derecedir?	ABCD deltoid |AB| = |BC| m(A͡DB) = 55° m(D͡BC) = 30° olduğuna göre, m(B͡CD) = x kaç derecedir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0243_q01.png
2797cc39-b9af-5400-b59a-4d1abb45766a	0.312	0.294	-0.018	v2_severe	D	$|AB|=|AD|$, $|AC|=|AE|$, $m(\widehat{ABC})=32^\circ$, $m(\widehat{DEC})=38^\circ$. Yukarıdaki verilere göre, $\alpha$ kaç derecedir?	|AB| = |AD| |AC| = |AE| m(\widehat{ACB}) = 32° m(\widehat{DEC}) = 38°  Yukarıdaki verilere göre, α kaç derecedir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0087_q05.png
bc11f498-4e7c-5939-ad63-82b3e1288d1f	0.688	0.824	+0.136	v2_moderate	A	ABC üçgen $|EB| = 3$ cm $|DC| = 4$ cm $|AC| = 6$ cm $[AD]$, $[EC]$'nin kenar orta dikmesi olduğuna göre; $|BD|$ kaç cm'dir?	ABC üçgen |EB| = 3 cm |DC| = 4 cm |AC| = 6 cm  [AD], [EC]'nin kenar orta dikmesi olduğuna göre; |BD| kaç cm'dir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0173_q03.png
0e81db1c-b4d0-538b-9517-d91aa32c94a9	0.308	0.500	+0.192	v2_substantive	C	$BD \perp AE$, $EF \perp AB$, $|AF|=9$ birim, $|BF|=8$ birim, $|CF|=6$ birim. Buna göre, $|CE|$ kaç birimdir?	BD ⊥ AE EF ⊥ AB |AF| = 9 birim |BF| = 8 birim |CF| = 6 birim  Buna göre, |CE| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0082_q03.png
0e0acaf4-d8f0-59b2-b443-aec1af6d5012	0.538	0.733	+0.195	v2_moderate	D	ABC üçgen $|AD| = |AB| = |BE|$ $m(\widehat{ABC}) = 80^ ext{o}$ $m(\widehat{ACB}) = 40^ ext{o}$ Buna göre, $x$ kaç derecedir?	7.  ABC üçgen |AD| = |AB| = |BE| m(A$\hat{B}$C) = 80° m(A$\hat{C}$B) = 40° m(D$\hat{E}$B) = x  Buna göre, x kaç derecedir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0018_q01.png
29783b66-d9b7-5927-8ba1-3f1e88b66f13	0.238	0.550	+0.312	v2_substantive	E	ABCD dörtgen, $[AD]\parallel[CD]$, $[AB]\parallel[CE]$, $|AE|=9$ cm, $|CD|=6$ cm. Yukarıdaki verilere göre, Alan$(BCE)$ kaç $cm^2$ dir?	ABCD dörtgen [AD] ⊥ [CD] [AB] // [CE] |AE| = 9 cm |CD| = 6 cm  Yukarıdaki verilere göre, Alan(BCE) kaç cm² dir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0123_q06.png
5ef86f95-2a54-529a-a4d5-4b04290d68d3	0.407	0.462	+0.055	v2_severe	D	ABCD ikizkenar yamuk, $[AD] \parallel [BC]$, $[EF] \parallel [AB]$, $|AD|=3 \text{ birim}$, $|FB|=10 \text{ birim}$, $|EF|=8 \text{ birim}$'dir. Buna göre, ABCD yamuksal bölgesinin alanı kaç birimkaredir?	ABCD ikizkenar yamuk, [AB] // [DC], [EF]⊥[AB]. |AD| = |BC|, |DE| = 3 birim, |FB| = 10 birim, |EF| = 8 birim Buna göre, ABCD yamuksal bölgesinin alanı kaç birimkaredir?	/static/crops/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası_p0242_q02.png
64ccf986-496a-512a-a70e-ea9c96c6dca0	0.750	0.769	+0.019	v2_moderate	B	ABCD kare $[EC] \perp [EB]$ $|EC| = 12$ cm $|EB| = 5$ cm olduğuna göre, Alan$(ABCD)$ kaç santimetrekaredir?	14. ABCD kare [EC] ⊥ [EB] |EC| = 12 cm |EB| = 5 cm  olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0259_q04.png
dda8b3c6-814b-5d26-8171-b7867d568eee	0.471	0.533	+0.062	v2_substantive	B	ABCD ve EBCF paralelkenar, $|EG|=|GF|$, $|FC|=4$ cm, $|DF|=8$ cm. D, G ve H doğrusal olduğuna göre, $\frac{|BC|}{|BH|}$ kaçtır?	ABCD ve EBCF paralelkenar |EG| = |GF| |FC| = 4 cm |DF| = 8 cm  D, G ve H doğrusal olduğuna göre, $\frac{|BC|}{|BH|}$ kaçtır?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0331_q03.png
0cdcd1d9-f3d2-5e8b-92f8-201669842afb	0.429	0.500	+0.071	v2_substantive	E	ABC üçgen, $m(\widehat{ABC}) = 30^\circ$, $|AB| = 14$ cm, $|DC| = 12$ cm. Yukarıda verilenlere göre, Alan($\widehat{ADC}$) kaç $cm^2$ dir?	ABC üçgen m(A͡BC) = 30° |AB| = 14 cm |DC| = 12 cm  Yukarıda verilenlere göre, Alan(ADC) kaç cm² dir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0117_q01.png
