id	stratum	subject_area	source_book	source_page	match_tier	text_len	question_text_prefix	question_image_url	local_image_path	image_exists	has_options	content_match	image_quality	primary_content	notes
29c77507-0542-5d54-b4b6-875adde4d48c	sayısal_no_tier	MATEMATIK	CAP-2023-AYT-Matematik -AL-Soru Bankası	44		108	$y = ax^2 + bx + c$ fonksiyonunun grafiği aşağıda verilmiştir. Buna göre, aşağıdakilerden hangisi yanlıştır?	/static/crops/CAP-2023-AYT-Matematik_-AL-Soru_Bankası/CAP-2023-AYT-Matematik_-AL-Soru_Bankası_p0044_q01.png	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2023-AYT-Matematik_-AL-Soru_Bankası\CAP-2023-AYT-Matematik_-AL-Soru_Bankası_p0044_q01.png	True					
a2193cb8-dd41-541a-aa59-91c4d788ab54	sayısal_no_tier	BIYOLOJI	Esen Aylık Planlı Biyoloji Soru Bankası	169		564	"Bir bakteri türünün S (kapsüllü) ve R (kapsülsüz) tipleri bulunmaktadır. Bu bakteri tipleriyle değişik aşamalardan geçirilip farelere enjekte edilerek aşağıdaki çalışma yapılmıştır.
Bu çalışmaya göre,
I. R-tipi bakteriler çevresel nedenlerle mutasyona uğrayarak S-tipine dönüşebilir.
II. S-tipi bakte"	/static/crops/Esen_Aylık_Planlı_Biyoloji_Soru_Bankası/Esen_Aylık_Planlı_Biyoloji_Soru_Bankası_p0169_q02.png	C:\Users\husey\kiro2\d-dataset\output\crops\Esen_Aylık_Planlı_Biyoloji_Soru_Bankası\Esen_Aylık_Planlı_Biyoloji_Soru_Bankası_p0169_q02.png	True					
c5f65419-5fda-5373-93f7-23f5dc77ebed	sayısal_no_tier	MATEMATIK	CAP-2022-2023-TYT-Matematik Soru Bankası	106		231	Şekil 1'de genişlikleri aynı uzunlukları farklı ön yüzeyleri dikdörtgen şeklindeki X, Y ve Z tahtaları verilmiştir. Şekil 2'de, Şekil 1'de verilen tahtaların yerleştirildiği üç durum vardır. Buna göre, $2X + Y + 3Z$ toplamı kaçtır?	/static/crops/CAP-2022-2023-TYT-Matematik_Soru_Bankası/CAP-2022-2023-TYT-Matematik_Soru_Bankası_p0106_q02.png	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT-Matematik_Soru_Bankası\CAP-2022-2023-TYT-Matematik_Soru_Bankası_p0106_q02.png	True					
2d82e7a2-84a7-50c1-aa4c-6968556286f4	sayısal_no_tier	GEOMETRI	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bankası	82		168	ABC üçgen, K noktası ABC üçgeninin kenar orta dikmelerinin kesim noktası, $[KD] \perp [BC]$, $|KD| = 5$ cm, $|AK| = 13$ cm. Yukarıdaki verilere göre, $|BC|$ kaç cm'dir?	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0082_q01.png	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0082_q01.png	True					
39891d70-5256-5c41-8687-999b52afd665	sayısal_no_tier	KIMYA	345 2025 Tyt Kimya Soru Bankası	59		222	Katman elektron dizilimleri verilen X ve Y atomları ile ilgili, I. X ametal, Y metaldir. II. X periyodik cetvelde 2. periyot 7A grubunda bulunur. III. Y'nin değerlik elektron sayısı 2'dir. yargılarından hangileri doğrudur?	/static/crops/345_2025_Tyt_Kimya_Soru_Bankası/345_2025_Tyt_Kimya_Soru_Bankası_p0059_q02.png	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Tyt_Kimya_Soru_Bankası\345_2025_Tyt_Kimya_Soru_Bankası_p0059_q02.png	True					
dca8e3ae-3ece-56c2-b097-69958df0d24e	sayısal_tier	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	243	tier1b_position_page_inline	287	"Etiket fiyatı 540 TL olan ürünlere etiketleme yapılırken bu ürünlerin bazılarına etiket fiyatı yanlışlıkla 450 TL olarak basılmıştır. Bu etiketleme sonucu satılan ürünlerden normalde göre %8 daha az kazanç elde edilmiştir.
Buna göre, kaç adet ürün doğru etiketleme ile satılmış olabilir?"	/static/crops/C1CELL-2024-TYT-Matematik_Soru_Bankası/C1CELL-2024-TYT-Matematik_Soru_Bankası_p0243_q07.png	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-Matematik_Soru_Bankası\C1CELL-2024-TYT-Matematik_Soru_Bankası_p0243_q07.png	True					
eec11e4d-7bc9-5eaa-bc36-2a650716b650	sayısal_tier	MATEMATIK	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	398	tier1_page_inline	119	"İki zar aynı anda atılıyor.

Zarlardan bir tanesinin 3 geldiği bilindiğine göre, diğerinin de 3 gelme olasılığı kaçtır?"	/static/crops/Bilgi_Sarmalı-2025-Ayt-Matematik_Soru_Bankası/Bilgi_Sarmalı-2025-Ayt-Matematik_Soru_Bankası_p0398_q03.png	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2025-Ayt-Matematik_Soru_Bankası\Bilgi_Sarmalı-2025-Ayt-Matematik_Soru_Bankası_p0398_q03.png	True					
6900bf88-a52d-568e-a46c-a68cfddcdf66	sayısal_tier	GEOMETRI	345 2025 Tyt Ayt Geometri Soru Bankası 1	33	tier1_page_inline	94	"ABC eşkenar üçgen
BDC ikizkenar dik üçgen
[BD] ⊥ [BC]
olduğuna göre, m(ADC) = α kaç derecedir?"	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0033_q01.png	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0033_q01.png	True					
94bec794-ef4e-5630-842f-0c59c4dbf231	sayısal_tier	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	188	tier1_page_inline	62	"$\log_{3}\left(\frac{1}{27}\right)=x$
olduğuna göre, x kaçtır?"	/static/crops/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası_p0188_q06.png	C:\Users\husey\kiro2\d-dataset\output\crops\Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası\Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası_p0188_q06.png	True					
7df38e74-bab6-5758-8f8c-6e43cceca0c8	sayısal_tier	FIZIK	Apotemi 2019 2020 Modern Fizik Konu Anlatımlı Soru Bankası	210	tier1b_position_page_inline	150	"Compton olayında gelen foton ile saçılan fotonun,

I. Hızlarının büyüklüğü
II. Enerjileri
III. Dalga boyları

niceliklerinden hangileri eşit olabilir?"	/static/crops/Apotemi_2019_2020_Modern_Fizik_Konu_Anlatımlı_Soru_Bankası/Apotemi_2019_2020_Modern_Fizik_Konu_Anlatımlı_Soru_Bankası_p0210_q02.png	C:\Users\husey\kiro2\d-dataset\output\crops\Apotemi_2019_2020_Modern_Fizik_Konu_Anlatımlı_Soru_Bankası\Apotemi_2019_2020_Modern_Fizik_Konu_Anlatımlı_Soru_Bankası_p0210_q02.png	True					
e43247a9-a056-5557-9e52-61359f215bd5	sözel_no_tier	TARIH	Bilgi Sarmal Ayt Tarih Soru Bankasi 2020 2021	109		449	"Aşağıdaki soruların cevaplarını bulmacada yer alan satırlara yazınız.
Soldan Sağa:
1. Osmanlı Devleti'nde kadı ve müderrislerin atamalarından sorumlu divan üyesidir.
2. Padişah adına yazılan belgelere tuğra çekmek, kanunları düzenlemek ve fethedilen toprakların kaydını yapmakla görevli olan divan üy"	/static/crops/Bilgi_Sarmal_Ayt_Tarih_Soru_Bankasi_2020_2021/Bilgi_Sarmal_Ayt_Tarih_Soru_Bankasi_2020_2021_p0109_q02.png	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmal_Ayt_Tarih_Soru_Bankasi_2020_2021\Bilgi_Sarmal_Ayt_Tarih_Soru_Bankasi_2020_2021_p0109_q02.png	True					
