id	book	page	q_no_raw	tier	similarity	matched_q_no	crop_q_no	crop_file	hd_pre	db_text_preview	ocr_text_preview	verdict
0ff3e3ce-c644-5394-9865-d95dbb64fbf5	Orijinal-2024-Geometri Soru Bankası	119	11	G1	0.407	11	3	Orijinal-2024-Geometri_Soru_Bankası_p0119_q03.png	true	Yukarıdaki verilere göre, sarı renk ile boyalı bölgenin alanı kaç $cm^2$ dir?	ABC üçgen m(∠ACD) = 30° m(∠DCB) = 15° |DC| = 4 cm |AC| = 6 cm |BC| = 8√2 cm  Yukarıdaki verilere gör	
9603f7be-21ee-5ccf-9a8f-3db1a27db6bc	Neofizik Ayt Fizik Soru Bankası 2025	34	5	G1	0.481	5	1	Neofizik_Ayt_Fizik_Soru_Bankası_2025_p0034_q01.png	true	Sürtünme kuvvetinin sabit olduğu şekildeki eğik düzlem üzerindeki $2 \text{ kg}$ kütleli cisim $v$ h	Sürtünme kuvvetinin sabit olduğu şekildeki eğik düzlem üzerindeki 2 kg kütleli cisim v hızıyla fırla	
17cc9286-2e5d-5662-8ac8-b88dc6e7ad13	Aromat-2024-Matematik Net 30	63	AROMAT MODELİ	G3	0.622		3	Aromat-2024-Matematik_Net_30_p0063_q03.png	true	Dik koordinat düzleminde $f$ fonksiyonunun türevi olan $f'$ fonksiyonunun $[0, 5]$ aralığındaki graf	Dik koordinat düzleminde f fonksiyonunun türevi olan f' fonksiyonunun [0, 5] aralığındaki grafiği il	
18f7a57a-9cff-56b4-9bdb-a4717aa60872	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	68	8	G1	0.489	8	1	Apotemi_2019_2020_Tyt_Ayt_Fizik_Soru_Bankası_p0068_q01.png	true	K, L demir silindirlerin ilk sıcaklıkları sırasıyla $80^{\circ}\text{C}$, $60^{\circ}\text{C}$ ve kü	K, L demir silindirlerin ilk sıcaklıkları sırasıyla 80 °C, 60 °C ve kütleleri 2m, m dir.  Cisimlerin	
f2f4c556-0540-5009-bee4-8af7bd58c94a	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	185	Soru : 14a	G3	0.605		1	Aktif_Ogrenme_2025_Tyt_Fizik_Soru_Bankası_p0185_q01.png	true	Yükleri sırasıyla $+2q$, $-6q$, $+8q$, $-2q$, $-q$, $+3q$ olan K, L, M, N, P ve R elektroskopları öz	Soru : 14a Yükleri sırasıyla +2q, -6q, +8q, -2q, -q, ve +3q olan K, L, M, N, P ve R elektroskopları 	
cc45f46b-e51b-5e9e-b940-5bd1ef792cdd	345 2025 Ayt Matematik Soru Bankası	297	5	G1	0.479	5	2	345_2025_Ayt_Matematik_Soru_Bankası_p0297_q02.png	true	Gerçek sayılarda tanımlı bir fonksiyon $[a, b]$ aralığında artan ise bu fonksiyonun $[a, b]$ aralığı	ÖNERME  Gerçel sayılarla tanımlı bir fonksiyon [a, b] aralığında artan ise fonksiyonun [a, b] aralığ	
09014b91-0580-56ed-97d1-afdfe755e377	345 2024 Ayt Kimya Soru Bankası	269	6	G1	0.469	6	2	345_2024_Ayt_Kimya_Soru_Bankası_p0269_q02.png	true	Karbon atomlarının halka oluşturacak şekilde dizilmesiyle oluşan alkanlara halkalı alkan (sikloalkan	Karbon atomlarının halka oluşturacak şekilde dizilmesiyle oluşan alkanlara halkalı alkan (sikloalkan	
257315ae-d3ba-541b-a219-b5ab4a954dbf	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	95	12	G1	0.478	12	6	C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0095_q06.png	true	ABC eşkenar üçgen, $[EF] \parallel [BC]$ $[ED] \parallel [AB]$ Ç(ABDC) = 24 br Verilenlere göre, Ç(B	ABC eşkenar üçgen, [EF] // [BC] [FD] // [AB] C(ABC) = 24 br  Verilenlere göre, Ç(BDEF) kaç br'dir?	
877f945a-3ecb-5309-8c2a-95dc844b8421	2023-2024-ACİL-TYT-Matematiğin İlacı	251	9	G1	0.459	9	6	2023-2024-ACİL-TYT-Matematiğin_İlacı_p0251_q06.png	true	$f:[0,4] \to \mathbb{R}$ olmak üzere $f(x): "x=a$ doğrusu, $y$ ekseni ve OABC karesi arasında kalan 	f:[0,4] → R (x): "x = a doğrusu, y ekseni ve OABC karesi arasında kalan bölgenin çevresinin ölçüsü" 	
f2285a3c-33ef-5469-a8b3-93ee015982c0	345 2025 Ayt Matematik Soru Bankası	115	NULL	G3	0.571		1	345_2025_Ayt_Matematik_Soru_Bankası_p0115_q01.png	NULL	Kenarları a, b ve c olan ABC üçgeninde (1 - cosA)/cosA ifadesinin eşiti aşağıdakilerden hangisidir?	Kenarları a, b ve c olan bir ABC üçgeninde $$\frac{c-a \cdot \cos B}{\cos A}$$ ifadesinin eşiti aşağ	
f68cac55-5627-537a-b2dd-818864661197	Cap Ayt Fizik Soru Bankası 2023 2024	50	8	G2	0.566		1	Cap_Ayt_Fizik_Soru_Bankası_2023_2024_p0050_q01.png	true	Sürtünmesiz ortamda kütleleri sırasıyla 5 kg ve 3 kg olan X ve Y cisimleri ağırlığı önemsiz bir iple	Sürtünmesiz eğimli düzlemde kütleleri sırasıyla 5 kg ve 3 kg olan X ve Y cisimleri ağırlığı önemsiz 	
a79127de-c6de-51b3-83e8-07c9e8af0dbc	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bank	212	7	G1	0.45	7	1	2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0212_q01.png	true	Şekilde verilen küp üzerinde $|KGI|=2$ birim, $|HK|=6$ birimdir. Buna göre, $A(AEK)$ kaç birimkaredi	Şekilde verilen küp üzerinde |KG| = 2 birim, |HK| = 6 birim Buna göre, A(AEK) kaç birimkaredir?	
a78706e4-198e-5744-946b-7948bc43a4f7	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bank	124	7.	G1	0.44	7	1	2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0124_q01.png	true	ABCD paralelkenar $AC \cap EB = \{F\}$ $A(AEF) = 6 \text{ br}^2$ $A(AFB) = 9 \text{ br}^2$ Buna göre	ABCD paralelkenar AC \cap EB = (F) A(\triangle AEF) = 6 br^2 A(\triangle AFB) = 9 br^2  Buna göre, A	
a51255ef-80d7-567b-b2ef-c28f324ebe4e	345 2025 Ayt Matematik Soru Bankası	229	6	G1	0.48	6	3	345_2025_Ayt_Matematik_Soru_Bankası_p0229_q03.png	true	Aşağıda $f+g$ ve $g-h$ fonksiyonlarının grafikleri gösterilmiştir. Buna göre, $lim_{x \to 1^-} [f(x)	Aşağıda f + g ve g - h fonksiyonlarının grafikleri gösterilmiştir.  Buna göre, $$ \lim_{x \to 1^-} [	
0169300e-18d3-518e-b157-0c4b52ad2b08	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	26	Soru: 14a	G3	0.647		3	Aktif_Ogrenme_2025_Tyt_Fizik_Soru_Bankası_p0026_q03.png	true	Kütlesi $10 \text{ g}$ olan eşit hacim bölmeli K cismi Şekil I'deki taşırma kabına yavaşça bırakılıy	Kütlesi 10 g olan eşit hacim bölmeli K cismi Şekil I'deki taşıma kabına yavaşça bırakılıyor. Cismin 	
87986c15-320e-52c6-a2bf-1117a7ec6618	Apotemi 2019 2020 Modern Fizik Konu Anlatımlı Soru	144	10	G1	0.421	10	2	Apotemi_2019_2020_Modern_Fizik_Konu_Anlatımlı_Soru_Bankası_p0144_q02.png	true	Bohr atom modelinde yükü $Ze$ olan çekirdek, $e$ yüklü elektronun $r$ yarıçaplı yörüngede hareket et	Bohr atom modelinde yükü Ze olan çekirdek, e yüklü elektrona $\frac{kZe^2}{r^2}$ kadar merkezi kuvve	
51b01632-39bc-591a-b659-d3824c3e3028	Full Matematik-2019-2020-Geometri Soru Bankası	249	8.	G1	0.4	8	4	Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0249_q04.png	true	Dik koordinat düzlemindeki $ABCD$ karesinde $B(0, 4)$ ve $C(3, 0)$ ise $A$ noktasının $y = 5$ doğrus	Dik koordinat düzlemindeki ABCD karesinde B(0, 4) ve C(3, 0) ise A noktasının y = 5 doğrusuna göre, 	
