id	v1_sim	v2_sim	delta	v2_class	correct_answer	qtext_preview	ocr_preview	image_url
596f50ca-579c-5a0d-b03f-ec83acc1dbfe	0.182	0.217	+0.035	v2_severe	C	$[AB] \parallel [AE]$, $[BC] \parallel [DC]$, $[DE] \parallel [AE]$. $|AE|=15$ cm, $|DE|=10$ cm, $|DC|=7$ cm, $|BC|=14$ 	[AB]⊥[AE], [BC]⊥[DC], [DC]⊥[DE], |AE| = 15 cm, |DE| = 10 cm, |DC| = 7 cm, |BC| = 14 cm  Yukarıdaki verilere göre, |AB| =	/static/crops/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0050_q05.png
b22c1316-b277-5506-b18e-db119999b583	0.240	0.231	-0.009	v2_severe	D	ABCD paralelkenar, $|DE|=|EC|$, $|FD|=2|BF|$, $[BD]\cap[AE]=\{H\}$, $[BD]\cap[AF]=\{G\}$ ve Alan($\overset{\triangle}{AG	ABCD paralelkenar, |DE| = |EC|, |FC| = 2|BF| [BD] ∩ [AE] = {H}, [BD] ∩ [AF] = {G} ve Alan(AGH) = 10 cm² dir.  Yukarıda v	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0173_q03.png
36a7f67e-0bde-53c7-b421-cb3c7058d700	0.259	0.258	-0.001	v2_severe	B	ABCD deltoid, $|AB|=|AD|$, $|BC|=|CD|$, $[BD]$ nin açıortayı $m(\widehat{BKA})=60^\circ$, $|BK|=4$ br, $|AK|=6$ br, $|BC	10. ABCD deltoid $|AB| = |AD|$ $[AK]$, $\widehat{BAD}$'nın açıortayı $m(\widehat{BKA}) = 60°$ $|BK| = 4$ br $|AK| = 6$ b	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0245_q02.png
2fe4fc05-a75b-5723-8588-cbd499587833	0.263	0.286	+0.023	v2_severe	D	ABC üçgen, $[AB] \parallel [AD]$, $[AC]$ açıortay, $[BC]$ açıortay, $|EC|=3$ cm, $|AD|=5$ cm. Yukarıdaki verilere göre, 	[AB]⊥[AD], [AC]⊥[BC], [BD] açıortay, |EC| = 3 cm, |AD| = 5 cm  Yukarıdaki verilere göre, |BC| = x kaç cm'dir?	/static/crops/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0082_q01.png
a8a23ee1-24c0-5083-9e29-85659aa2c1d4	0.227	0.292	+0.065	v2_severe	B	ABC üçgen, $[AB] \parallel [LD]$, $[BC] \parallel [ME]$, $[AC] \parallel [KF]$, $|BC|=20$ cm, $|AB|=15$ cm, $|ML|=8$ cm.	ABC üçgen, [AB]⊥[LD], [BC]⊥[ME], [AC]⊥[KF], |BC| = 20 cm, |AB| = 15 cm, |ML| = 8 cm  Yukarıdaki verilere göre, |KL| = x 	/static/crops/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0120_q04.png
d20a7a63-7a6c-53c5-ba19-7537d45fe1d8	0.095	0.292	+0.197	v2_severe	C	BAC bir dik üçgen, $|EF|=|AF|=|FC|$, $|AD|=|BD|$, $|BE|=2$ cm, $|DE|=3$ cm. Yukarıdaki verilere göre, $|EC|=x$ kaç cm'di	BAC bir dik üçgen |EF| = |AF| = |FC| |AD| = |BD| |BE| = 2 cm |DE| = 3 cm  Yukarıda verilenlere göre, |EC| = x kaç cm'dir	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0031_q02.png
2797cc39-b9af-5400-b59a-4d1abb45766a	0.312	0.294	-0.018	v2_severe	D	$|AB|=|AD|$, $|AC|=|AE|$, $m(\widehat{ABC})=32^\circ$, $m(\widehat{DEC})=38^\circ$. Yukarıdaki verilere göre, $\alpha$ k	|AB| = |AD| |AC| = |AE| m(\widehat{ACB}) = 32° m(\widehat{DEC}) = 38°  Yukarıdaki verilere göre, α kaç derecedir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0087_q05.png
0a024750-a0fd-51dd-af2e-68a196f5c976	0.188	0.300	+0.112	v2_severe	D	ABC üçgen, $|AB|=|BE|$, $|ED|=|DC|$, $m(\widehat{ABE})=30^\circ$, $m(\widehat{BED})=70^\circ$ olduğuna göre, $m(\widehat	ABC üçgen |AB| = |BE| |ED| = |DC| m($\widehat{ABE}$) = 30° m($\widehat{BED}$) = 70° olduğuna göre, m($\widehat{BDE}$) = 	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0044_q01.png
49aba062-6366-5a68-8bc8-32b2a472433a	0.222	0.300	+0.078	v2_severe	D	ABCD dikdörtgen, E $\in$ [CB], $|AC|=|BD|=|G|$, $|AF|=|FB|=12$ cm, $|GC|=20$ cm olduğuna göre, Alan(GEB) kaç $\text{cm}^	ABCD dikdörtgen E ∈ [CB [AC] ∩ [ED] = {G} |AF| = |FB| = 12 cm |GC| = 20 cm  olduğuna göre, A(GEB) kaç cm² dir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0377_q01.png
c8ab27d0-9eac-5b4f-a918-9086d62ad203	0.250	0.300	+0.050	v2_severe	A	ABCD dikdörtgen, $[DE] \perp [EF]$, $|DE|=|EF|$, $|DC|=9$ cm, $|AD|=13$ cm. Yukarıdaki verilere göre, $|AF|=x$ kaç $\tex	ABCD dikdörtgen, [DE]⊥[EF], |DE| = |EF|, |DC| = 9 cm, |AD| = 13 cm  Yukarıdaki verilere göre, |AF| = x kaç cm'dir?	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0212_q06.png
