id,subject_area,has_img,qtext,oa,ob,oc,od,oe
f0896712-5b61-5109-82b8-a3f40ce28814,BIYOLOJI,t,Tohumun çimlenmesi sürecinde aşağıdaki olaylardan hangisi diğerlerinden daha önce gerçekleşir?,Çeneklerden embriyoya besin aktarılması,Tohumu su alarak enzimlerinin aktive etmesi,Embriyonik gövdeden ilk yaprakların oluşması,Karbonhidrat depolarının azalması,Embriyonik kökün oluşması
b5d9415b-81de-503d-a7f7-464c4c5bae48,BIYOLOJI,t,"İskelet kasının kasılması sürecinde meydana gelen aşağıdaki olaylardan hangisi, diğerlerinden sonra gerçekleşir?",Sinir uçlarından asetilkolin salgılanması,Uyartıların motor plağa taşınması,Sarkolemma üzerindeki $Na^{+}$ kanallarının açılması,Kalsiyum iyonlarının iplikler arasına salgılanması,Miyozinlerin aktinlere bağlanması
847ada6a-9686-5f46-b651-3222b86354bd,BIYOLOJI,t,"Dehidrasyon: Monomerler arasında kovalent bağ kurularak su açığa çıkan tepkimelerdir. Hidroliz: Büyük organik moleküllerin su harcanarak yapı taşlarına parçalanmasıdır. Bu bilgilere göre; I. nişastadan maltoz ve dekstrin oluşması, II. amino asitlerin polipeptide dönüşmesi, III. selülozdaki glikozit bağlarının kırılması, IV. monosakkaritlerden disakkarit oluşması dönüşümlerinden hidroliz ve dehidrasyon tepkimesine örnek olanlar aşağıdakilerin hangisinde verilmiştir?","I ve II, III ve IV","III ve IV, I ve II","II ve IV, I ve III","I ve III, II ve IV","Yalnız IV, I ve II"
23f31180-0e18-50b2-8f65-1d8d8419643f,BIYOLOJI,t,Beyinde dopamin üreten nöronların kaybedilmesi nedeniyle yaşanan dopamin eksikliği yüzünden mesajlar düzgün bir biçimde iletilemez. En belirgin belirtileri vücutta titreme ve yavaş hareket etme durumudur. Yukarıda anlatılan titrek felç olarak da bilinen sinir sistemi hastalığı aşağıdakilerden hangisidir?,Multipl skleroz (MS),Parkinson,Epilepsi,Menenjit,Çocuk felci
ac77529a-23b2-5e6b-a5d7-cfc63b238022,BIYOLOJI,t,"Ökaryot hücrelerde DNA eşlenmesinde rol oynayan enzimlerle ilgili, I. Sarmal zincirleri birbirinden helikaz ayırır. II. Yeni zincirlerin ucuna nükleotitleri DNA polimeraz ekler. III. DNA parçacıkları arasındaki boşlukları DNA ligaz kapatır. ifadelerinden hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,II ve III,"I, II ve III"
ad9a36ed-784a-561c-bf8f-82dbf9ce0051,BIYOLOJI,t,"Bir bilim insanı; ""Kıkırdak dokuda, kemik dokusundan farklı olarak kan damarı yoktur."" hipotezini kuruyor. Kıkırdak dokuya ait I. gerekli bütün besinlerin temel bağ dokusundan alınması, II. hücrelerinin bölünme yeteneklerinin az olması, III. dokuyu oluşturan hücrelerin bir kapsül içinde bulunması özelliklerinden hangileri bu hipotezi desteklemek için kullanılabilir?",I ve II,I ve III,Yalnız I,Yalnız II,Yalnız III
b90bda46-de35-5ce6-9ed7-034fcb4ac964,BIYOLOJI,t,Aşağıdaki durumların hangisinde sağlıklı bir insan kalbinin atış hızında yavaşlama olması beklenir?,Kandaki karbondioksit miktarı arttığında,Kandaki adrenalin hormonu seviyesi arttığında,Çevre sıcaklığı azaldığında,Kalbe etki eden vagus siniri uyarıldığında,Kalbe dönen kan hacmi arttığında
928fdcfa-82ab-54d5-a523-8b21d051734d,BIYOLOJI,t,"Bir sinir hücresinde impulslar iletilirken, aşağıdaki olaylardan hangisi meydana gelmez?",Bir miktar ısının açığa çıkması,İyon geçişleri ile zar potansiyelinin değişmesi,Oksijenli solunumla ATP üretilmesi,Akson uzadıkça iletim hızının artması,Akson zarında aktif taşımayla potansiyel farkının oluşması
b3fd8854-a86c-58d4-b05f-2b661986d26e,COGRAFYA,t,"Dünya üzerinde doğal veya yapay yollardan açılmış olan önemli deniz yolu geçitleri olarak nitelendirilen boğaz ve kanallar jeopolitik, jeostratejik ve jeoekonomik açıdan oldukça önemli bir role sahiptir. Aşağıdaki su yollarından hangisinde bu durum gözlenmez?",Panama Kanalı,Bering Boğazı,İstanbul Boğazı,Süveyş Kanalı,Cebelitarık Boğazı
21b4e270-cbde-5a90-84ac-8d66ac95cd50,COGRAFYA,t,Aşağıda jeolojik zamanlar ve bu jeolojik zamanlarda meydana gelen olaylar eşleştirmelerinden hangisi yanlıştır?,Prekambriyen - Atmosferin oluşumu,Paleozoik - Pangea Kıtası'nın oluşumu,Mezozoik - Tetis Denizi'nin oluşumu,Senozoyik - Linyit yataklarının oluşumu,Kuvaterner - Lavrasya Kıtası'nın oluşumu
91b9b793-11fb-524e-9cfd-173c49af08b0,COGRAFYA,t,"Devlet Su İşleri Genel Müdürlüğü (DSİ), tarımsal sulamada kullanılan kanal sisteminden vazgeçerek, tarlalara suyu yerin bir metre altına döşenen basınca dayanıklı borularla taşıma uygulamasına başlattı. Devlet Su İşleri Genel Müdürlüğü (DSİ), bu uygulamayla aşağıdakilerden hangisini amaçlamaz?",İşletme ve bakım maliyetini azaltmayı,Daha az suyla daha geniş alanları sulamayı,Düşük su ihtiyacı olan tarım ürünlerinin ekimini yaygınlaştırmayı,Su kontrolünü kolaylaştırmayı,Suyun taşınması sırasında buharlaşma yoluyla kaybolan su oranını düşürmeyi
988f64b0-143d-57a3-ba89-4a4c7c24ee75,EDEBIYAT,t,"Bir gün Oğuz, ormanda av sürülerini ve halkı yiyen bir canavar gorgodanla karşılaşır; üç gün sonra onu öldürür. Başka bir gün, Tanrı'ya yalvarırken gökten mavi bir ışık arasında düşen güzel bir kız görür, onunla evlenir. Üç erkek çocuğu olur; adlarını ""Gün, Ay, Yıldız"" koyar. Bir süre sonra göl ortasında bir ağaç kovuğunda gördüğü başka bir kızı da sever, alır. Bundan olan üç oğluna da ""Gök, Dağ, Deniz"" adlarını verir. Yukarıda içeriğinden söz edilen Türk destanı ile ilgili aşağıdakilerden hangisi yanlıştır?",Anonim halk edebiyatı ürünüdür.,Orijinali manzum biçimdedir.,Göktürk destanlarındandır.,İslamiyet öncesi ürünlerindendir.,Ulusal nitelikler taşımaktadır.
dc46bff5-fbeb-5c1a-b6a0-6b4658ae342e,EDEBIYAT,t,"Edebiyat fakültesinde öğrenci olan Birkan, Yahya, Tansu, Eray ve Erünç; romanlar üzerine araştırma yapmaktadır. Bu araştırmalarında edebiyatın diğer bilimlerle ilişkisi üzerine de yoğunlaştıkları görülmektedir. Bu araştırmalarında Küçük Ağa romanını ele alan öğrenciler; • Romanda, Kurtuluş Savaşı'nın konu edindiği için --- faydalandığını görmüşlerdir. • Savaş döneminde Anadolu köylerindeki toplumsal olayların verilmesiyle --- faydalandığını görmüşlerdir. • Savaşın geçtiği dereler, ovalar, dağlar ve ırmakların işlenmesi ile --- faydalandığını görmüşlerdir. • Romanda Küçük Ağa'nın ruh dünyasına geniş yer verilirken --- faydalandığını görmüşlerdir. Buna göre boş bırakılan yerlere aşağıdakilerden hangisi sırasıyla getirilmelidir?",psikolojiden - sosyolojiden - tarihten - coğrafyadan,tarihten - sosyolojiden - coğrafyadan - psikolojiden,sosyolojiden - tarihten - coğrafyadan - psikolojiden,coğrafyadan - tarihten - psikolojiden - sosyolojiden,tarihten - sosyolojiden - psikolojiden - coğrafyadan
0a0c8c43-e639-5141-82de-08814d897294,EDEBIYAT,t,"Yerleşti bu sevdayı her yerine Yüzünde ter olan su damlacıklarını Kaynağına yerleşir Her zaman saklamadığın, acılsızlığın son durağına Gül taşıyan çocuğuna yerleşir Ve omuzlarına daracık omuzlarına Bu dizelerle ilgili aşağıdakilerden hangisi söylenemez?",Soyut anlatımla yazılmıştır.,Birey üzerindeki toplum baskısı anlatılmıştır.,Dil günlük dilin dışındadır.,Anlamda imgelemeden faydalanılmıştır.,Anlam kapalıdır.
