idx	bucket	id	book	page	q_no	image_path	ok	jaccard	substr_pct	db_text	ocr_text	raw_response
1	direct	a6bedf0d-c3c2-5beb-b6f0-091f004e22ad	CAP-2023-2024-AYT-Matematik Soru Bankası	289	6	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2023-2024-AYT-Matematik_Soru_Bankası\CAP-2023-2024-AYT-Matematik_Soru_Bankası_p0289_q04.png	True	0.290	0.778	$f(x)$ fonksiyonu $d$ doğrusuna $A(2, 3)$ noktasında teğettir. $g(x) = f(5-f(x))$ olduğuna göre, $g'(2)$ değeri kaçtır?	6. y = f(x) fonksiyonunun grafiği aşağıda verilmiştir.  f(x) fonksiyonu d doğrusuna A(2, 3) noktasında teğettir.  g(x) =	```json {   "soru_metni": "6. y = f(x) fonksiyonunun grafiği aşağıda verilmiştir.\n\nf(x) fonksiyonu d doğrusuna A(2, 3) noktasında teğettir.\n\ng(x) = f(5 – f(x)) olduğuna göre, g'(2) değeri kaçtır?",   "secenekler": {     "A": "–4",     "B": "–1",     "C": "1",     "D": "2",     "E": "4"   },   "h
2	direct	38a5b945-79c4-51ba-a184-ead70de81faa	Orijinal-2024-Ayt-Trigonometri	25	10	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Ayt-Trigonometri\Orijinal-2024-Ayt-Trigonometri_p0025_q02.png	True	0.364	0.882	BAC dik üçgen \([AB] \perp [AC]\) \([BC] \perp [AH]\) \(|HC| = \cot\alpha\) \(m(\widehat{ABH}) = \alpha\) olduğuna göre,	BAC dik üçgen [AB] ⊥ [AC] [BC] ⊥ [AH] |HC| = cotα  m(ÂBH) = α olduğuna göre, |BH| uzunluğunun α türünden değeri aşağıda	```json {   "soru_metni": "BAC dik üçgen\n[AB] ⊥ [AC]\n[BC] ⊥ [AH]\n|HC| = cotα\n\nm(ÂBH) = α olduğuna göre, |BH| uzunluğunun α türünden değeri aşağıdakilerden hangisine eşittir?",   "secenekler": {     "A": "cot³α",     "B": "cot²α",     "C": "tan²α",     "D": "tan³α",     "E": "sin²α"   },   "has
3	direct	a97f2615-30fa-5713-abea-7eda90385904	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	96	9	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0096_q06.png	True	0.391	0.917	ABC üçgen, $|AF| = |FE| = |EC|$, $|BD| = |DG| = 2 \cdot |AG|$. Buna göre, $\frac{A(\widehat{DEFG})}{A(\widehat{ABC})}$ o	ABC üçgen |AF| = |FE| = |EC| |BD| = |DG| = 2 ∙ |AG|  Buna göre, $\frac{A(DEFG)}{A(ABC)}$ oranı kaçtır?	```json {   "soru_metni": "ABC üçgen\n|AF| = |FE| = |EC|\n|BD| = |DG| = 2 ∙ |AG|\n\nBuna göre, $\\frac{A(DEFG)}{A(ABC)}$ oranı kaçtır?",   "secenekler": {     "A": "$\\frac{1}{3}$",     "B": "$\\frac{1}{2}$",     "C": "$\\frac{2}{3}$",     "D": "$\\frac{3}{4}$",     "E": "$\\frac{5}{6}$"   },   "has
4	direct	7f84289e-c7e0-547e-b6e5-037e9ee6574d	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	75	10	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0075_q05.png	True	0.545	0.722	ABC ve ADE ikizkenar dik üçgen $|AB| = |AC|$, $|AD| = |AE|$, $[BA] \perp [AC]$, $[DA] \perp [AE]$. $|AB| = 6$ cm ve $|AD	10. ABC ve ADE ikizkenar dik üçgen $|AB|=|AC|$, $|AD|=|AE|$, $[BA] \perp [AC]$, $[DA] \perp [AE]$. $|AB|=6$ cm ve $|AD|=	```json {   "soru_metni": "10. ABC ve ADE ikizkenar dik üçgen $|AB|=|AC|$, $|AD|=|AE|$, $[BA] \\perp [AC]$, $[DA] \\perp [AE]$.\n$|AB|=6$ cm ve $|AD|=4$ cm dir.\n\nYukarıdaki verilere göre, $|AF|=x$ kaç cm dir?",   "secenekler": {     "A": "$\\frac{2}{3}$",     "B": "$\\frac{4}{3}$",     "C": "2",  
5	direct	a0f19a90-513f-5ed4-89c2-ef9d49be8d89	Orijinal-Tyt Ayt Geometri Soru Bankası	210	12	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-Tyt_Ayt_Geometri_Soru_Bankası\Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0210_q06.png	True	0.167	0.900	ABCD dikdörtgen, $|AE| = 11$ cm, $|EC| = 3$ cm, $|DE| = 9$ cm. Yukarıdaki verilere göre, $|EB| = x$ kaç cm'dir?	ABCD dikdörtgen |AE| = 11 cm |EC| = 3 cm |DE| = 9 cm  Yukarıda verilenlere göre, |EB| = x kaç cm'dir?	```json {   "soru_metni": "ABCD dikdörtgen\n|AE| = 11 cm\n|EC| = 3 cm\n|DE| = 9 cm\n\nYukarıda verilenlere göre, |EB| = x kaç cm'dir?",   "secenekler": {     "A": "4",     "B": "5",     "C": "6",     "D": "7",     "E": "8"   },   "has_diagram": true,   "diagram_description": "ABCD dikdörtgeni içinde
6	direct	d088a335-82f4-59d5-94df-aeb3895b2ec3	345 2025 Tyt Ayt Geometri Soru Bankası 1	107	6	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0107_q04.png	True	0.256	1.000	A, E ve D doğrusal, $AB \parallel CD$, $EF \parallel BD$, $[BC]$ açıortay, $|AB| = 4$ cm, $|BD| = 12$ cm olduğuna göre, 	A, E ve D doğrusal AB // CD EF // BD [BC] açıortay |AB| = 4 cm |BD| = 12 cm olduğuna göre, |FD| = x kaç cm'dir?	```json {   "soru_metni": "A, E ve D doğrusal\nAB // CD\nEF // BD\n[BC] açıortay\n|AB| = 4 cm\n|BD| = 12 cm\nolduğuna göre, |FD| = x kaç cm'dir?",   "secenekler": {     "A": "1",     "B": "1,5",     "C": "2",     "D": "2,5",     "E": "3"   },   "has_diagram": true,   "diagram_description": "Bir yamu
7	direct	5bffce3f-98a5-5659-bb87-7efc95ae712d	Orijinal-2024-Geometri Soru Bankası	269	10	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Geometri_Soru_Bankası\Orijinal-2024-Geometri_Soru_Bankası_p0269_q01.png	True	0.333	0.500	$[CK, D$ noktasında çembere teğet olduğuna göre; $m(\widehat{CED}) = \alpha$ kaç derecedir?	[BC] ∩ [AD] = {E} m(AF) = m(AB) |CD| = |DE|  [CK, D noktasında çembere teğet olduğuna göre; m(CED) = α kaç derecedir?	```json {   "soru_metni": "[BC] ∩ [AD] = {E}\nm(AF) = m(AB)\n|CD| = |DE|\n\n[CK, D noktasında çembere teğet olduğuna göre;\nm(CED) = α kaç derecedir?",   "secenekler": {     "A": "30",     "B": "45",     "C": "60",     "D": "75",     "E": "80"   },   "has_diagram": true,   "diagram_description": "Bi
8	direct	c7b36f67-481a-5e1e-be70-14fec655cf7c	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	214	7	C:\Users\husey\kiro2\d-dataset\output\crops\Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2\Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0214_q01.png	True	0.241	0.600	ABCD paralelkenar, $ED \perp DC$, $m(\widehat{AGE}) = m(\widehat{ECB})$, $|AE| = 4$ cm. Verilenlere göre, Alan(ABCD) kaç	7.  ABCD paralelkenar. ED ⊥ DC  m(ADE) = m(DCE) = m(ECB), |AE| = 4 cm  Verilenlere göre, Alan(ABCD) kaç cm² dir?	```json {   "soru_metni": "7.\n\nABCD paralelkenar. ED ⊥ DC\n\nm(ADE) = m(DCE) = m(ECB), |AE| = 4 cm\n\nVerilenlere göre, Alan(ABCD) kaç cm² dir?",   "secenekler": {     "A": "48",     "B": "48√3",     "C": "64",     "D": "64√3",     "E": "72"   },   "has_diagram": true,   "diagram_description": "AB
9	direct	41c50ff9-33ae-5a82-9105-f43a0dd818e7	345 Tyt Ayt Geometri Soru Bankası	325	9	C:\Users\husey\kiro2\d-dataset\output\crops\345_Tyt_Ayt_Geometri_Soru_Bankası\345_Tyt_Ayt_Geometri_Soru_Bankası_p0325_q02.png	True	0.240	1.000	ABC üçgen, $|DB|=2$ cm, $|DE|=4$ cm, $|EC|=4$ cm, $|AD|=|AC|=8$ cm olduğuna göre, $|BE|=x$ kaç cm'dir?	ABC üçgen |DB| = 2 cm |DE| = |EC| = 4 cm |AD| = |AC| = 8 cm olduğuna göre, |BE| = x kaç cm'dir?	```json {   "soru_metni": "ABC üçgen\n|DB| = 2 cm\n|DE| = |EC| = 4 cm\n|AD| = |AC| = 8 cm\nolduğuna göre, |BE| = x kaç cm'dir?",   "secenekler": {     "A": "3",     "B": "3,5",     "C": "4",     "D": "4,5",     "E": "5"   },   "has_diagram": true,   "diagram_description": "Bir ABC üçgeni. D noktası 
10	direct	417b1cbb-84da-5de6-9865-7327de604eac	2023-2024 ACİL- AYT Matematik Soru Bankası	148	5	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024_ACİL-_AYT_Matematik_Soru_Bankası\2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0148_q02.png	True	0.333	0.750	Şekildeki $ABC$ üçgeninde, $|BD|=|DC|$, $|AE|=2$ birim, $|AC|=1$ birim olduğuna göre, $\sin\alpha$ kaçtır?	Şekildeki ABC üçgeninde, |BD| = |DC|, |AB| = 2 birim, |AC| = 1 birim olduğuna göre, sinα kaçtır?	```json {   "soru_metni": "Şekildeki ABC üçgeninde,\n|BD| = |DC|, |AB| = 2 birim, |AC| = 1 birim\nolduğuna göre, sinα kaçtır?",   "secenekler": {     "A": "$\\frac{\\sqrt{3}}{2}$",     "B": "$\\frac{\\sqrt{3}}{4}$",     "C": "$\\frac{\\sqrt{3}}{6}$",     "D": "$\\frac{\\sqrt{2}}{3}$",     "E": "$\\f
