cc1bdc4a-d1d1-5166-97d9-2b6797f203b5E	BIYOLOJIE	tE	Çift çenekli bir bitkinin eşeyli yolla çoğalması sırasında I. yumurtanın döllenmesi, II. tozlaşmanın gerçekleşmesi, III. zigottan embriyonun gelişmesi, IV. generatif çekirdekten sperm çekirdeklerinin oluşması olayları, aşağıdakilerin hangisinde verilen sıraya göre gerçekleşir?E	I - III - IV - IIE	II - I - III - IVE	II - IV - I - IIIE	IV - I - III - IIE	IV - III - II - I
aab91cf3-6cb9-54db-864c-925adae202e7E	BIYOLOJIE	tE	Bilimsel yöntemle bir problemin çözülmesi sürecinde; I. kontrollü deney düzeneklerinin kurulması, II. tahminlerin yapılması, III. gözlemlerin yapılması ve verilerin toplanması uygulamalarından hangileri hipotez oluşturulmadan önce yapılır?E	Yalnız IE	Yalnız IIE	Yalnız IIIE	I ve IIE	I ve III
1cf4affd-852c-5927-bcba-7ddf4a7d2602E	BIYOLOJIE	tE	Bir virüs, uygun hücreye ulaştığında çoğalmak için konak hücrenin .................... kullanır. Bu cümlede boş bırakılan yere aşağıdakilerden hangisi gelemez?E	ribozomlarınıE	ATP molekülleriniE	nükleotitleriniE	DNA'sınıE	enzimlerini
b85f7248-14e1-5cfa-9ef7-5025740bae72E	BIYOLOJIE	tE	Kan grubu A Rh+ olan bir kişinin genotipi aşağıdakilerden hangisi olamaz?E	$A0 RR$E	$AA Rr$E	$AA rr$E	$A0 Rr$E	$AA RR$
0c7cd595-c5fb-53fe-99c2-868cef5e36fdE	BIYOLOJIE	tE	Omurgalı hayvanların sınıflandırılmasında kullanılan; I. vücudun kıllarla kaplı olması, II. derinin pulsuz ve nemli olması, III. vücudun tüylerle kaplı olması özelliklerine sahip olan canlılar aşağıdakilerin hangisinde doğru verilmiştir?E	Kedi, Semender, YarasaE	Karga, Hamsi, YarasaE	Yarasa, Yılan, KargaE	Kedi, Kurbağa, KargaE	Karga, Kurbağa, Köpek
5bd38424-5306-5b29-a026-508481deb59bE	BIYOLOJIE	tE	Aşağıda aynı aile (familya) içinde yer alan üç farklı canlı türü verilmiştir. X: Cucumis melo Y: Cucumis sativus Z: Cucurbita pepo Bu canlı türleriyle ilgili, I. Aynı sınıf içinde yer alırlar. II. X türünün Y türüne benzerliği, Z türüne benzerliğinden daha fazladır. III. Aynı popülasyon içinde yer alırlar. IV. X ve Y türleri, çiftleştiklerinde verimli döller oluşturamazlar. ifadelerinden hangileri doğrudur?E	I ve IIE	II ve IIIE	III ve IVE	I, II ve IVE	II, III ve IV
f95b7d82-915b-5356-a604-de0ef66942b2E	BIYOLOJIE	tE	Karaciğer ve bağlantılı damarlarla ilgili I. Karaciğer atardamarı, karaciğere $O_2$ bakımından fakir, $CO_2$ bakımından zengin kan getirir. II. Karaciğer toplardamarındaki glikoz oranı, kapı toplardamarından yüksek olamaz. III. Karaciğer, glikozun fazlasını glikojen şeklinde depo eder. ifadelerinden hangileri doğrudur?E	Yalnız IIE	Yalnız IIIE	I ve IIE	I ve IIIE	II ve III
4709f5e4-0829-5c9a-afe7-518580bcf87bE	BIYOLOJIE	tE	Bir bilim insanı, dinlenme halindeki nöronlarda da bir miktar enerjinin harcandığını ileri sürmektedir. Buna göre, nöronların aşağıdaki özelliklerinden hangisi bilim insanının bu görüşe varmasının temel nedeni olabilir?E	Etraflarında çok sayıda kılcal damarın bulunmasıE	Akson uçlarında çok sayıda mitokondrinin bulunmasıE	Çoğalma (bölünme) yeteneklerinin olmamasıE	Aralarındaki iletimin kimyasal olarak yapılmasıE	Dinlenme halindeki zar potansiyelinin aktif taşıma ile sağlanması
819d803e-1fd3-5751-a1ad-d6e157ba4f0cE	COGRAFYAE	tE	Gelişen teknolojinin bir sonucu olarak erken uyarı sistemleri geliştirilmiştir. Erken uyarı sistemleri sayesinde birçok doğal afetin oluşma yeri ve zamanı tahmin edilebilmektedir. Bu sayede doğal afetlerin neden olduğu can kayıplarının en aza indirilmesi mümkündür. Yukarıdaki açıklama, günümüz koşullarında aşağıdaki doğal afetlerden hangisi için söz konusu değildir?E	Sel ve taşkınE	TsunamiE	DepremE	Şiddetli fırtınaE	Volkanik patlama
1dcec32b-0052-56a9-b2ad-99409b825738E	COGRAFYAE	tE	Boylamlar; I. göreceli konumun belirlenmesi, II. güneş ışınlarının geliş açısının hesaplanması, III. yerel saatin hesaplanması, IV. gölge boyunun hesaplanması işlemlerinin hangilerinde kullanılır?E	I ve IIE	I ve IIIE	I ve IVE	II ve IIIE	III ve IV
