                  id                  |                         source_book                         |                                                                                                 preview                                                                                                  
--------------------------------------+-------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 8cd57070-114c-5295-bbda-1ae084489f24 | 2019-2020-Acil-Matematiğin ilacı Tyt Matematik Soru Bankası | Şekildeki fotoğraf, bir uydunun çektiği güneşe ait bir fotoğraftır.                                                                                                                                     +
                                      |                                                             | $\frac{1}{100000000}$ ölçekle çekilen fotoğrafta güneşin çapı 14 cm'dir.                                                                                                                                +
                                      |                                                             | Buna göre, güneşin gerçekte çapı kaç km'dir?
 d5bd5352-34a1-5a3f-bcb8-a0bbdd17b99a | 345 2025 Ayt Matematik Soru Bankası                         | Aşağıdaki not defterinde bir soru ve çözümü yer almaktadır.                                                                                                                                             +
                                      |                                                             |                                                                                                                                                                                                         +
                                      |                                                             | SORU                                                                                                                                                                                                    +
                                      |                                                             | m ∈ R olmak üzere                                                                                                                                                                                       +
                                      |                                                             | x² - 3x - 2 = x² - 2x - m                                                                                                                                                                               +
                                      |                                                             | denklemlerinin                                                                                                                                                                                          +
                                      |                                                             | .................... kaçıtır?                                                                                                                                                                           +
                                      |                                                             |                                                                                                                                                                                                         +
                                      |                                                             | ÇÖZÜM                                                                                                                                                                                                   +
                                      |                                                             | x² - 3x - 2 = x² - 2x - m                                                                                                                                                                               +
                                      |                                                             | → 2 - m = x₁
 1630586e-1298-518a-a459-3b846e9b14c5 | 345 2024 Tyt Matematik Soru Bankası                         | Selin: "Üç basamaklı abc sayısının rakamları arasında ........ eşitliği varsa, bu sayıya eş aralıklı sayı denir." Metin: "O hâlde 123 sayısı eş aralıklı bir sayıdır." Buna göre, Metin'in ifadesinin do
 5ec63401-b1bd-5644-b783-237e2d16d249 | Bilgi Sarmalı-2023-2024-Problemler Soru Bankası             | Bir kargo firması gönderilen ürünlerin alınacak fiyatı hesaplarken şu adımları izliyor.                                                                                                                 +
                                      |                                                             |                                                                                                                                                                                                         +
                                      |                                                             | * Ağırlığın kg cinsinden değerini bulunur.                                                                                                                                                              +
                                      |                                                             | * Hacmi için                                                                                                                                                                                            +
                                      |                                                             |   En (cm) x Boy (cm) x Yükseklik (cm)                                                                                                                                                                   +
                                      |                                                             |   ---------------
 3f1ed1ed-d04a-568d-b5d0-347bd59aaa5d | Apotemi 2024 Ayt Kimya Soru Bankasi                         | .................................... enerji düzeylerinin en alt enerji düzeyine ayrıldıklarını gösterir.                                                                                                +
                                      |                                                             |                                                                                                                                                                                                         +
                                      |                                                             | Yukarıdaki cümlede boş bırakılan yere aşağıdakilerden hangisi getirildiğinde doğru olur?
 39ba37c5-e876-561c-b833-49c5e4bc03cb | Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası                | Bir ışık kaynağının parlaklığına ............ denilebilir, bir yüzeyin parlaklığına ise ............ denir.                                                                                             +
                                      |                                                             |                                                                                                                                                                                                         +
                                      |                                                             | Yukarıda 1 ve 2 ile belirtilen boş yerlere aşağıdakilerden hangisi gelmelidir?
 6a86f02b-308e-59fd-a510-80c7668a7e96 | Aktif Ogrenme 0 Baslayanlara Kimya 2019 2020                | (-) yüklü iyonlara .................... denir.                                                                                                                                                          +
                                      |                                                             | Boş bırakılan yere aşağıdakilerden hangisi yazılmalıdır?
 b7d1aaef-bace-5d7b-b7de-a6177e12efd2 | Bilgi Sarmalı-2022-2023-Tyt-Problemler Soru Bankası         | Bir kargo firması gönderilen ürünlerden alınacak fiyatı hesaplarken şu adımları izliyor.                                                                                                                +
                                      |                                                             | • Ağırlığın kg cinsinden değeri bulunur.                                                                                                                                                                +
                                      |                                                             | • Hacmi için                                                                                                                                                                                            +
                                      |                                                             | En (cm) x Boy (cm) x Yükseklik (cm)                                                                                                                                                                     +
                                      |                                                             | ---------------------
(8 sat�r)

                  id                  |                  source_book                  |                                                                                                 preview                                                                                                  
--------------------------------------+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 9fe04391-0e55-543d-a7f7-d27220e87370 | Mikro Orijinal Tyt Paragraf Soru Bankası 2024 | Çocukken birileri, hayal gücümüzün aşırı fantezi olmasından kötü bir şey olduğunu söylemiş olabilir. Hayal gücümüz evet, başıboş bolaya sokabilir ama aynı zamanda hayal gücünü kullanarak başkalarına y
 9aeee62f-12af-595f-93d7-4dd5da41b54a | Edebiyat Sokagi Ayt Edebiyat Yeterlilik Testi | Turna katarları geçiyordu gölün üstünden gölgeleri mavije düşer sanki. Van Gölü, günün her anında bir renk cümbüşüne yunup duruyordu. Bir bakmışım ki, bir anda sarıya dönüşmüş, bir turuncu şimşegi gib
 7ba2d236-6c44-595b-8803-6f3c36029b8a | Esen Aps Ayt Edebiyat Soru Bankası            | ---, onun kelimeler dünyasında yaptığı ihtilalin edebiyatımıza postmodern bir yansımasıdır. Eser, Turgut Özenec adlı yazarın milenyumun kayboluşuna başlar. Hay kabukluşu, insan psikolojisinin giriftle
 833bb958-dc2c-5aca-8786-63ccf4a6abe8 | Edebiyat Sokagi Baslangic Paragraf            | Manzara, bir anaokulu çocuğunun resim defterinden çıkmış gibiydi. Masmavi bir göl, bembeyaz bulutlar, sanki pamuk helva... Yeşil tepelerin üzerinde de sürekli ışıldayan bir güneş, çiçeğe durmuş elma v
 2a2e8710-ec10-591b-9152-427208cbed47 | Bilgi Sarmal Tyt Türkçe Soru Bankası 2024     | Kötülüğü seçmeye gücü yetmeyen insanın iyiliği seçmiş olması, insanı asla değerli kılmaz. Çünkü ....
 b089fd53-5b5a-5afd-8d11-0f7d59d33ca1 | Deneme Deposu Paragraf Denemeleri 2021 2022   | Adnan Sayıcı'nın şiirlerinden tanıdığım, Yerçekimine Uyan Portakal Çiçeği'ni kitabı değilmiş kuşkusuz ama benim için bir ilkti. Yazılarına dadandım sonra... Evrensel gazetesinde, "Güzelyalı" adını ver
 77437942-8cab-5696-8b9d-d96e0c9ee93a | Vaf Capli Paragraf Soru Bankası               | Küçük kasabasında geçirilen senelerden çok ama çok daha fazla zamandır bir metropolde yaşıyor osman, oysa baştan aşağı değişmişti. Şöhreti bir şirkette sabah sekiz, akşam altı çalışıp bir yetki için p
 5f76ef67-db56-5f29-bf26-ec90f7c50e01 | Cap Tyt Konu Anlatımlı Soru Bankasi 2024      | Kent sistemlerinin sürdürülebilirliğinin sağlanmasında alan kullanım planlaması açısından önem taşıyan ekosistem hizmetleri ve yeşil altyapı çalışmaları, dünyada birçok gelişmiş ülkede kentsel planlam
(8 sat�r)

