id,subject_area,q,oa,ob,oc,od,oe,key
7132f150-a2c5-5079-b3fd-02c34003f963,BIYOLOJI,"Normal bir insanda aşağıdaki olaylardan hangisi, doğrudan hipofiz bezinden salgılanan hormonlar yardımıyla gerçekleştirilmez?",Uterus kaslarının kasılması,Süt bezlerinde süt üretilmesi,Olgunlaşan foliküllerin parçalanması,Böbreklerde suyun geri emilmesi,Hücrelerin tükettiği oksijen miktarını artırmak,E
120c81e5-9b9e-5c67-b449-bacece2d90bc,BIYOLOJI,İnsan dolaşım sisteminde yer alan damarlarla ilgili aşağıdakilerden hangisi yanlıştır?,Atardamarlarda kan basıncı diğer damarlardakine göre daha yüksektir.,"Toplardamarlardan kan akış hızı, kılcal damarlardakinden daha yüksektir.",Damar çeşitleri arasında en fazla toplam yüzey alanına kılcal damarlar sahiptir.,Toplardamarların damar çapı atardamarlarınkinden daha büyüktür.,"Kılcal damarların duvarında bağ doku, kas doku ve endotel bulunur.",E
1b04bfe0-1395-593f-8d45-4007fd67ef5e,BIYOLOJI,"Aşağıda, aynı ekosistemde yaşayan canlılar arasındaki simbiyotik etkileşimlerle ilgili örnekler verilmiştir:
I. Baklagil ve baklagil köklerindeki nodüllerde yaşayan bakteri birlikteliğinde bakteri, havadaki azot gazını bağlayarak baklagilin azotu kullanabilmesini sağlarken baklagil ise bakteriye organik besin sağlar.
II. Mandalar ile bir çayırdaki böceklerin birlikteliğinde mandalar, otlamaları sırasında otlar arasındaki böcekleri ezerken kendisi bu durumdan bir fayda sağlamaz.
III. Sucul kaplumbağalar ve onların kabukları üzerinde yaşayan yosunların birlikteliğinde yosunlar, kaplumbağalar sayesinde yer değiştirip korunurken kaplumbağalar bundan etkilenmez.
Bu örnekler ile simbiyotik etkileşim çeşitleri aşağıdakilerin hangisinde doğru eşleştirilmiştir?","I: Kommensalizm, II: Mutualizm, III: Amensalizm","I: Mutualizm, II: Kommensalizm, III: Amensalizm","I: Mutualizm, II: Amensalizm, III: Kommensalizm","I: Amensalizm, II: Mutualizm, III: Kommensalizm","I: Kommensalizm, II: Amensalizm, III: Mutualizm",C
39ecd0d3-9eaa-5e6a-94ba-5cb66fc48ad0,BIYOLOJI,"İnsan vücudunda; I. zigottan yeni birey oluşması, II. yaraların iyileşmesi, III. kan hücrelerinin üretilmesi olaylarından hangilerinin gerçekleşmesi sırasında mitoz görülür?",Yalnız I,Yalnız II,Yalnız III,I ve II,"I, II ve III",E
deca2b75-2770-5d9e-be2b-9d4cc85e1cd3,BIYOLOJI,Aşağıdakilerden hangisi kalıtsal varyasyona sebep olacak olaylardan değildir?,Mutasyon,Homolog kromozomların bağımsız dağılımı,Döllenme,Eşeysiz Üreme,Krossing over,D
5fa68a20-b3da-54f0-bcc7-b3dee1e1a3bb,BIYOLOJI,"Fotosentetik ve kemosentetik canlılar inorganik maddeleri kullanarak organik besinleri sentezleyebilirler.
Bu besinin hem üretenler, hem de bunlarla beslenen canlılar tarafından kullanılmasındaki temel faktör aşağıdakilerden hangisi olabilir?",Canlıların yaşadıkları çevreye uyumunu kolaylaştırmak,Ekosistemdeki ayrıştırıcı canlılar için gerekli besini oluşturmak,İnorganik maddelerin yeniden oluşturulmasını sağlamak,Metabolizmanın devamlılığı için gerekli enerjiyi ve yapı taşlarını oluşturmak,Organik besinlerin doğadaki birikimini engellemek,D
e0a135ed-f54b-5db4-a125-74caf29a771d,BIYOLOJI,"Açlık durumunda iken bile kan kalsiyum miktarı normalin üzerinde olan bir insan ile ilgili
I. Kemikler sert ve oldukça kırılgan bir hale gelmiştir.
II. Paratiroit bezi aşırı çalışmaktadır.
III. Kanındaki parathormon yetersizdir.
IV. Kalsitonin hormonu düzeyinin kontrol mekanizması bozulmuştur.
ifadelerinden hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,I ve III,II ve IV,C
538d6244-3d89-5e52-983a-294a89e4b430,BIYOLOJI,Komüniteyi oluşturan farklı türler arasında aşağıdaki ilişki tiplerinden hangisinin görülmesi beklenmez?,Süksesyon,Rekabet,Çiftleşme,Av-avcı,Simbiyoz,C
af4ffc5f-53df-5537-abb8-96c618e31085,BIYOLOJI,"Etil alkol fermantasyonunda gözlenen I. $CO_2$ oluşturma, II. ortamı asidikleştirme, III. ATP sentezleme olaylarından hangileri laktik asit fermantasyonunda da gerçekleşir?",I ve III,II ve III,Yalnız I,Yalnız III,I ve II,D
7780b2f0-12bb-51dc-845a-bfb966c84372,BIYOLOJI,Aşağıda verilen hormon ikililerinden hangi ikisi arasında geri bildirim (feed back) mekanizması görülür?,"Adrenalin, Glukagon","Kortizol, Tiroksin","FSH, Östrojen","LTH, Oksitosin","Kalsitonin, Parathormon",C
