id	drift_sim	drift_class	correct_answer	qtext_full	ocr_full	image_url
db904600-9396-5fa7-b2a9-7c199411f120	0.833	moderate_drift	D	ABC üçgen, $[AD] \perp [BC]$, $|AB| = 9$ cm, $|AC| = 17$ cm, $|DC| = 15$ cm Yukarıdaki verilere göre, $|BD| = x$ kaç cm'dir?	ABC üçgen, [AD] ⊥ [BC], |AB| = 9 cm, |AC| = 17 cm, |DC| = 15 cm  Yukarıdaki verilere göre, |BD| = x kaç cm'dir?	/static/crops/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0044_q01.png
26446d2a-62d4-5bf6-b2c3-299a677cfdf5	0.600	substantive_drift	C	ABCD paralelkenar, $|AB|=4|AK|=4|KH|$, $|BE|=|EF|=|FC|$. $A(ABCD)=120 \text{ cm}^2$ olduğuna göre, boyalı bölgenin alanı kaç $\text{cm}^2$ dir?	ABCD paralelkenar |AB|=4|AK|=4|KH| |BE|=|EF|=|FC|  A(ABCD) = 120 cm² olduğuna göre, boyalı bölgenin alanı kaç cm² dir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0305_q03.png
08675020-9a55-5c24-ab43-9751ec9fcd88	0.438	severe_drift	D	ABCD dörtgen, $AB ot BC$, $|AD|=4$ cm, $|BC|=5$ cm, $|DC|=6$ cm olduğuna göre, $x$ kaç farklı tam sayı değeri alabilir?	ABCD dörtgen AB ⊥ BC |AD| = 4 cm |BC| = 5 cm |DC| = 6 cm |AC| = x cm  olduğuna göre, x kaç farklı tam sayı değeri alabilir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0165_q06.png
fe29d62d-3ed9-519e-9942-12f1ce3b8b6d	0.357	severe_drift	E	ABC bir üçgen, $[BD]$ ve $[CD]$ açıortay, $m(\widehat{BDC})=48^\circ$ olduğuna göre, $m(\widehat{BAC})=x$ kaç derecedir?	ABC bir üçgen [BD] ve [CD] açıortay m(B͡DC) = 48°  olduğuna göre, m(B͡AC) = x kaç derecedir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0044_q04.png
5cdc1837-0c49-5779-86f0-ad521625cf7e	0.333	severe_drift	D	ABCD paralelkenar, $[DB]$ ve $[AC]$ köşegen, $|EC|=|AF|$, $m(\widehat{ACD})=20^\circ$ olduğuna göre, $m(\widehat{EFB})=x$ kaç derecedir?	ABCD paralelkenar [DB] ve [AC] köşegen |EC| = |AF| m(ACD) = 20°  olduğuna göre, m(EFB) = x kaç derecedir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0227_q05.png
541749ca-7261-55b7-bd14-b9a8ad99aca1	0.333	severe_drift	E	ABCD bir kare, [BD] köşegen, $|EC|=|AF|=13$ birim, $|EF|=10$ birim. Buna göre, $|DE|=x$ kaç birimdir?	ABCD bir kare, [BD] köşegen |EC| = |AF| = 13 birim |EF| = 10 birim  Buna göre, |DE| = x kaç birimdir?	/static/crops/2023-2024-ACİL-TYT-AYT_Geometri_Soru_Bankası/2023-2024-ACİL-TYT-AYT_Geometri_Soru_Bankası_p0180_q03.png
4c940d5d-f664-5737-8879-3589f2286b2d	0.733	moderate_drift	C	ABCD kare, $[FE] \perp [AD]$, $[BF] \perp [FC]$, $|AE| = 2$ cm, $|ED| = 8$ cm Yukarıdaki verilere göre, $|EF| = x$ kaç cm'dir?	ABCD kare, [FE] ⊥ [AD], [BF] ⊥ [FC], |AE| = 2 cm, |ED| = 8 cm Yukarıdaki verilere göre, |EF| = x kaç cm'dir?	/static/crops/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası_p0220_q03.png
301d21e9-fea6-5382-9ed1-2c0d747d64a9	0.300	severe_drift	C	ABC ve ABE birer üçgen, $[AE]$ açıortay, $AD \perp BE$, $|AB|=|AC|$, $|AD|=4$ birim, $|DE|=1$ birim. Buna göre, $|DC|$ kaç birimdir?	ABC ve ABE birer üçgen [AE] açıortay AB ⊥ BE |AB| = |AC| |AD| = 4 birim |DE| = 1 birim Buna göre, |DC| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0044_q02.png
fcf1e4d1-89f5-51a2-8efa-5a8eb8128b10	0.588	substantive_drift	C	[AB] çaplı yarım çemberde, [DC] $\perp$ [AB], $|CD|=6$ br, $|BC|=3$ br. Yukarıda verilenlere göre, çemberin yarıçapı kaç birimdir?	[AB] çaplı yarım çemberde [DC] ⊥ [AB] |CD| = 6 br |BC| = 3 br  Yukarıda verilenlere göre, çemberin yarıçapı kaç birimdir?	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0299_q01.png
20a2fe4f-90dc-5993-8987-c98d501c1e7f	0.278	severe_drift	D	[CA teğet, A noktası çemberde. ABC bir üçgen, $|AB|=|BD|$, $m(\widehat{BD})=150^\circ$, $m(\widehat{ACB})=x$. Buna göre, $x$ kaç derecedir?	[CA çembere A noktasında teğet ABC bir üçgen |AB| = |BD| m(\widehat{BD}) = 150° m(\widehat{ACB}) = x  Buna göre, x kaç derecedir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0184_q01.png
