idx	bucket	id	book	page	q_no	image_path	db_len	db_tail80	ocr_text_full	jaccard	substr_pct	verdict_huseyin
1	direct	a6bedf0d-c3c2-5beb-b6f0-091f004e22ad	CAP-2023-2024-AYT-Matematik Soru Bankası	289	6	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2023-2024-AYT-Matematik_Soru_Bankası\CAP-2023-2024-AYT-Matematik_Soru_Bankası_p0289_q04.png	119	)$ noktasında teğettir. $g(x) = f(5-f(x))$ olduğuna göre, $g'(2)$ değeri kaçtır?	6. y = f(x) fonksiyonunun grafiği aşağıda verilmiştir.  f(x) fonksiyonu d doğrusuna A(2, 3) noktasında teğettir.  g(x) = f(5 – f(x)) olduğuna göre, g'(2) değeri kaçtır?	0.290	0.778	
2	direct	38a5b945-79c4-51ba-a184-ead70de81faa	Orijinal-2024-Ayt-Trigonometri	25	10	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Ayt-Trigonometri\Orijinal-2024-Ayt-Trigonometri_p0025_q02.png	201	\(|BH|\) uzunluğunun $\alpha$ türünden değeri aşağıdakilerden hangisine eşittir?	BAC dik üçgen [AB] ⊥ [AC] [BC] ⊥ [AH] |HC| = cotα  m(ÂBH) = α olduğuna göre, |BH| uzunluğunun α türünden değeri aşağıdakilerden hangisine eşittir?	0.364	0.882	
3	direct	a97f2615-30fa-5713-abea-7eda90385904	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	96	9	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0096_q06.png	132	dot |AG|$. Buna göre, $\frac{A(\widehat{DEFG})}{A(\widehat{ABC})}$ oranı kaçtır?	ABC üçgen |AF| = |FE| = |EC| |BD| = |DG| = 2 · |AG|  Buna göre, $\frac{A(DEFG)}{A(ABC)}$ oranı kaçtır?	0.391	0.917	
4	direct	7f84289e-c7e0-547e-b6e5-037e9ee6574d	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	75	10	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0075_q05.png	183	| = 6$ cm ve $|AD| = 4$ cm dir. Yukarıdaki verilere göre, $|AF| = x$ kaç cm dir?	10. ABC ve ADE ikizkenar dik üçgen $|AB|=|AC|$, $|AD|=|AE|$, $[BA] \perp [AC]$, $[DA] \perp [AE]$. $|AB|=6$ cm ve $|AD|=4$ cm dir.  Yukarıdaki verilere göre, $|AF|=x$ kaç cm dir?	0.545	0.722	
5	direct	a0f19a90-513f-5ed4-89c2-ef9d49be8d89	Orijinal-Tyt Ayt Geometri Soru Bankası	210	12	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-Tyt_Ayt_Geometri_Soru_Bankası\Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0210_q06.png	111	, $|EC| = 3$ cm, $|DE| = 9$ cm. Yukarıdaki verilere göre, $|EB| = x$ kaç cm'dir?	ABCD dikdörtgen |AE| = 11 cm |EC| = 3 cm |DE| = 9 cm  Yukarıda verilenlere göre, |EB| = x kaç cm'dir?	0.167	0.900	
6	direct	d088a335-82f4-59d5-94df-aeb3895b2ec3	345 2025 Tyt Ayt Geometri Soru Bankası 1	107	6	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0107_q04.png	142	]$ açıortay, $|AB| = 4$ cm, $|BD| = 12$ cm olduğuna göre, $|FD| = x$ kaç cm'dir?	A, E ve D doğrusal AB // CD EF // BD [BC] açıortay |AB| = 4 cm |BD| = 12 cm olduğuna göre, |FD| = x kaç cm'dir?	0.256	1.000	
7	direct	5bffce3f-98a5-5659-bb87-7efc95ae712d	Orijinal-2024-Geometri Soru Bankası	269	10	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Geometri_Soru_Bankası\Orijinal-2024-Geometri_Soru_Bankası_p0269_q01.png	91	ktasında çembere teğet olduğuna göre; $m(\widehat{CED}) = \alpha$ kaç derecedir?	[BC] ∩ [AD] = {E} m(AF) = m(AB) |CD| = |DE|  [CK, D noktasında çembere teğet olduğuna göre; m(CED) = α kaç derecedir?	0.333	0.500	
8	direct	c7b36f67-481a-5e1e-be70-14fec655cf7c	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	214	7	C:\Users\husey\kiro2\d-dataset\output\crops\Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2\Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0214_q01.png	139	dehat{ECB})$, $|AE| = 4$ cm. Verilenlere göre, Alan(ABCD) kaç $\text{cm}^2$ dir?	ABCD paralelkenar. ED ⊥ DC  m(AD̂E) = m(DĈE) = m(EĈB), |AE| = 4 cm  Verilenlere göre, Alan(ABCD) kaç cm² dir?	0.250	0.600	
9	direct	41c50ff9-33ae-5a82-9105-f43a0dd818e7	345 Tyt Ayt Geometri Soru Bankası	325	9	C:\Users\husey\kiro2\d-dataset\output\crops\345_Tyt_Ayt_Geometri_Soru_Bankası\345_Tyt_Ayt_Geometri_Soru_Bankası_p0325_q02.png	102	, $|DE|=4$ cm, $|EC|=4$ cm, $|AD|=|AC|=8$ cm olduğuna göre, $|BE|=x$ kaç cm'dir?	ABC üçgen |DB| = 2 cm |DE| = |EC| = 4 cm |AD| = |AC| = 8 cm olduğuna göre, |BE| = x kaç cm'dir?	0.240	1.000	
10	direct	417b1cbb-84da-5de6-9865-7327de604eac	2023-2024 ACİL- AYT Matematik Soru Bankası	148	5	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024_ACİL-_AYT_Matematik_Soru_Bankası\2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0148_q02.png	106	 $|BD|=|DC|$, $|AE|=2$ birim, $|AC|=1$ birim olduğuna göre, $\sin\alpha$ kaçtır?	Şekildeki ABC üçgeninde, |BD| = |DC|, |AB| = 2 birim, |AC| = 1 birim olduğuna göre, sinα kaçtır?	0.333	0.750	
11	direct	64100c8e-bac2-5b64-ba76-e2bb1d1c08dd	Full Matematik-2019-2020-Geometri Soru Bankası	73	9	C:\Users\husey\kiro2\d-dataset\output\crops\Full_Matematik-2019-2020-Geometri_Soru_Bankası\Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0073_q05.png	116	, $|CE| = 5$ cm, $|AD| = 4$ cm. Yukarıdaki verilere göre, $|BC| = x$ kaç cm dir?	ABC eşkenar üçgen, $[DE] \perp [AC]$, $|CE| = 5$ cm, $|AD| = 4$ cm Yukarıdaki verilere göre, $|BC| = x$ kaç cm dir?	0.952	1.000	
12	direct	6c8e41a4-0ff7-59b2-914d-9fb122377df0	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	104	12	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0104_q05.png	191	E| = 4$ cm, $|CD| = 5$ cm. Buna göre, $m(\widehat{ACD}) = \alpha$ kaç derecedir?	12.  ABC ve CDE üçgen  B, C ve E doğrusal noktalar,  |AB| = 8 cm, |BC| = 6 cm, |AC| = 10 cm  |DE| = 3 cm, |CE| = 4 cm, |CD| = 5 cm  Buna göre, m(AĈD) = α kaç derecedir?	0.298	0.923	
13	direct	ed8a1533-96fb-504b-8d8b-4e60a10653d4	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	230	8	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0230_q04.png	153	yı, $|DB| = 12$ br, $|DF| = 7$ br. Yukarıda verilenlere göre, $|EF|$ kaç br'dir?	ABCD paralelkenar [AE], DÂB'nın açıortayı [CF], DĈB'nın açıortayı |DB| = 12 br |DF| = 7 br  Yukarıda verilenlere göre, |EF| kaç br'dir?	0.219	0.733	
14	direct	cc35e9a1-cbc0-5d13-b929-51a773f48b7a	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	20	10	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0020_q01.png	152	$m(\widehat{ABD})=30^\circ$, $m(\widehat{EDB})=x$. Buna göre, $x$ kaç derecedir?	ABC üçgen ED // BC |BD| = |BC| m(BAC) = 50° m(ABD) = 30° m(EDB) = x  Buna göre, x kaç derecedir?	0.185	0.667	
15	direct	f641aee4-0226-553a-bc73-2c8685e01291	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	193	10	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0193_q05.png	120	| = 2$ cm ve $|HE| = 1$ cm dir. Yukarıdaki verilere göre, $|HD| = x$ kaç cm dir?	ABCD dikdörtgen, [AE] ⊥ [BD], |BH| = 2 cm ve |HE| = 1 cm dir.  Yukarıdaki verilere göre, |HD| = x kaç cm dir?	0.379	0.917	
16	direct	1bb6e1b8-5149-57f3-bb66-d6f3be5c4cd5	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bankası	26	7	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0026_q01.png	156	)=20^{\circ}$ Yukarıdaki verilere göre, $m(\widehat{ABC})=\alpha$ kaç derecedir?	ABC üçgen, |AE| = |DE| = |EC|, m(BÂD) = 30°, m(DĈB) = 20°  Yukarıdaki verilere göre, m(AÂBC) = α kaç derecedir?	0.333	0.583	
17	direct	f0ce8c3c-e225-5e92-9f56-62821c2203d8	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	44	9	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0044_q06.png	124	 $|AD|=4$ birim, $|BD|=2$ birim, $|EC|=5$ birim. Buna göre, $|AE|$ kaç birimdir?	ABC dik üçgen, BA ⊥ AC, AD ⊥ BC  |AD| = 4 birim, |BD| = 2 birim, |EC| = 5 birim  Buna göre, |AE| kaç birimdir?	0.250	1.000	
18	direct	0591f3d0-51c2-503c-8ca8-fea4fbd81237	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	4	11	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0004_q03.png	148	widehat{BCE}) = 50^\circ$, $m(\widehat{CEF}) = x$. Buna göre, $x$ kaç derecedir?	AB // CD // EF m(ABC) = 110° m(BCE) = 50° m(CEF) = x  Buna göre, x kaç derecedir?	0.240	0.429	
19	direct	dadf4552-215a-568c-bcd8-a80b35748230	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	138	11	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0138_q03.png	125	birim, $|ICEI| = 4$ birim, $|IEFI| = 2$ birim. Buna göre, $|IBCI|$ kaç birimdir?	ABCD dikdörtgen DE ⊥ CF |DE| = 3 birim |CE| = 4 birim |EF| = 2 birim  Buna göre, |BC| kaç birimdir?	0.194	0.667	
20	direct	d91e2422-296f-5e25-87a6-217d30b23638	Orijinal-2024-Geometri Soru Bankası	176	11	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Geometri_Soru_Bankası\Orijinal-2024-Geometri_Soru_Bankası_p0176_q04.png	165	6$ cm, $|CD| = 12$ cm. ABCD deltoidinde verilenlere göre, $|BE| = x$ kaç cm'dir?	[BD] köşegen m(EÂD) = m(DBC) |AB| = |BC| = 9 cm |AE| = 6 cm |CD| = 12 cm  ABCD deltoidinde verilenlere göre, |BE| = x kaç cm'dir?	0.229	0.857	
21	direct	e2a1a383-2613-5afd-87c8-5aa91f1da2e2	345 2025 Ayt Matematik Soru Bankası	43	8	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Ayt_Matematik_Soru_Bankası\345_2025_Ayt_Matematik_Soru_Bankası_p0043_q02.png	214	 edip sıfır puan verdiğine göre; Didem, çözümün kaçıncı adımında hata yapmıştır?	Aşağıda Didem'in yazılı sınavında sorulan soruya yaptığı çözüm aşamaları gösterilmiştir.  4. Soru  $\sqrt{x-1}+7=x$  denkleminin çözüm kümesi nedir?  I. $(\sqrt{x-1})^2 = (x-7)^2$  II. $x-1 = x^2 - 14x + 49$  III. $0 = x^2 - 15x + 50$  IV. $0 = (x-10) \cdot (x-5)$  $\rightarrow x-10=0 \quad \rightarrow x-5=0$  $x=10 \qquad x=5$  V. $x_1=5$ ve $x_2=10$ köklerinin her ikisini de denklemin çözüm kümesinin elemanı kabul ederim.  Bu çözümü gören öğretmen bu soruyu yanlış kabul edip sıfır puan verdiğine göre; Didem, çözümün kaçıncı adımında hata yapmıştır?	0.365	0.517	
22	direct	0305e211-d565-512c-8106-393cb7100a92	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	230	7	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0230_q01.png	159	|$, $|EF| = 3$ br, $|CE| = 12$ br. Yukarıda verilenlere göre, $|DC|$ kaç br'dir?	ABCD paralelkenar [CE], DCB'nin açıortayı [CE] ⊥ [EF] |DF| = 2|FA| |EF| = 3 br |CE| = 12 br  Yukarıda verilenlere göre, |DC| kaç br'dir?	0.184	0.875	
23	direct	aca0ed21-9b42-57a5-8114-81e243630df2	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	30	9	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0030_q05.png	127	circ$, $m(\text{ACB}) = 60^\circ$. Buna göre, $m(\text{BDE}) = x$ kaç derecedir?	ABC üçgen, |BD| = |BE|, m(BAC) = 80°, m(ACB) = 60°  Buna göre, m(BDE) = x kaç derecedir?	0.304	0.500	
24	direct	87a10cfb-1e50-5071-9231-bf6a005d1c32	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	136	9	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0136_q06.png	111	17}$ birim $IBCI = 8$ birim $Alan(ABCD) = 2x^2$ birimkare Buna göre, $x$ kaçtır?	ABCD dikdörtgen |AB| = $4^{17}$ br |BC| = $8^7$ br Alan(ABCD) = $2^x$ br$^2$  Buna göre, x kaçtır?	0.250	0.500	
25	direct	6747a88d-d3eb-506c-9d7a-17e787ac03aa	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	77	6	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0077_q01.png	116	ıortay, $|DE|=4$ cm, $|AD|=2$ cm. Yukarıdaki verilere göre, $|BC|=x$ kaç cm dir?	ABC üçgen [DE] // [BC] [BE] açıortay |DE| = 4 cm |AD| = 2 cm Yukarıdaki verilere göre, |BC| = x kaç cm dir?	0.267	1.000	
26	direct	d1cf79e7-3bef-5c3c-8261-83c1e04a3221	Orijinal-2024-Geometri Soru Bankası	47	7	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Geometri_Soru_Bankası\Orijinal-2024-Geometri_Soru_Bankası_p0047_q01.png	164	]$, $[ET]\perp[BD]$. Yukarıdaki verilere göre, $\frac{|HT|}{|CD|}$ oranı kaçtır?	ABC ikizkenar üçgen |AB| = |AC| m(BÊT) = m(TÊD) [AH] ⊥ [BD] [ET] ⊥ [BD]  Yukarıdaki verilere göre, $\frac{|HT|}{|CD|}$ oranı kaçtır?	0.348	0.875	
