idx,opus
1,A
2,B
3,E
4,E
5,E
6,D
7,E
8,C
9,B
10,C
11,D
12,B
13,C
14,E
15,E
16,C
17,C
18,X
19,C
20,E
21,C
22,E
23,D
24,B
25,A
26,B
27,B
28,D
29,B
30,E
31,B
32,D
33,C
34,A
35,C
36,D
37,A
38,E
39,D
40,C
41,D
42,E
43,E
44,C
45,D
46,D
47,C
48,D
49,C
50,A
51,C
52,A
53,E
54,D
55,E
56,D
57,B
58,C
59,C
60,A
61,E
62,B
63,E
64,D
65,D
66,E
67,D
68,D
69,D
70,B
71,A
72,D
73,A
74,D
75,E
76,E
77,C
78,D
79,D
80,B
81,C
82,E
83,A
84,D
85,E
86,D
87,D
88,A
89,D
90,A
91,B
92,C
93,E
94,B
95,B
96,B
97,E
98,E
99,A
100,E
101,E
102,A
103,E
104,A
105,A
106,D
107,D
108,E
109,D
110,C
111,E
112,C
113,D
114,A
115,E
116,C
117,C
118,E
119,B
120,B
121,E
122,D
123,B
124,B
125,A
126,D
127,A
128,B
129,B
130,C
131,D
132,B
133,D
134,E
135,A
136,A
137,D
138,D
139,A
140,D
141,D
142,A
143,B
144,E
145,C
146,D
147,C
148,D
149,C
150,A
151,C
152,B
153,A
154,E
155,A
156,C
157,E
158,C
159,C
160,E
161,E
162,D
163,E
164,C
165,B
166,A
167,B
168,A
169,E
170,B
171,A
172,C
173,E
174,D
175,E
176,E
177,E
178,D
179,E
180,E
181,E
182,C
183,E
184,E
185,C
186,B
187,A
188,B
189,C
190,C
191,D
192,B
193,E
194,C
195,C
196,E
197,E
198,E
199,A
