id	book	page	db_q_no	ocr_soru_no	crop_q_no	tier	similarity	crop_file	db_text_preview	ocr_text_preview	verdict
bf13fafb-d974-5936-9871-df30fe722524	Esen Aps Fizik Soru Bankası 3	198	8	8	3	D1	0.719	Esen_Aps_Fizik_Soru_Bankası_3_p0198_q03.png	Kırmızı renkli bir ışık ışınının bazı ortamlardaki hızı aşağıdaki tabloda verilmiştir. Üç farklı ort	Kırmızı renkli bir ışık ışınının bazı ortamlardaki hızı aşağıdaki tabloda verilmiştir.  | Ortam | Iş	
134887c8-a6cd-5d37-8d95-39944b0ea1d8	2023-2024-ACİL-TYT-AYT Geometri Soru Bankası	311	13	13	1	D1	0.733	2023-2024-ACİL-TYT-AYT_Geometri_Soru_Bankası_p0311_q01.png	ABC eşkenar üçgendir. C(m, m) ve B(6, 0). Buna göre, $A(\widehat{ABC})$ kaç birimkaredir?	ABC eşkenar üçgendir. C(m, m) ve B(6, 0) Buna göre, A(ABC) kaç birimkaredir?	
2e1308df-6f98-57ab-9fdf-a270d22f8492	2019-2020-ACİL-AYT-Matematik Soru Bankası	10	10	10	4	D1	0.944	2019-2020-ACİL-AYT-Matematik_Soru_Bankası_p0010_q04.png	Bir kişi işletmesinde kablosuz bağlantı olduğunu ifade etmek için yukarıdaki logoyu boyayarak işletm	Bir kişi işletmesinde kablosuz bağlantı olduğunu ifade etmek için yukarıdaki logoyu boyayarak işletm	
e4b58c99-ab4d-5660-b341-0068b2d8c0bf	Full-2019-2020-Ayt-Matematik Soru Bankası	53	11	11	4	D1	0.833	Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0053_q04.png	Yukarıda üç sokak lambasının birbirlerine olan uzaklıkları birer polinom olarak verilmiştir. I. soka	Yukarıda üç sokak lambasının birbirlerine olan uzaklıkları birer polinom olarak verilmiştir.  • I. s	
c68b4884-4e7b-5e89-9ff8-5c6fb8f19d72	Orijinal-Tyt Ayt Geometri Soru Bankası	431	14	14	4	D1	0.815	Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0431_q04.png	Bir kargo paketi hazırlamak isteyen Zeynep, Şekil 1'deki gibi kapağı bulunan ve tabanı kare olan dik	Bir kargo paketi hazırlamak isteyen Zeynep, üst yüzeyinde Şekil 1'deki gibi kapakçı bulunan ve taban	
2179c553-18f2-52f4-a2dd-f40921bd2346	345 Tyt Ayt Geometri Soru Bankası	309	7	7	3	D1	0.833	345_Tyt_Ayt_Geometri_Soru_Bankası_p0309_q03.png	Aşağıdaki yaya geçidinin iki tarafında yer alan özdeş tabelalar, eşkenar dörtgen biçiminde olup yere	Aşağıdaki yaya geçidinin iki tarafında yer alan özdeş tabelalar, eşkenar dörtgen biçiminde olup yere	
b15f12e5-56f9-5df0-9ba2-b2aec5e42479	345 2025 Tyt Biyoloji Soru Bankası	153	10	10	4	D1	0.861	345_2025_Tyt_Biyoloji_Soru_Bankası_p0153_q04.png	Aşağıda bölünmekte olan bir hücrenin durumu gösterilmiştir. Bu hücre için I. Mayoz bölünme geçirmekt	Aşağıda bölünmekte olan bir hücrenin durumu gösterilmiştir.  Bu hücre için  I. Mayoz bölünmeye geçme	
275bb39b-ee53-54f8-acd3-ee69936338c3	Orijinal-2024-Geometri Soru Bankası	13	6	6	3	D1	0.905	Orijinal-2024-Geometri_Soru_Bankası_p0013_q03.png	Farklı renklerdeki ve dikdörtgen biçimindeki üç karton, aşağıdaki gibi üst üste konuluyor. Yukarıda 	Farklı renklerdeki ve dikdörtgen biçimindeki üç karton, aşağıdaki gibi üst üste konuluyor.  Yukarıda	
74cf7fed-4140-5b5e-8a88-89a61976050a	Full Matematik-Tyt-Matematik Soru Bankası	27	9	9	2	D1	0.776	Full_Matematik-Tyt-Matematik_Soru_Bankası_p0027_q02.png	Yukarıdaki tabloda 6 rakamından başlanarak çapraz gidilmeden, geçilen kutudan bir daha geçmemek koşu	Yukarıdaki tabloda 9 rakamından başlanarak çapraz gidilmeden, geçilen kutudan bir daha geçmemek koşu	
b0c9e4e4-883d-5a47-8aeb-5a3cef4f4b35	Neofizik Tyt Soru Bankası	192	5	5	1	D1	1.0	Neofizik_Tyt_Soru_Bankası_p0192_q01.png	X ortamında oluşturulan doğrusal bir su dalgasının Y ve Z ortamlarındaki ilerleyişi şekildeki gibidi	X ortamında oluşturulan doğrusal bir su dalgasının Y ve Z ortamlarındaki ilerleyişi şekildeki gibidi	
49a1f07b-c64a-5f22-a2cb-61e53b9dd2db	Esen Yks Motivasyon Fizik Testleri	169	5	5	1	D1	0.76	Esen_Yks_Motivasyon_Fizik_Testleri_p0169_q01.png	Ağırlığı $P$ olan eşit bölmeli düzgün türdeş çubuk şekildeki gibi dengededir. Yalnız yatay yüzey sür	Ağırlığı P olan eşit bölmeli düzgün türdeş çubuk şekil-deki gibi dengededir.  Yalnız yatay yüzey sür	
0695e653-e839-5875-b3dc-4405c45072aa	Full Matematik-Tyt-Matematik Soru Bankası	161	9	9	2	D1	0.806	Full_Matematik-Tyt-Matematik_Soru_Bankası_p0161_q02.png	Ali Bey, ailesi ile birlikte çektirdiği fotoğrafların sağ alt köşesine sırasıyla fotoğrafın çekildiğ	Ali bey, ailesi ile birlikte çektiği fotoğrafların sağ alt köşesine sırasıyla fotoğrafın çekildiği y	
945f00a7-e6ec-542b-826a-5c74717e5226	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	206	9	9	5	D1	1.0	Apotemi_2019_2020_Tyt_Ayt_Fizik_Soru_Bankası_p0206_q05.png	Şekildeki sürtünmesiz sistemde 5 m kütleli cisim F kuvveti ile en az iş yapılarak h kadar yükseltili	Şekildeki sürtünmesiz sistemde 5 m kütleli cisim F kuvveti ile en az yapılarak h kadar yükseltiliyor	
3b57e441-b28d-570c-9d9d-ed189f58d45b	2023-2024 ACİL- AYT Matematik Soru Bankası	353	5	5	1	D1	0.9	2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0353_q01.png	Şekilde kalınlıkları önemsenmeyen 10 ve 5 cm uzunluğunda iki çubuk gösterilmiştir. Bu çubuklar birbi	Şekilde kalınlıkları önemsenmeyen 10 ve 5 cm uzunluğunda iki çubuk gösterilmiştir.  Bu çubuklar birb	
196baf98-6d42-5fd7-bd9e-954f6be078f8	CAP-2022-2023-TYT-Matematik Soru Bankası	18	7	7	1	D1	0.758	CAP-2022-2023-TYT-Matematik_Soru_Bankası_p0018_q01.png	Her birinin üzerine 1'den 6'ya kadar sayılar yazılı olan özdeş dört küp birbirine yapıştırılarak mas	Her birinin üzerine 1 den 6 ya kadar sayılar yazılı olan küp birbirine yapıştırılarak masanın üzerin	
7c942483-f455-5df1-a46e-6e7e6667fb76	Bilgi Sarmalı Tyt 2024 Fizik Soru Bankası	326	6	6	4	D1	0.935	Bilgi_Sarmalı_Tyt_2024_Fizik_Soru_Bankası_p0326_q04.png	Bir ucu serbest diğer ucu sabit olan sarmal yayda ilerleyen ve ilerleme yönleri şekildeki oklarla be	Bir ucu serbest diğer ucu sabit olan sarmal yayda ilerleyen ve ilerleme yönleri şekildeki oklarla be	
557a893d-70e0-5f05-aab0-c19d69642854	2019-2020-ACİL-TYT-Soru Bankası	69	11	11	2	D1	0.8	2019-2020-ACİL-TYT-Soru_Bankası_p0069_q02.png	Bir kenarı 3 birim olan aşağıdaki karenin içine, karenin alanının sayı değerinden küçük olan asal sa	Bir kenarı 3 birim olan aşağıdaki karenin içine, karenin alanındaki sayı değerinden küçük olan asal 	
967af415-629f-59d8-beca-be261195a1f6	2019-2020-ACİL-AYT-Matematik Soru Bankası	344	8	8	4	D1	0.913	2019-2020-ACİL-AYT-Matematik_Soru_Bankası_p0344_q04.png	Aşağıda iki eğri verilmiştir. Şekildeki boyalı bölgeye, y eksenine paralel olacak biçimde çizilebile	Aşağıda iki eğri verilmiştir.  Şekildeki boyalı bölgeye, y eksenine paralel olacak şekilde çizilebil	
8a514bbf-51e8-585e-985c-a2530fbc9965	2023-2024-ACİL-TYT Matematik Soru Bankası	282	8	8	2	D1	0.719	2023-2024-ACİL-TYT_Matematik_Soru_Bankası_p0282_q02.png	Yukarıda verilen düzenekte ibre önce saat yönünde 1 birim, sonra ulaşılan sayıdan saat yönünün tersi	Yukarıda verilen düzeneğe; ibre önce saat yönünde 1 birim, sonra ulaştığı sayıdan saat yönünün tersi	
6c92a204-dc42-5871-b9df-cc33d38010ff	345 2025 Tyt Ayt Geometri Soru Bankası 1	131	7	7	2	D1	0.962	345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0131_q02.png	Şekil 1'de zemine dik, ebatları 2 metre ve 6 metre olan dikdörtgen biçimindeki A duvarı, güneşin kon	Şekil 1'de zemine dik, ebatları 2 metre ve 6 metre olan dikdörtgen biçimindeki A duvarı, güneşin kon	
7efc65a9-249a-59ae-aa1d-4fa953082163	345 2025 Tyt Fizik Soru Bankası	255	7	7	2	D1	0.825	345_2025_Tyt_Fizik_Soru_Bankası_p0255_q02.png	X ve Y cisimleri, düşey kesiti verilen türdeş sıvı dolu bir kaba atılınca şekildeki gibi dengede kal	X ve Y cisimleri, dikey kesiti verilen türdeş sıvı dolu bir kaba atıldığı gibi dengede kalıyor.  Cis	
45c7d4d1-b6d8-54e2-ad85-889e36f78619	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	130	8	8	4	D1	0.729	Bilgi_Sarmalı-2025-Tyt-Matematik_Soru_Bankası_p0130_q04.png	Bir demirci, iki ana demir arasına kalınlıkları 1 cm olan özdeş demir çubukları şekildeki gibi eşit 	Bir demirci, iki ana demir arasına kalınlıkları 1 cm olan öz-değir demir çubukları şeklideki gibi eş	
