id,subject_area,q,oa,ob,oc,od,oe
edb5925a-6a1f-5689-bb6a-07ee1f7b1ca5,KIMYA,"UHT (sterilizasyon) ve pastörizasyon işlemi ile elde edilen süt örneklerinde,
I. Elde edilme koşulları
II. Raf ömrü
III. Mikroorganizma varlığı
hangileri farklıdır?",Yalnız I,Yalnız II,I ve II,I ve III,"I, II ve III"
a7c0588c-82fa-5e32-bc55-e9f5d06b6be5,KIMYA,"I. Okyanuslar
II. Buz dağları ve buzullar
III. Yer altı suları
Bu su kaynaklarının büyüklükleri aşağıdakilerin hangisinde doğru verilmiştir?",I > II > III,I > III > II,II > I > III,III > II > I,II > III > I
1090dae5-32b7-5c8d-8a46-d966b1c0ac8f,KIMYA,"Yaşanılabilir, sağlıklı bir çevre için öncelikle çevreye zararlı kimyasal kirleticilerin etkilerinin azaltılması için çözümler üretilmelidir.
Aşağıdakilerden hangisi üretilen bu çözümlerden değildir?",Erozyonla mücadele edilmeli ve bitki örtüsü korunmalıdır.,Çevreye uygun tarım politikası geliştirilmelidir.,Marketlerde kâğıt kese yerine plastik torba kullanımı yaygınlaştırılmalıdır.,Sıfır atık projesi her alanda devreye sokulmalıdır.,Yenilenemeyen enerji kaynaklarının kullanımı azaltılmalıdır.
670e1170-f953-5502-9a5b-347791a39b2b,KIMYA,Aşağıdakilerden hangisi maddenin üç hali için de ayırt edici özelliktir?,Erime noktası,Öz ısı,Kaynama noktası,Genleşme katsayısı,Esneklik katsayısı
81faef8b-278a-50cb-911c-442fbc794e9f,KIMYA,"Ağzı açık kapta 1 atm basınç altında kaynamakta olan doymamış tuzlu su çözeltisine bir miktar daha aynı tuzdan ilave ediliyor.
Buna göre, çözelti ile ilgili,
I. Kaynamaya başlama noktası artar.
II. Kaynaması bir süre durur.
III. Buhar basıncı azalır.
yargılarından hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,II ve III,"I, II ve III"
fe1bde74-5682-5e3f-9277-beed53bcdf2b,KIMYA,I. Kömür II. Güneş enerjisi III. LNG Yukarıdaki enerji kaynaklarının çevreye verdiği zararın büyükten küçüğe doğru sıralaması aşağıdakilerden hangisinde verilmiştir?,"III, II, I","III, I, II","I, II, III","II, III, I","I, III, II"
4829ec7d-6556-5148-8f17-fa673c7aac5d,KIMYA,"Dış basıncın 1 atm olduğu ortamda kloroformun kaynama sıcaklığı $61,2 \ \text{°C}$ ve asetonun kaynama sıcaklığı ise $56,1 \ \text{°C}$'dir. Bu maddelerin buhar basınçları ve kaynama sıcaklıklarıyla ilgili, I. Dış basıncın 1 atm olduğu ortamda kloroformun $61,2 \ \text{°C}$'deki buhar basıncı, asetonun $56,1 \ \text{°C}$'deki buhar basıncına eşittir. II. $40 \ \text{°C}$'de kloroformun buhar basıncı asetonunkinden büyüktür. III. Dış basıncın $0,8 \ \text{atm}$ olduğu ortamda, asetonun kaynama sıcaklığı kloroformunkinden büyüktür. ifadelerinden hangileri doğrudur?",Yalnız I,Yalnız II,I ve III,II ve III,"I, II ve III"
462c27f6-649c-53cf-bfda-5a2de0e96b66,KIMYA,"Fotosentez yapan bir yaprağın kloroplastında gerçekleşen; I. ışığın soğurulması, II. $CO_2$ nin tutulması, III. suyun parçalanması, IV. karbonhidratların üretimi olaylarından hangileri stromada gerçekleşir?",I ve III,II ve IV,"I, II ve III","II, III ve IV","I, II, III ve IV"
6f653b1a-baaa-575f-b700-d0538ea2525d,KIMYA,"I. Elektronik sanayi
II. Malzeme bilimi
III. Tıp ve eczacılık
Yukarıdakilerden hangilerinde nanoteknoloji çalışmaları yapılmaktadır?",Yalnız I,Yalnız II,Yalnız III,I ve II,"I, II ve III"
8ea6348c-0c5b-5d66-8369-76b92920fe5f,KIMYA,Aşağıdaki karışımlardan hangisini ayrımsal damıtma yöntemi ile bileşenlerine ayırmak en uygundur?,Katı - katı homojen karışım,Katı - sıvı heterojen karışım,Sıvı - sıvı heterojen karışım,Sıvı - sıvı homojen karışım,Katı - gaz heterojen karışım
