id,gemma3,qwen3,stored_key
bf73cdcb-23f8-547c-91ac-4bff03fc8d10,E,E,E
cd5f6d23-fcf3-5b6f-8f72-ff9b2f82b255,B,B,B
1aefc9c9-810f-5333-858e-56d880b74b6f,D,D,D
aade32e3-f7db-5429-a6c2-e1aeef2ee244,A,A,A
a2a55fac-c415-555c-ada5-ba677785b428,E,E,E
969f2cc9-6cee-54c1-a98f-a14d34d4f05e,A,A,A
c2c88b4f-18b6-5de8-84a5-384f98ee6205,D,D,D
47899596-840a-5945-a05d-9be0e5eff57b,E,E,E
eef33b64-5be3-52f4-b99c-e5fc62f7f763,C,C,C
626334ad-40eb-56bf-9c60-fef2aa78752b,C,C,C
988f64b0-143d-57a3-ba89-4a4c7c24ee75,C,C,C
50cadf1c-b148-599e-9c84-e4623bcd2b2a,E,E,E
cf5619f2-227d-5732-a4b9-25dc65037814,E,E,E
3d06725b-ab28-55cf-b56d-e6b84acbfe17,D,D,D
ca4976da-ab26-5ef0-bed5-fb98271feccd,A,A,A
46541467-1d50-515b-bd15-dd15f23200f8,B,B,B
086cef26-5f81-5213-ab2d-5a7c0b35405e,A,A,A
0fb70d8f-8ed1-5bf6-b538-ac3028a9959e,E,E,E
0ce192cc-0fd1-54aa-afcd-bfcfbe7ad32a,B,B,B
3bbdbe7f-bb07-57a0-89a8-7039e3923829,D,D,D
