id	book	page	q_no	text_len	verdict	reason	text_end_80char
74d2ba6b-abfb-5946-a40b-d492b42fc7b0	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	213	Örnek 6	130	ok	valid_end_?	|BE|=17$ cm. A, C, E noktaları doğrusal olduğuna göre, Çevre$(ABCD)$ kaç cm'dir?
f58ce890-47d8-5c21-8bac-f6eba748f4da	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	218	8	147	ok	valid_end_?	=3$ cm. Yukarıdaki verilere göre eşkenar dörtgenin yüksekliği kaç santimetredir?
97f23839-01cd-5515-8b2d-b818d24b36db	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	223	8.	40	ok	valid_end_?	Verilenlere göre, $|AB| = x$ kaç cm'dir?
1fd5899a-52bb-52a5-bbd7-34805ce4768d	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	251	6	610	ok	valid_end_?	ekildeki gibi 1 cm olmuştur. Buna göre, başlangıçta klasörün çevresi kaç cm'dir?
704c5dda-bc0c-55d0-9776-9332fe6fbe2c	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	275	Örnek 3	180	ok	valid_end_?	4 \text{ cm}$ olduğuna göre, eşkenar üçgenin kenar uzunluğu kaç $\text{cm}$'dir?
df2aee81-f4ce-5bd0-bfef-d052414e0077	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	275	Örnek 6	182	ok	valid_end_?	e ve eşkenar üçgeni kapsayan en küçük çemberlerin yarıçapları oranı ne olabilir?
cd5967de-3464-511c-95ca-9610a49967d0	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	282	7	305	ok	valid_end_?	, başlangıçtaki mavi kartonun yarıçapının sarı kartonun yarıçapına oranı kaçtır?
4b9cfd4a-f67f-5560-84a1-6306d7c1fa75	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	295	7.	129	ok	valid_end_?	\widehat{BCD})=120^\circ$. Verilenlere göre, $m(\widehat{AEB})=x$ kaç derecedir?
d919e5f8-7aaf-58c8-8ebd-f545f05c5619	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	320	Örnek 1	137	ok	valid_end_?	daki tablo oluşturulmuştur. Bu tabloda verilen değerlerden kaç tanesi yanlıştır?
627ea72a-d477-5fcb-8ca8-548ed59fc0cd	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	295	10.	78	ok	valid_end_?	O merkez, $AO \perp OB$. Verilenlere göre, $m(\widehat{ACB})=x$ kaç derecedir?
