id	prev_qtext
03d10203-5714-5612-b2a4-347ac53f2de5	O merkezli çember ADO üçgen $AO \perp OD$ $OC = AB$ $|OCI| = 12$ birim $|ODI| = 15$ birim Buna göre, $|DB|$ kaç birimdir?
06133c2a-6f61-5e90-97cc-7543374ca60f	ABC üçgen, $AE \perp BC$, $EF \parallel DB$, $|DE|=|EC|=8$ birim, $|EFI|=2$ birim. Buna göre, $|AD|$ kaç birimdir?
07d4229e-1b04-5893-9f07-bc008458b342	ABC üçgen $[AD]$ iç açıortay $|EC| = |CD|$ $m(\widehat{ADE}) = 37^ ext{o}$ $m(\widehat{ABC}) = x$ Buna göre, $x$ kaç derecedir?
0e0acaf4-d8f0-59b2-b443-aec1af6d5012	ABC üçgen $|AD| = |AB| = |BE|$ $m(\widehat{ABC}) = 80^ ext{o}$ $m(\widehat{ACB}) = 40^ ext{o}$ Buna göre, $x$ kaç derecedir?
0f4573dc-3ef7-5316-8cf4-0a26f90cc128	ABC dik üçgen, $AB \perp AC$, $ED \perp BC$, $CD = IDBI$, $|AE| = 3$ birim, $|EB| = 5$ birim. Buna göre, $A(\text{AED})$ kaç birimkaredir?
112c6ced-9073-5888-9037-983fa0237904	ABC üçgen $AD \perp BC$ $|AC| = |BC|$ $m(\widehat{ACB}) = 20^ ext{o}$ $m(\widehat{BAD}) = x$ Buna göre, $x$ kaç derecedir?
1343ec68-e426-5c7b-8a95-e9615f97a6f6	ABC dik üçgen $AC \perp CB$ $m(\widehat{ADC}) = 30^ ext{o}$ $|BD| = 2$ birim $m(\widehat{BAC}) = 75^ ext{o}$ Buna göre, $|AC|$ kaç birimdir?
15996f80-a535-5c04-8625-5c3b54dcb79f	ABC üçgen ADC eşkenar üçgen $[KL] \perp [AD]$, $[KM] \perp [AC]$, $[KN] \perp [BC]$ $m(\text{ABC}) = 30^ ext{o}$ $|KL| = 1 \text{ cm}$, $|KN| = 3 \text{ cm}$, $|AB| = 16 \text{ cm}$ Yukarıdaki verilere göre, $|KM| = x$ kaç cm'dir?
1aa62049-d039-52ab-902d-9193fcd8e918	$|DC|=2 \text{ cm}$, $|AD|=4 \text{ cm}$, $|BA|=5 \text{ cm}$'dir. Şekildeki dik yamuğun $AB$ kenarı etrafında $360^ ext{o}$ döndürülmesiyle elde edilen cismin tüm alanı kaç $\text{cm}^2$ dir?
1acce595-622f-54e3-b47d-c25ba871fd6c	ABC üçgen $|AB| = |BD| = |DC|$ $m(\widehat{ABD}) = 60^ ext{o}$ $m(\widehat{DBC}) = 10^ ext{o}$ Verilenlere göre, $m(\widehat{ACD}) = x$ kaç derecedir?
1c63d970-e8cc-57c3-8877-d1d3c9ed4315	G; ABC üçgeninin ağırlık merkezi $AB \perp AC$ $m(\widehat{ACG}) = 30^ ext{o}$ $|AB| = 9$ cm Verilenlere göre, $|GC| = x$ kaç cm dir?
1cefdc7c-d587-5485-ad9c-c9cfb29168f8	ABCD kare, $[EC] \perp [BF]$, $|IF| = 3$ cm, $|EFI| = 1$ cm olduğuna göre, $|DC| = x$ kaç santimetredir?
1eb97730-2641-5747-86dd-598f09cd9c7e	Analitik düzlemde ABCO kare, $|AE|=|CD|=|TI|$. $2|OT|=|BT|$, C(4, a). Yukarıdaki verilere göre, A(DTE) kaç birimkaredir?
26e765c6-d385-582a-b498-7a09b92ebf3c	ABCD kare $DG \perp CF$ $|DE| = 4\sqrt{2}$ birim $|EG| = \sqrt{2}$ birim Buna göre, $|EFI|$ kaç birimdir?
27ba6169-7ff2-57f7-95b8-61bafa097c17	ABCD yamuk $[DC] \parallel [AB]$ $[AC] \perp [BC]$ $|AB| = 2|AD|$ $m(\widehat{DAB}) = 60^ ext{o}$ Yukarıda verilenlere göre, $m(\widehat{ABC})$ kaç derecedir?
28a66f91-f175-5512-bb57-2fd28a0274fd	ABC ve BCD üçgen $[BD]$ ve $[CA]$ açıortay $m(\text{BAC})=90^ ext{o}$ $m(\text{BDC})=60^ ext{o}$ olduğuna göre, $m(\text{AED})=x$ kaç derecedir?
28aa90ff-146f-5b36-8543-933a4909aaf2	Dik koordinat düzleminde verilenlere göre, OAB üçgensel bölgesinin ağırlık merkezinin ordinatı kaçtır?
29606c61-74f0-5973-8bd4-0ca28179bfcd	ABC ikizkenar üçgen, $|AB|=|AC|$, $m(\widehat{BAC})>60^ ext{o}$. Buna göre, I. $|a-b|-|c-a|=0$'dır. II. $|b-c|+|a-b|=b$'dir. III. $c<a<2c$ ifadelerinden hangileri doğrudur?
2b08a35e-ce97-5293-91f5-693a64fa86de	ABCDE düzgün beşgen, $DF \perp EC$, $IEG = IGBI$, $|AB| = 10$ birim. Buna göre, $|FG|$ kaç birimdir?
2d73798a-3ef6-594f-95c3-5845350bbf10	ABC ikizkenar dik üçgen $AB \perp AC$ $m(\widehat{AED}) = 45^ ext{o}$ $EC = \sqrt{2}$ cm $|AB| = |AC| = 3$ cm olduğuna göre, $|DB| = x$ kaç cm'dir?
35db9c72-4c9d-55ea-aaba-037b8a7d82b6	ABC üçgen, $m(\widehat{BAD})=m(\widehat{DAC})=50^ ext{o}$, $m(\widehat{ACB})=30^ ext{o}$ Buna göre, I. $|AD|=|BD|$ II. $|AC|>|DC|$ III. $|BD|<|DC|$ ifadelerinden hangileri doğrudur?
3a664366-0b00-52f7-8db9-9a836357906c	ABC üçgen, $[BC]$ $[DC]$, $|BE|=|EC|$, $|AD|=|BD|$, $|AKI|=34$ cm, $|DK|=4$ cm olduğuna göre, $|BC|$ kaç santimetredir?
3d7b57d5-b7a1-581b-9ca9-2e389b3a82f5	ABC ve EBD birer ikizkenar üçgen $BA = AC$ $|BA| = |AC|$ $|BE| = |ED|$ $m(\widehat{ABE}) = 25^ ext{o}$ $m(\widehat{BED}) = x$ Buna göre, $x$ kaç derecedir?
45309fd2-5b06-5a9a-9ef6-e593c45566f6	ABCD deltoid $[DB]$ ve $[AC]$ köşegen $|DL| = |LC|$ $|AK| = |KB|$ $|KE| = 5$ cm $|ELI| = 3$ cm olduğuna göre, Çevre(ABCD) kaç santimetredir?
