id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	match_tier	quality_review_status
76172b7f-be7d-52d6-91a9-295804d4f600	BIYOLOJI	Esen Ayt Biyoloji 30 Deneme	70	Bir insanın vücutunda alt bazı organların yapısını gösteren şema, A, B ve C ile gösterilmiştir.	A organı, karaciğerdir.	B organı, böbreklerdir.	C organı, böbreklerdir.	A organı, böbreklerdir.	B organı, karaciğerdir.	C			rejected
faf871b2-31dd-5a68-9d63-21c1290ef016	MATEMATIK	2019-2020-Acil Matematiğin ilacı-1	279	Üç okulda toplam 10000 TL'yi eşit parçalarla bölerek birlikte 1000 TL'yi birlikte alıyorlar. Bu toplam parçanın dörtte biri parçanın dörtte biri kadar. Bu parçanın dörtte biri kadar	1000	1500	2000	1200	1100	A			rejected
d3ab2dff-b771-56c0-b4b5-2b03158342e7	MATEMATIK	2020-2021-Acil-Problemlerin ilacı	120	Beş genelde bir hafıza boyunca digitlerin hafızası nasıl geliştirilebilir?	10	15	18	20	25	B			rejected
36200a4a-6ac9-5ee2-a7e8-476b278fc3bd	BIYOLOJI	Esen Yks Motivasyon Biyoloji	126	Aşağıdaki verilerle ilgili, hangi parantezlerde doğru ifade verilmiştir?	A) 1 ve 2 numaralı parantezlerde doğru ifade verilmiştir.	B) 2 ve 3 numaralı parantezlerde doğru ifade verilmiştir.	C) 3 ve 4 numaralı parantezlerde doğru ifade verilmiştir.	D) 4 ve 5 numaralı parantezlerde doğru ifade verilmiştir.	E) 5 ve 6 numaralı parantezlerde doğru ifade verilmiştir.	A			rejected
3bd5f668-1562-514f-b092-795444784dcc	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	153	İki farklı nesnenin hacimlerinin toplamı 2000 cm³'dir. Bu iki nesnenin hacimlerinin orani 2:3'tür. Bu iki nesnenin hacimlerini bulunuz.	400 cm³ ve 600 cm³	600 cm³ ve 1200 cm³	800 cm³ ve 1200 cm³	800 cm³ ve 1400 cm³	1000 cm³ ve 1000 cm³	B			rejected
8e99f63b-6fc5-5895-931a-27b20d048dec	TURKCE	Pes Tyt Ayt Paragraf Soruları 2020 2021	279	10. Uçan bir papagano atılan bir biberi yerleştirdi. Papagano, biberi yerleştirdiği yerden 100 metre uzaklaştıktan sonra, biberi yerleştirdiği yerden 200 metre uzaklaştı. Papagano, biberi yerleştirdiği yerden 300 metre uzaklaştığında, biberi yerleştirdiği yerden 400 metre uzaklaştı. Papagano, biberi yerleştirdiği yerden 500 metre uzaklaştığında, biberi yerleştirdiği yerden kaç metre uzaklaştı?	500 metre	600 metre	700 metre	800 metre	900 metre	A			rejected
b6ede2cb-166d-581f-91ed-ea5e3c629241	GENEL	2019-2020-ACİL-TYT-Soru Bankası	63	a ve b iki doğal sayı olmak üzere, a + b = 2019 olduğuna göre, a × b kaçtır?	2019	2018	2017	2016	2015	D			rejected
51362bd8-a1e7-5b9c-a61a-1e14cbfb7a13	GENEL	2019-2020-ACİL-TYT-Soru Bankası	304	"a ve b birer tam sayı olmak üzere,
$a^{2}+b^{2}=13$,
$a-b=1$ ise bu iki denklemin çözümü nedir?"	a=3, b=2	a=4, b=3	a=2, b=1	a=5, b=4	a=6, b=5	A			rejected
8d641572-aaae-5e30-acd3-d52e85f0012f	MATEMATIK	ACİL-2025-Matematiğin İlacı Polinom	60	Yukarıdaki verilen renkli karelerin boyutları verilmiştir. Bu karelerin perimetrelerinin toplamı kaç cm'dir?	16	20	24	28	32	B			rejected
3f5a5066-1d0c-5dcd-a288-3254a365546d	GEOMETRI	Orijinal-2025-Analitik Geometri	54	Analitik geometride verilen dikdörtgenin köşelerinin koordinatları veriliyor. Bu dikdörtgenin bir köşesinin koordinatları (3, 4) ve diğer köşesinin koordinatları (7, 8) veriliyor. Bu dikdörtgenin alanı kaç birimkaredir?	16	20	24	32	40	A			rejected
