id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	match_tier	quality_review_status
7f7eb0eb-bd44-5fbf-a27a-d92b969a6c81	MATEMATIK	Full Matematik-2022-2023-Tyt-Matematik Soru Bankası	243	"Aşağıda çember ile gösterilen tramvay istasyonlarının arasına yazılan sayılar, iki istasyon arasındaki mesafeyi kilometre cinsinden ifade etmektedir.
K ve M istasyonlarında bulunan iki tramvay aynı anda birbirlerine doğru saatte ortalama 60 kilometre hızla harekete başlıyorlar.
Bu sırada L istasyonunda bekleyen Musa, K istasyonundan hareket eden tramvaya binerek tramvayların karşılaşma noktasından hemen önceki istasyonda inmek istiyor.
Tramvayların istasyonlarda bekleme süresi 1 dakika olduğuna göre, Musa hangi istasyonda inmelidir?"	A	B	C	D	E	D	/static/crops/Full_Matematik-2022-2023-Tyt-Matematik_Soru_Bankası/Full_Matematik-2022-2023-Tyt-Matematik_Soru_Bankası_p0243_q01.png		auto_judged_high
368f21f4-7263-5249-9964-ab0258143032	MATEMATIK	2019-2020-ACİL-TYT-Soru Bankası	34	Aşağıdaki sekiz karenin her birine birbirinden farklı birer pozitif tam sayı yazılacaktır. Soldan 1, 3, 5, 7. karelere yazılacak sayılar soldan sağa doğru artacak biçimde çift sayı, soldan 2, 4, 6, 8. karelere yazılacak sayılar soldan sağa doğru artacak biçimde tek sayı olacaktır. 7. ve 8. karedeki sayıların çarpımı 180 dir. Buna göre, yazılacak sekiz sayının toplamı en az kaçtır?	46	47	48	50	51	E	/static/crops/2019-2020-ACİL-TYT-Soru_Bankası/2019-2020-ACİL-TYT-Soru_Bankası_p0034_q05.png		auto_judged_high
36a9b20e-e8d5-58a3-9324-223f0ecc9ee1	MATEMATIK	Full-2019-2020-Ayt-Matematik Soru Bankası	159	Yukarıdaki $y=f(x)$ fonksiyonunun grafiği verilmiştir. Buna göre, $\lim_{x \to 1^-} f(x) + \lim_{x \to 1^+} f(x)$ ifadesinin değeri kaçtır?	1	2	3	4	5	C	/static/crops/Full-2019-2020-Ayt-Matematik_Soru_Bankası/Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0159_q01.png		auto_judged_high
885195e9-cc9a-5990-944b-81f39f943302	MATEMATIK	Orijinal2024-Ayt-Matematik Soru Bankası	385	Dik koordinat düzleminde, pozitif gerçel sayılar kümesi üzerinde tanımlı ve pozitif değerler alan türevlenebilir bir $f$ fonksiyonunun grafiği şekilde gösterilmiştir. Bir $g$ fonksiyonu; her $x$ pozitif gerçel sayısındaki değeri, köşeleri $(0, 0)$, $(x, 0)$ ve $(x, f(x))$ noktaları olan dik üçgenin alanına eşit olacak biçimde tanımlanmaktadır. $f(3) = 1$ ve $f'(3) = 7$ olduğuna göre, $g'(3)$ değeri kaçtır?	$5$	$6$	$8$	$9$	$11$	E	/static/crops/Orijinal2024-Ayt-Matematik_Soru_Bankası/Orijinal2024-Ayt-Matematik_Soru_Bankası_p0385_q02.png		auto_judged_high
f3c861bc-8cae-50cc-a889-6c968e3bc106	FIZIK	345 2025 Ayt Fizik Soru Bankası	226	$5T$ büyüklüğündeki düzgün bir manyetik alanda bulunan dikdörtgen X teli Şekil 1'deki konumda iken, manyetik alana dik OO' ekseni çevresinde $0,1$ saniyede döndürülerek Şekil 2'deki konuma getiriliyor. X telinin çerçevelediği yüzeyin alanı $2 \ m^2$ olduğuna göre, telin dönmesi sürecinde oluşan ortalama indüksiyon emk'sının mutlak değeri kaç volttur? ($\cos60^\circ = 0,5$, $\sin60^\circ = \frac{\sqrt{3}}{2}$)	5	10	25	50	100	D	/static/crops/345_2025_Ayt_Fizik_Soru_Bankası/345_2025_Ayt_Fizik_Soru_Bankası_p0226_q02.png		auto_judged_high
2362fa63-f260-5043-98dd-a84a3dc3c6ec	MATEMATIK	Orijinal2024-Ayt-Matematik Soru Bankası	323	Şekilde verilen tel, eğilip bükülerek telden en büyük alanlı daire dilimi yapılacaktır. Buna göre, daire diliminin yarıçapı kaç cm'dir?	3	6	9	18	36	C	/static/crops/Orijinal2024-Ayt-Matematik_Soru_Bankası/Orijinal2024-Ayt-Matematik_Soru_Bankası_p0323_q05.png		auto_judged_high
26c6c257-4d7b-513b-8896-62bd31ba2ce8	MATEMATIK	Bilgi Sarmalı-2023-2024-Problemler Soru Bankası	72	Aşağıdaki haritada, A ile B kentleri arasındaki bir yolda trafiğin akıcı olduğu yerler yeşil renk ile trafiğin yoğun olduğu yerler ise kırmızı renk ile gösterilmektedir. A kentinden yola çıkan bir otomobil trafiğin akıcı olduğu yerlerde saatte 120 km, trafiğin yoğun olduğu yerlerde ise saatte 36 km sabit hızla giderek B kentine varabilmektedir. Bu yolun tamamında trafiğin yoğun olduğu bir günde otomobil B kentine 84 dakika daha geç varmıştır. Buna göre, otomobilin trafiğin akıcı olduğu yerlerde geçirdiği toplam süre kaç dakikadır?	84	72	60	48	36	E	/static/crops/Bilgi_Sarmalı-2023-2024-Problemler_Soru_Bankası/Bilgi_Sarmalı-2023-2024-Problemler_Soru_Bankası_p0072_q04.png		auto_judged_high
d890f4af-417a-5340-af3d-4c2270fbf8f0	FIZIK	Fizipedia Tyt Fizik Soru Bankası 2025	343	Şekilde ıraksak bir mercekte bir cismin görüntüsü verilmiştir. Buna göre; I. 1 numaralı ışının yerinin değiştirilmesi, II. 2 numaralı ışının yerinin değiştirilmesi, III. 3 numaralı ışının yerinin değiştirilmesi, IV. Cismin yerinin değiştirilmesi işlemlerinden hangilerinde görüntünün yeri değişir?	I ve II	I ve III	II ve IV	I ve IV	Yalnız IV	E	/static/crops/Fizipedia_Tyt_Fizik_Soru_Bankası_2025/Fizipedia_Tyt_Fizik_Soru_Bankası_2025_p0343_q04.png		auto_judged_high
5c086724-4b92-50a4-9c9e-b7748742d84d	GEOMETRI	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	61	"Dik üçgen şeklinde mavi ve gri renkli özdeş iki gönye eşit dik kenarları aynı doğru üzerinde ve birer köşeleri çakışacak biçimde Şekil 1'deki gibi yan yana yerleştiriliyor.
Daha sonra gri gönye A köşesi etrafında bir miktar döndürülüyor ve Şekil 2'deki gibi B, C, D noktaları doğrusal oluyor.
Buna göre, gri gönye kaç derece döndürülmüştür?"	30	37,5	45	52,5	60	D	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0061_q02.png		auto_judged_high
763a53fb-8adc-54a8-b775-b6d60ea11c3e	MATEMATIK	C1CELL-2025-Matematik Soru Bankası	243	"Selim ve Fatih Haziran ayına üçer adet toplantı planlamışlardır. Selim'in toplantılı günleri bir aritmetik dizinin, Fatih'in toplantılı günleri bir geometrik dizinin ardışık terimleri olmaktadır.
Yukarıda Selim'in toplantılı günlerinden ikisi daire içinde verilmiştir.
Fatih ve Selim'in toplantılı günlerinden biri aynı güne denk geldiğine göre, Fatih'in toplantılı günleri kaç farklı şekilde olabilir?"	4	5	6	7	8	B	/static/crops/C1CELL-2025-Matematik_Soru_Bankası/C1CELL-2025-Matematik_Soru_Bankası_p0243_q03.png		auto_judged_high
