id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	text_len	has_image	has_5_options	valid_correct_answer	text_no_repeat	text_no_ellipsis	text_min_len	auto_restorable	fail_reasons	manual_verdict	notes
fae51ed0-d76c-562f-8e5e-29cd7a0031e3	MATEMATIK	Orijinal-2025-Ayt-Matematik Türev	146	Kadınların yüzlerini koruyan bir maske, her biri 100 cm² alan olan 4 eşit kareli parçadan yapılmıştır. Her bir parçanın bir köşesi bir köşesiyle birlikte bir köşesi kırılmıştır. Kaç köşesi kırılmıştır?	16	18	20	22	24	A	/static/crops/Orijinal-2025-Ayt-Matematik_Türev/Orijinal-2025-Ayt-Matematik_Türev_p0146_PAGE.png	201	True	True	True	True	True	True	True			
59eb9b16-a8f5-5195-8fef-109ff9a40c90	MATEMATIK	CAP-2022-2023-TYT-Matematik Soru Bankası	195	Aşağıdaki ifadelerden hangisi x = 4 için doğrudur?	x + 3 = 7	x - 2 = 2	2x = 8	x^2 = 16	x/4 = 1	C	/static/crops/CAP-2022-2023-TYT-Matematik_Soru_Bankası/CAP-2022-2023-TYT-Matematik_Soru_Bankası_p0195_PAGE.png	50	True	True	True	True	True	True	True			
53b51fcc-bebd-5e31-addc-20d8f9131a13	MATEMATIK	ACİL-2023-Matematik Deneme-8	22	İki ön ve iki arka kapısı olan bir otomobilde bir ön kapıdan bilindiğinde bilinen kapıdan, bir arka kapıdan bilindiğinde ise herhangi bir arka kapıdan inilebilmektedir.  Bülent bu otomobile herhangi bir kapıdan binmiş ve bindiği kapıya göre inebileceği herhangi bir kapıdan inmiştir.  Buna göre, Bülent'in bindiği kapıdan inmiş olma olasılığı kaçtır?	1/2	2/3	3/4	3/5	4/5	C	/static/crops/ACİL-2023-Matematik_Deneme-8/ACİL-2023-Matematik_Deneme-8_p0022_q04.png	350	True	True	True	True	True	True	True			
31f1200e-6cd3-59c9-911a-d406170ed3fe	MATEMATIK	ACİL-2025-Matematiğin İlacı Polinom	285	Aşağıdaki y = f(x), y = g(x) ve y = h(x) grafiklerinin grafikleri verilmiştir.   Görseldeki A, B ve C noktalarının koordinatları aşağıdaki kuralarına göre hangi sıralamada yer alır?	A < B < C	A < C < B	B < A < C	B < C < A	C < A < B	C	/static/crops/ACİL-2025-Matematiğin_İlacı_Polinom/ACİL-2025-Matematiğin_İlacı_Polinom_p0285_PAGE.png	181	True	True	True	True	True	True	True			
cbe773bb-5cbf-5137-9bc0-4cf7ce10279f	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	229	4. a = 1 olan dikdörtgenin alanı kaç birimkaredir?	10	12	14	16	18	A	/static/crops/2023-2024_ACİL-_AYT_Matematik_Soru_Bankası/2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0229_q01.png	50	True	True	True	True	True	True	True			
05b71e64-33a3-5a00-818e-3c4e83da1628	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	383	Aşağıdaki ifadelerden hangisi x ve y değişkenlerinin kareköklerinin toplamının karesi eşitliği ifade eder?	$\sqrt{x} + \sqrt{y} = x + y$	$\sqrt{x} + \sqrt{y} = x^2 + y^2$	$\sqrt{x} + \sqrt{y} = (x + y)^2$	$\sqrt{x} + \sqrt{y} = x^2 + 2xy + y^2$	$\sqrt{x} + \sqrt{y} = x^2 - 2xy + y^2$	D	/static/crops/Bilgi_Sarmalı-2025-Tyt-Matematik_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt-Matematik_Soru_Bankası_p0383_q01.png	106	True	True	True	True	True	True	True			
f6134c4d-6ba5-5c0c-bc8a-3c38c5d138ed	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	180	Sadece verilen bilgilerle bir hesaplamada bulun.	12	15	18	21	24	B	/static/crops/345_2024_Tyt_Matematik_Soru_Bankası/345_2024_Tyt_Matematik_Soru_Bankası_p0180_PAGE.png	48	True	True	True	True	True	False	False	text_min_len		
49352023-8545-571f-900e-7c41e839f275	MATEMATIK	ACİL-2023-Matematik Deneme-8	56	y = x^3 + x olmak üzere, \n \n \frac{dy}{dx} + \frac{dx}{dy} \n \n ifadesinin x = 1 için değeri kaçtır?	4	\frac{17}{4}	\frac{9}{2}	5	\frac{21}{4}	B	/static/crops/ACİL-2023-Matematik_Deneme-8/ACİL-2023-Matematik_Deneme-8_p0056_q03.png	103	True	True	True	True	True	True	True			
e4edd832-4191-518d-9134-3a87843f3009	MATEMATIK	Acil-2024-AYT Matematik Kitap-1	27	20. TÜM İLKELERİ AÇIKLAYAN TÜM İLKELERİ ÇEŞİTLEME İLE TAMAMINA	a + b = c	a + b = c + d	a + b = c + d + e	a + b = c + d + e + f	a + b = c + d + e + f + g	A	/static/crops/Acil-2024-AYT_Matematik_Kitap-1/Acil-2024-AYT_Matematik_Kitap-1_p0027_q01.png	62	True	True	True	True	True	True	True			
3f5cfbf7-f808-56b4-bc10-91a1c65624fe	MATEMATIK	C1CELL-TYT-Matematik 12 Deneme Sınavı	84	Bir mp3 çalar cihazı bulunan Süleyman çok sevdiği şarkıları bu cihaza en az 2, en çok 4 defa yüklemiştir.  Süleyman'ın bu cihaza 6 adet çok sevdiği şarkı ve bunların dışında 18 adet daha şarkı yüklediği bilinmekte ve bu cihazdaki bir şarkı en az 3 dakika en çok 6 dakika sürmektedir.  Baştan sona tüm şarkıları dinleyen Süleyman'ın bu iş için ayırdığı süre en az x, en çok y dakika olduğuna göre, y – x farkı kaçtır?	172	162	152	142	132	E	/static/crops/C1CELL-TYT-Matematik_12_Deneme_Sınavı/C1CELL-TYT-Matematik_12_Deneme_Sınavı_p0084_q02.png	416	True	True	True	True	True	True	True			
