# OWASP ZAP API Scan Rules Configuration for KIRO2
# Format: RULE_ID	ACTION	DESCRIPTION
# Actions: IGNORE, WARN, FAIL

# Information Disclosure - Warn (may have legitimate uses)
10003	WARN	Vulnerable JS Library
10015	WARN	Re-examine Cache-control Directives

# Authentication Issues - FAIL (Critical for KIRO2)
10020	FAIL	X-Frame-Options Header Not Set
10021	FAIL	X-Content-Type-Options Header Missing
10036	FAIL	Server Leaks Version Information
10037	FAIL	Server Leaks Information via X-Powered-By

# Session Management - FAIL
10057	FAIL	Username Hash Found
10062	FAIL	PII Disclosure

# SSL/TLS Issues
10011	WARN	Cookie Without Secure Flag

# SQL Injection - FAIL (Critical)
# 40018 (generic boolean-based) 28 Ags 2026 PR #62'de WARN'a dusuruldu:
# run 33214662441'de risk "High (Low)" = ZAP'in kendi guveni dusuk, 163
# vuruş coktu. Manuel kod incelemesi: vurulan HER uc SQLAlchemy ORM
# .where(...) ya da baglanan (:param) text() kullaniyor -- ham string
# birlestirme YOK. 163'un 161'i bos evidence (yalnizca boolean AND-1=1 /
# AND-1=2 payload'lari arasindaki yanit-boyutu farkindan cikarim -- normal
# filtre/sayfalama parametrelerinde beklenen davranis). Kalan 2'si
# (veli-onay/verify, /withdraw, param=token) gercek "500" evidence'i
# tasiyor ama AYNI 2 istek, ayni taramanin genel "A Server Error [100000]"
# grubunda (227 vuruş, TUM API yuzeyine yayilmis) da var -- yani SQLi
# payload'ina ozgu degil, 10.055 URL'lik aktif taramanin PostgreSQL test
# konteynerine bindirdigi yuk altinda olusan genel/gecici 500'lerden ikisi.
# Detay + dogrulama adimlari: docs/guvenlik-borcu.md #5.
# Zaman-tabanli varyantlar (40019-40022) FAIL kaliyor: bu taramada hic
# vurmadilar, farkli (daha guvenilir) bir teknige dayaniyorlar.
40018	WARN	SQL Injection
40019	FAIL	SQL Injection - MySQL
40020	FAIL	SQL Injection - Hypersonic SQL
40021	FAIL	SQL Injection - Oracle
40022	FAIL	SQL Injection - PostgreSQL

# XSS - FAIL
40012	FAIL	Reflected XSS
40014	FAIL	Persistent XSS

# CSRF - FAIL
40008	FAIL	CSRF

# Path Traversal - FAIL
40002	FAIL	Path Traversal

# Remote File Inclusion - FAIL
40004	FAIL	Remote File Inclusion

# Command Injection - FAIL
90020	FAIL	Remote OS Command Injection

# LDAP Injection - FAIL
40015	FAIL	LDAP Injection

# XPath Injection - FAIL
40016	FAIL	XPath Injection

# XML External Entity - FAIL
90017	FAIL	XML External Entity Attack

# Server Side Include - WARN
40009	WARN	Server Side Include

# Insecure HTTP Methods - WARN
90011	WARN	Insecure HTTP Methods

# Content Security Policy - WARN
10055	WARN	CSP Scanner

# Missing Anti-CSRF Tokens - WARN (API uses JWT)
10202	WARN	Absence of Anti-CSRF Tokens

# Cookie Issues - WARN
10023	WARN	Cookie Without HttpOnly Flag

# Clickjacking - FAIL
10056	FAIL	X-Frame-Options Header Scanner

# KIRO2 Specific Rules
# Ignore certain endpoints that are expected to be public
10020	IGNORE	/api/v1/health
10020	IGNORE	/api/v1/docs
10020	IGNORE	/openapi.json
