id,gemma3,bucket
2dc7e13b-b105-562f-9f32-07cf57b4b760,A,KEEP
ca80047a-0c36-545c-b3ca-903cd50e5377,B,KEEP
d4794038-b24c-53a9-9e0e-96cc9c15bf64,C,FAIL
c8d1fd23-e0a9-5d3b-ab7f-70157ad43582,UNSOLVABLE,FAIL
0ad9425d-de99-5971-b8b3-9804e24e5fb9,B,FAIL
e9d0aaaf-fff2-5136-9dbc-933720c439e5,UNSOLVABLE,FAIL
9b058c29-1694-569f-a34e-732c2d77024a,C,KEEP
c66b8c15-1fd0-53af-96c7-2ceef60fde0d,UNSOLVABLE,FAIL
3d2c1e7a-e109-5215-a93c-6b3b30e61b4a,E,FAIL
09aa1b82-0d32-5130-907c-ed139a417517,UNSOLVABLE,FAIL
1104a99d-5e11-5883-8bde-d062726615c9,A,KEEP
16b16797-4b1c-50e2-98d5-e43fd0789252,UNSOLVABLE,FAIL
07023da2-a5e3-51b4-a271-c3f5dbcdb1e6,D,KEEP
e66e2c7b-b3e3-5fef-ac4a-054e7c0e2d88,A,FAIL
52e7bac2-8cc2-5e1c-bbaa-ac1a6c219ba9,C,FAIL
f6b96474-114e-5819-a351-6de438100f21,C,KEEP
a98d145c-2b5b-5a7e-bfd2-3c7c86ef1902,UNSOLVABLE,FAIL
4c98b4c3-7b0e-5983-997f-ceedebfd23d4,UNSOLVABLE,FAIL
d5c17268-f54a-5673-9368-e9f159f6ed1a,A,FAIL
8b507ab8-1062-5775-bf51-9cf59347c68f,UNSOLVABLE,FAIL
1e3c37f3-fd86-51d0-9014-344bb75174e7,A,FAIL
7330a1a6-9dbe-525d-a4a3-699bbabea13d,UNSOLVABLE,FAIL
bea6e749-7bd5-5a7c-912d-d643885f4f5a,B,FAIL
49e72e2f-fc31-5819-9812-feb722882b46,E,KEEP
ce1756d9-0a20-5200-a55a-d63a7f7992bb,C,KEEP
163e9a32-5bd5-5abb-b309-544286e5ac9c,E,KEEP
966d7f26-cd72-5f5e-93cd-caa0dd822a26,C,KEEP
857ab03b-217b-5358-bc5a-ccf3ecff2ffd,B,KEEP
8914dbb9-512e-514c-9919-8da3b4dd44fb,A,FAIL
68dc2943-eda5-525a-9db5-b94b1c2c2df4,A,FAIL
c5b3142d-e16e-5a7b-a098-39ff3bfc2146,A,KEEP
1a6f4d48-7975-5436-b9e3-eb7f9b7718c4,D,FAIL
be950d1c-f2a7-52d2-b00e-e5ccdcd88020,A,FAIL
b9bd106d-f8cb-508b-8f36-af691f1e654d,A,KEEP
7dfff5c0-da0e-5f1a-af0a-fe12d114c57e,E,FAIL
369872f9-df56-59d1-8dfc-6d5b73333f4a,UNSOLVABLE,FAIL
b9020996-7b3f-500a-93e5-322555240de1,A,KEEP
e1e48664-d4ca-5daf-a61b-9ca692816797,B,FAIL
60ea6c90-f79f-5c3a-abcf-3e4657bfbb91,A,FAIL
1b61f17c-3a13-5e39-bc92-16cbc0c52fab,UNSOLVABLE,FAIL
08a894e2-c52b-5c71-9dc8-859adaad2168,C,FAIL
747c0b27-6c0b-5f90-9a25-8119535c90d6,C,FAIL
e8f35061-644f-5195-a7d1-9a7ab167f853,A,KEEP
ca87d8b7-59db-526d-a4f6-876363ac1590,C,FAIL
c109b938-8853-5245-97e1-5991349c643c,B,FAIL
