id	strata	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	match_tier	quality_review_status	verdict	error_type	notes
89bfaf33-8d03-59e2-8315-8244526b61ee	exact	GEOMETRI	Orijinal-2024-Geometri Soru Bankası	55	"Şekil 1'de ABC dikkenar üçgen biçiminde verilen kartonun taralı kısmı, [AD] boyunca katlandığında Şekil 2 elde edilmektedir.

Yukarıdaki Şekil 3'te verilen dikkenar üçgenin E ile D noktaları arası uzaklık kaç cm'dir?"	\sqrt{3}	3	\sqrt{5}	\sqrt{6}	\sqrt{10}	A	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0055_q04.png	tier1_page_inline	bronze_clean	pass		[VISION] VISION: ABC ikizkenar uggen, taralı kısım AD katlanır, Sekil 3 kucuk uggen E-D mesafesi √3. img net, c=A plausible
d3f9a072-fbec-59d3-8f40-27de387fb75c	exact	FIZIK	Egsersiz Tyt Fizik Soru Bankası 2021	69	"Aşağıda kuvvet kavramı ile ilgili doğru/yanlış etkinliği tablosu verilmiştir;

Kuvvet ile ilgili yargı | Doğru | Yanlış
---|---|---
I. Dinamometre ile ölçülür. | | 
II. Skaler büyüklüktür. | | 
III. SI birim sistemindeki birimi Newton dur. | | 

Buna göre, doğru olan bilgiye '✓' işareti konularak etkinlik hatasız tamamlandığında aşağıdaki desenlerden hangisi elde edilir?"	Desen: I satırı Doğru, II satırı Yanlış, III satırı Doğru	Desen: I satırı Doğru, II satırı Doğru, III satırı Yanlış	Desen: I satırı Yanlış, II satırı Doğru, III satırı Yanlış	Desen: I satırı Yanlış, II satırı Yanlış, III satırı Doğru	Desen: I satırı Doğru, II satırı Doğru, III satırı Doğru	A	/static/crops/Egsersiz_Tyt_Fizik_Soru_Bankası_2021/Egsersiz_Tyt_Fizik_Soru_Bankası_2021_p0069_q01.png	tier1_page_inline	bronze_clean	pass		[VISION] VISION: text-only soru, image yok. I=D, II=Y (vektorel), III=D. c=A dogru
0aa76727-11d2-52bf-9d1f-6e4c40d5a1f1	exact	GEOMETRI	345 Tyt Ayt Geometri Soru Bankası	151	"AD ∩ BE = {G}
|BG| = |AC| = 4|GD|

G, ABC üçgensel bölgesinin ağırlık merkezi olduğuna göre; m(AGE) = α kaç derecedir?"	30	45	50	60	40	D	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0151_q04.png	tier1_page_inline	bronze_clean	pass		[VISION] VISION: Agirlik merkezi G, |BG|=|AC|=4|GD|. img net, c=D (60) hesap mumkun
a099f78b-d3ae-5175-aad7-153525746fbc	exact	BIYOLOJI	345 Tyt Biyoloji Soru Bankası	184	Rh kan karakterinde, annenin Rh- olması durumunda, çocuklarda kan uyumsuzluğu görülme ihtimali vardır. Bu olayın oluşabilmesi için, aşağıdakilerden hangisinin meydana gelmesine gerek yoktur?	Babanın kanında Rh antijeni bulunmalıdır.	En az iki çocuk Rh+ kan grubundan olmalıdır.	Baba, homozigot Rh+ olmalıdır.	Rh+ bir çocuğun kanı annenin kanına karışmalıdır.	Anne kanında oluşan antikorlar, plasentadan çocuğa geçmelidir.	E	/static/crops/345_Tyt_Biyoloji_Soru_Bankası/345_Tyt_Biyoloji_Soru_Bankası_p0184_q01.png	tier1_page_inline	bronze_clean	fail	wrong_answer	[VISION] VISION: Rh uyumsuzluk - dogru cevap C (baba homozigot ZORUNDA degil). E (antikor gecisi) gerekli kosul, 'yok' denilemez
4e39abab-19a4-56ba-a386-c82b71f61d2f	exact	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	66	"$x^2 + 1 \le -x^2 + 5x - 1$
eşitsizliğinin çözüm kümesi aşağıdakilerden hangisidir?"	\left[\frac{1}{2}, 2\right]	[2, 3)	(-\infty, 4]	[2, \infty)	(-\infty, 2]	A	/static/crops/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası_p0066_q06.png	tier1_page_inline	bronze_clean	pass		[VISION] VISION: 2x²-5x+2≤0 -> x∈[1/2,2]. img matematik formul net, c=A dogru
3983a1fb-d1c7-5d66-a3aa-94279191fb2c	exact	GEOMETRI	Orijinal-2024-Geometri	138	"Yukarıdaki dik koordinat düzleminde orijinden geçen doğrular dikdörtgenlerin köşelerinden geçmektedir.

Boyalı alan 9 birimkare olduğuna göre, ABCD dikdörtgeninin çevresi kaç birimdir?"	12	16	20	24	28	D	/static/crops/Orijinal-2024-Geometri/Orijinal-2024-Geometri_p0138_q02.png	tier1_page_inline	bronze_clean	pass		[VISION] VISION: y=x, y=x/2, y=x/4 dogrular orjinden, ABCD dikdortgen, boyali AEB ucgen 9 br². img net, c=D (24) cevre plausible
f1438829-4f3b-52af-a5a4-e7dea1a3ff39	exact	MATEMATIK	Full Matematik-2022-2023-Tyt-Matematik Soru Bankası	212	Hangi sayının %30 u 150 sayısının %40 ına eşittir?	160	180	190	200	240	D	/static/crops/Full_Matematik-2022-2023-Tyt-Matematik_Soru_Bankası/Full_Matematik-2022-2023-Tyt-Matematik_Soru_Bankası_p0212_q05.png	tier1_page_inline	bronze_clean	pass		[TEXT_ONLY] x*0.30=150*0.40=60, x=200. D dogru
e0f7c250-5485-5387-8c6d-36ac8cf82203	exact	FIZIK	Esen 2025 Aps Ayt Fizik Soru Bankası	70	Kütle ve ağırlık merkezi ile ilgili aşağıdakilerden hangisi yanlıştır?	"Cismi oluşturan parçacıkların ağırlıklarının bileşkesinin uygulandığı noktaya ""ağırlık merkezi"" denir."	"Cisim sabit olduğu için kütlemerkezini tamamının toplandığı kabu-l edilen nokta ""cismin kütlesel merkezi"" denir."	Yer çekiminin olmadığı yerde kütle merkezi vardır ama ağırlık merkezi yoktur.	Göklerden gibi büyük binalarda ağırlık ve kütle merkezlerinin farklı yerlerde olması, yer çekimi ivmesinin düzgün olmamasından sonucudur.	Barajın daha dayanıklı olması için kütle ve ağırlık merkezi farklı yükseklikte tasarlanır.	B	/static/crops/Esen_2025_Aps_Ayt_Fizik_Soru_Bankası/Esen_2025_Aps_Ayt_Fizik_Soru_Bankası_p0070_q02.png	tier1_page_inline	bronze_clean	fail	wrong_answer	[VISION] VISION: Kutle/agirlik merkezi - E (barajin dayaniklilik icin farkli yukseklikte) yanlis (gercekte ayni yukseklik daha stabil). c=B yanlis
8b6cd1ca-f5ce-51be-8bac-fac9852cc4d5	exact	FIZIK	Fizipedia Ayt Fizik Soru Bankası 2025	294	"Tek yarıkla yapılan kırınım deneyinde yeşil renkli ışık kullanılmaktadır.

Buna göre

I. Deneyde yeşil renkli ışık yerine, kırmızı renkli ışık kullanılırsa saçak genişliği azalır.
II. Yarık düzlemi ile perde arasındaki uzaklık arttırılırsa saçak genişliği azalır.
III. Yarık genişliği azaltılırsa saçak genişliği artar.

yargılarından hangileri doğrudur?"	Yalnız I	Yalnız II	Yalnız III	I ve III	II ve III	C	/static/crops/Fizipedia_Ayt_Fizik_Soru_Bankası_2025/Fizipedia_Ayt_Fizik_Soru_Bankası_2025_p0294_q01.png	tier1_page_inline	bronze_clean	pass		[VISION] VISION CONFIRMED: Tek yarikli kirinim Dy=lL/a. I lambda azalir (k.kirmizi>yesil) yanlis, II L artar Dy artar yanlis, III a azalir Dy artar dogru. Yalniz III. c=C dogru
1121a93e-8882-5f0a-98fa-0c2a60c7b3e0	exact	MATEMATIK	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	73	Beş basamaklı 3a64b sayısı 36 ile tam bölünebildiğine göre, a + b toplamının en büyük değeri kaçtır?	18	17	16	15	14	E	/static/crops/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0073_q08.png	tier1_page_inline	bronze_clean	pass		[TEXT_ONLY] 3a64b ÷ 36: b∈{0,4,8}, a+b∈{5,14}. Max a+b=14 (a=6, b=8): 36648/36=1018. E dogru
