id,gemma3,qwen3,bucket
8b1a3be4-7c47-5a26-9b3b-802d8e57adda,C,C,KEEP
aec27b61-95f2-59a8-8d80-5a4eabdad50d,A,A,KEEP
9bf6df2c-8c8e-53f2-b9ac-19cc10fc56b2,B,A,KEEP
c99e315b-c3f3-5f23-b48d-47dc3c1d6b86,B,B,KEEP
850d5715-af74-5d8e-b748-75c0b95f5ff7,A,C,KEEP
49857f94-58d2-5f99-aded-e1713580350b,A,A,KEEP
54561b2f-e0db-56b5-a1cd-2be1e47663ac,UNSOLVABLE,D,FAIL
674f6247-b123-5ce0-8535-e24b5dfc4f26,A,UNSOLVABLE,FAIL
adb39b68-af51-5377-874e-6d4692f55889,B,UNSOLVABLE,FAIL
36f4bf49-5dbf-5735-93d2-dd8001d3c5a3,B,B,KEEP
8535027f-9573-50f0-b166-f135b9c76670,A,A,KEEP
aa2526e9-44c9-528c-aea1-5cd5383fba78,A,UNSOLVABLE,FAIL
307eb0f5-b05e-5e13-8965-b2a4c7250bc3,A,UNSOLVABLE,FAIL
3b679b3f-8957-5204-bcef-677123911e50,B,UNSOLVABLE,FAIL
5416a3fd-2e7d-59bb-987e-e16b95c3485a,A,UNSOLVABLE,FAIL
8aa682fc-eb4d-58a3-a38a-a96cbe2402e5,A,UNSOLVABLE,FAIL
57856461-0d1f-5ebe-8a03-b7d7ec85db6f,D,UNSOLVABLE,FAIL
b6b8b54b-fcc4-5267-8f88-6ee8de6ca455,A,UNSOLVABLE,FAIL
4193ec17-043c-5274-9cad-43ebb235850e,C,UNSOLVABLE,FAIL
cd011aa9-bf10-52e5-ae8f-f51e63e6de96,A,UNSOLVABLE,FAIL
fe8c38b9-fff5-5de8-a458-0e6714008645,B,B,KEEP
72292626-19e7-5939-8efe-8f73af8fd236,A,UNSOLVABLE,FAIL
04190ef8-ffbd-50c5-b5a4-becd0e7da203,A,UNSOLVABLE,FAIL
e1e48664-d4ca-5daf-a61b-9ca692816797,B,D,FAIL
7d21060e-cdd2-5fcb-802e-3317d7306f79,B,UNSOLVABLE,FAIL
9f89166b-f96c-5d7b-8b57-35d3191977e5,B,E,KEEP
7dfff5c0-da0e-5f1a-af0a-fe12d114c57e,E,UNSOLVABLE,FAIL
5e614316-a290-5097-8d77-6e9eeec77658,A,UNSOLVABLE,FAIL
1609b86a-4095-5c15-bb5d-d506ba55dd17,A,UNSOLVABLE,FAIL
5dca6889-b448-570e-b80d-fc3bbfcfa991,A,A,KEEP
3484fb44-608f-534f-ac16-242b2203a1f7,C,UNSOLVABLE,FAIL
7216f993-6392-5868-861e-309435dd31f7,C,UNSOLVABLE,FAIL
b3fbb3a6-db03-513a-9971-75957ce980ae,B,UNSOLVABLE,FAIL
25317814-08ca-5186-8ba1-ac12f5c89b8a,A,A,KEEP
ffe82161-58ad-510e-b2ad-e3b458f4077e,A,E,KEEP
f01585f5-66b6-5f1b-babe-7eed70dba541,A,A,KEEP
7ebc3910-ce28-5be9-81b7-b13421f70d9d,A,UNSOLVABLE,FAIL
4c0d8877-1133-5254-837f-7e52914d1e4f,A,E,KEEP
fdda559b-3d25-5c27-a9e1-4efba13f4cd8,B,UNSOLVABLE,FAIL
6212cbca-243a-5459-98c8-3c91d7368fc9,A,UNSOLVABLE,FAIL
