id	book	page	q_no	match_type	crop_file	soru_metni_len	disk_exists	preview
74d2ba6b-abfb-5946-a40b-d492b42fc7b0	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	213	6	no_match		0	False	ABCD eşkenar dörtgen, $|AC|=12$ cm, $|BE|=9$ cm, $|BE|=17$ cm. A, C, E noktaları doğrusal olduğuna g
f58ce890-47d8-5c21-8bac-f6eba748f4da	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	218	8	soru_no_match	Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0218_q01.png	140	True	ABCD eşkenar dörtgen, $[AE]$ ve $[BE]$ açıortay, $|AE|=4$ cm, $|BE|=3$ cm. Yukarıdaki verilere göre 
97f23839-01cd-5515-8b2d-b818d24b36db	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	223	8	soru_no_match	Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0223_q03.png	108	True	Verilenlere göre, $|AB| = x$ kaç cm'dir?
1fd5899a-52bb-52a5-bbd7-34805ce4768d	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	251	6	no_match		0	False	Dikdörtgen biçiminde bir sırt ve kare biçiminde iki kapaktan oluşan ve kapaklarının ön yüzü sarı, ar
704c5dda-bc0c-55d0-9776-9332fe6fbe2c	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	275	3	no_match		0	False	Şekilde verilen karenin iç teğet çemberi eşkenar üçgenin çevrel çemberidir. Karenin kenar uzunluğu $
df2aee81-f4ce-5bd0-bfef-d052414e0077	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	275	6	no_match		0	False	Şekilde verilen kare ve eşkenar üçgenin içine çizilebilecek en büyük çemberler aynıdır. Buna göre, k
cd5967de-3464-511c-95ca-9610a49967d0	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	282	7	no_match		0	False	Bulut, mavi ve sarı renkli daire biçimindeki iki kartondan sarı olanı mavi olanın üstüne şekildeki g
4b9cfd4a-f67f-5560-84a1-6306d7c1fa75	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	295	7	soru_no_match	Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0295_q01.png	111	True	[EA, çembere A noktasında teğet, $|AB|=|AE|$, $m(\widehat{BCD})=120^\circ$. Verilenlere göre, $m(\wi
d919e5f8-7aaf-58c8-8ebd-f545f05c5619	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	320	1	q_idx_match	Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0320_q01.png	144	True	Analitik düzlemde verilen A, B, C, D noktaları için aşağıdaki tablo oluşturulmuştur. Bu tabloda veri
627ea72a-d477-5fcb-8ca8-548ed59fc0cd	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	295	10	soru_no_match	Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0295_q02.png	55	True	O merkez, $AO \perp OB$. Verilenlere göre, $m(\widehat{ACB})=x$ kaç derecedir?
c23d074f-9b98-5c73-9772-ed0da9d650a4	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	295	8	no_match		0	False	ABC üçgen, $[BD] \cap [CE] = \{K\}$, $|BE|=|BC|=|CD|$, $m(\widehat{BAC})=40^\circ$. B, C, D, E çembe
7b1c23d9-9ce0-5592-913f-347a318e1550	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	367	2	q_idx_match	Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0367_q02.png	260	True	Merkezi orijinde ve çevresi 8 birim olan ABCD karesi kenarları eksenlere paralel olacak şekilde dik 
52ba6047-7172-58e1-ad1c-04ab68f415e3	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	1	no_match		0	False	ABC üçgen, $|AB|=|AC|$, $m(\text{BAC})=30^\circ$. Verilenlere göre, $m(\text{ACD})=x$ kaç derecedir?
1b28a157-fcd6-50b5-914f-06ef417c21ff	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	2	no_match		0	False	ABC ve CDE üçgen, B, C, D doğrusal, $|AB|=|AC|$, $|EC|=|CD|$, $m(\text{BAC})=20^\circ$. Verilenlere 
c132cec2-fb23-5f9d-9be8-e31451bc2e49	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	3	no_match		0	False	ABC üçgen, $m(\text{ABC})=80^\circ$, $|AB|=|AC|$, $|AE|=|DE|$. Verilenlere göre, $m(\text{AED})=\alp
e66026c8-b070-5cfd-827b-16db59958122	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	4	no_match		0	False	ABC üçgen, $|AB|=|BC|$, $|BD|=|AC|$, $m(\text{ABC})=30^\circ$, $m(\text{BAD})=5^\circ$. Verilenlere 
51e7e4cc-9419-518e-a682-75d95985fe97	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	5	no_match		0	False	ABC ve CDE üçgen, $[AD]\cap[BE]=\{C\}$, $|AB|=|AC|$, $|CD|=|EC|$, $m(\text{BAC})=40^\circ$. Verilenl
d48204a2-7cc5-5745-aaa0-7b076a9d09bb	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	6	no_match		0	False	ABD üçgen, $m(\text{BDA})=20^\circ$, $|AB|=|AC|=|CD|$. Verilenlere göre, BAD açısının ölçüsü kaç der
