id,gemma3,qwen3
369872f9-df56-59d1-8dfc-6d5b73333f4a,UNSOLVABLE,B
16b16797-4b1c-50e2-98d5-e43fd0789252,UNSOLVABLE,C
a22455db-f26d-55ac-b281-255165d08b54,UNSOLVABLE,C
0d6ac44a-9a08-5848-ab4f-bce364556773,UNSOLVABLE,D
1b61f17c-3a13-5e39-bc92-16cbc0c52fab,UNSOLVABLE,B
20ed4349-755f-5149-bcc1-9893cd7e1019,UNSOLVABLE,E
990e6932-2151-54ec-96a8-0c469c00e559,UNSOLVABLE,B
49cf67e2-e7b9-5e9d-910d-b04c142ea4f3,PARSE_FAIL,D
a98d145c-2b5b-5a7e-bfd2-3c7c86ef1902,UNSOLVABLE,E
8b507ab8-1062-5775-bf51-9cf59347c68f,UNSOLVABLE,B
e9d0aaaf-fff2-5136-9dbc-933720c439e5,UNSOLVABLE,C
74f26251-c605-5b22-8a44-fa1601a48fa9,UNSOLVABLE,B
9e651286-3cb3-5248-9280-997e87c3dd62,UNSOLVABLE,E
fd115972-9e5a-5362-b981-5203eb3a1868,UNSOLVABLE,B
c8422dfd-1521-5d3b-abbd-7ed87e8f40da,UNSOLVABLE,UNSOLVABLE
1b7db560-97e1-5f41-b600-18c3c39efbd3,UNSOLVABLE,B
4c98b4c3-7b0e-5983-997f-ceedebfd23d4,UNSOLVABLE,B
eafea83a-42c6-5e05-84d3-59c96cf0e9fe,UNSOLVABLE,C
6c9d84ff-e554-51ec-8abb-73b043f0dba9,UNSOLVABLE,B
c8d1fd23-e0a9-5d3b-ab7f-70157ad43582,UNSOLVABLE,B
8dd6df00-582a-511d-bc2f-3203339cff1e,UNSOLVABLE,UNSOLVABLE
872b94d8-ab4e-5e2a-b5fc-9136ee13f324,UNSOLVABLE,B
79aade46-0402-5e33-bc07-8ce0bec4d286,UNSOLVABLE,D
a236b022-8895-5113-84e9-a50580e557cc,UNSOLVABLE,B
09aa1b82-0d32-5130-907c-ed139a417517,UNSOLVABLE,E
a529068e-6c65-5d53-bc20-d4e3cc0c4c90,UNSOLVABLE,A
cf65dc0a-c5ce-573a-aba5-52d91275337b,UNSOLVABLE,A
54561b2f-e0db-56b5-a1cd-2be1e47663ac,UNSOLVABLE,D
b4a96f1b-a91d-5712-a24d-4e0fe0b3c8db,UNSOLVABLE,C
7330a1a6-9dbe-525d-a4a3-699bbabea13d,UNSOLVABLE,E
