id,gemma3,qwen3,stored_key,subtype
44e5fadd-a2a1-59af-b000-916fb5d7f246,E,UNSOLVABLE,E,abstain
c7c06bf4-b8f9-5c88-bd17-8563d3d73912,C,A,C,disagree
3b7b9d1f-cf6c-58c6-9851-5860126226d5,C,E,C,disagree
58148161-c489-5ff7-abc5-2f4ed7d23c2a,C,A,C,disagree
223a3de1-1a45-5f90-930a-e7614ef7a34b,B,UNSOLVABLE,B,abstain
2e5c4a36-f118-5c98-a539-88d838c8dcc8,A,E,E,disagree
dbeae55b-1604-54e7-8c71-2b36f5532767,C,E,E,disagree
2dbcf1d2-ec68-5c2e-9622-c38ab8118ef7,D,C,D,disagree
e55e3769-ab2c-5535-b3ce-936bd80a956e,A,B,A,disagree
be27b14a-64a2-5bc7-9644-d711cc323a42,D,B,B,disagree
ce2c6861-9cf5-5d1b-bf98-deb50aa4df75,D,B,D,disagree
89ba5a2e-1506-543f-93a8-f99906a59f47,A,E,A,disagree
8887c205-47af-56a7-8b0a-b2caa78ff234,C,D,C,disagree
ccc1511f-496b-59d2-8f8b-6f34c6460549,E,UNSOLVABLE,E,abstain
ee9db6fc-9ca7-5a67-ae38-461ada9f4f5f,C,B,C,disagree
6c2c789a-2ad1-5f9d-9f71-1254f0fe9001,E,A,E,disagree
c8486fc1-0994-555d-a743-2ee70ee3418e,B,E,E,disagree
3ad46d3b-a602-535a-8834-87952e6e5470,E,UNSOLVABLE,E,abstain
69625ced-2436-5701-9471-45304f5016c3,D,E,E,disagree
ec4e5128-4adc-5430-b635-c32e10565a3a,B,E,E,disagree
a14fbf3a-39e7-59d7-a9aa-d292bacfab1e,B,E,E,disagree
4cc36018-c3ea-5dc1-9275-d193b05737a5,C,E,C,disagree
213fce15-39cd-5990-91a0-cd00c61b04bf,B,D,D,disagree
716d8742-6aa8-50c5-8e12-8447ceb0e1cc,B,UNSOLVABLE,B,abstain
dd724c0c-28cf-582e-8e6b-8c5464203efa,C,A,A,disagree
6cdcf358-c2a2-597d-b43b-5521e5fc7df6,D,C,C,disagree
2e2132bd-2e95-51c0-bbe0-84ac4d4334fc,B,E,E,disagree
8d048d97-59dd-51f6-9016-61261275f2af,E,B,E,disagree
f9c89a8e-439b-54c0-b111-2627f3e421fa,D,UNSOLVABLE,D,abstain
bede5af0-140c-5724-a708-2e109135d25e,D,C,D,disagree
