id,subject_area,q,oa,ob,oc,od,oe
31f16e16-e83c-52d2-b608-4d4762a16913,FIZIK,Maddelerin uzayda kapladığı yer olarak tanımlanan hacim ile ilgili olarak verilen aşağıdaki ifadelerden hangisi yanlıştır?,Skaler bir büyüklüktür.,Sıvı maddelerin hacimleri belirli değildir.,Türetilmiş bir büyüklüktür.,SI'daki birimi metreküptür.,İki katı madde aynı anda aynı hacmi kaplayamaz.
320b07b1-33e7-52dc-92e0-d8baf836dd63,MATEMATIK,"Bir $A$ doğal sayısı
• $5$ ile bölündüğünde $1$,
• $9$ ile bölündüğünde $7$
kalınını vermektedir.
Buna göre, $A$ sayısının $45$ ile bölümünden kalan kaçtır?",43,37,25,16,11
b66d7bf0-5f52-5c6f-aa25-bc9633861423,TARIH,"Bizans İmparatorluğu'nun yıkılmasını; I. Ankara Savaşı, II. Varna Savaşı, III. II. Kosova Savaşı olaylarından hangilerinin geciktirdiği söylenebilir?",Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III
960e2fef-ca43-5234-a1f7-628c86558823,KIMYA,"Bir X bileşiğinin suda iyi çözündüğü bilinmektedir.
Buna göre; X bileşiğinin taneciklerini bir arada tutan kuvvetler,
I. İyonik bağ
II. Dipol-dipol
III. Hidrojen bağı
yukarıdakilerden hangileri olabilir?","I, II ve III",I ve II,II ve III,Yalnız II,Yalnız III
002cbd12-4fb0-5c50-aac2-5f64695bf824,MATEMATIK,"57 kişinin bulunduğu bir toplulukta gözlüklü, gözlüksüz, kız ve erkek öğrenciler vardır. Gözlüklü erkekler 17 kişi, gözlüksüz kızlar 24 kişidir. Toplulukta gözlüksüz 34 kişi olduğuna göre, gözlüklü kaç kız öğrenci vardır?",3,4,5,6,7
7a88d025-5fe1-5ac4-96eb-f0d9a0b87c2b,SOSYAL,"Elif ve Kadir arasında geçen bir tartışma şu diyalogla sonlanır:
Elif: Tamam tamam, son haklısın.
Kadir: Haklı olduğumu söylediğine göre bu tartışmanın galibi ben oldum.
Elif: Doğruyu söylemek gerekirse tartışma biçiminin yüzünden haklısın demeye mecbur kaldım.
Kadir: Nasıl tartışıyorsun ki ben?
Elif: İlk olarak konuyu yeterince bilmediğimi söyledin sonra saçılığım sözcüklerin takıldın. Ben sinirlenmeye başlayınca da beni öfkeli biri olmakla suçladın; ve en sonunda da hiçbir gerekçe sunmadan fikrimin doğru olmadığını iddia ettin. Haklı olmak senin için bu kadar önemliyse fikirlerini argümanlarla geçersiz kılmaya çalışman daha doğru olmaz mı?
Bu diyalogda Kadir, tartışma esnasında aşağıdaki yöntemlerden hangisine başvurmamıştır?",Yaftalama yapma,Görüşü yalanlama,Üslubu eleştirme,Karşıdakini ilişkilendirme,Ana fikri çürütme
bc2c5f69-a939-5b5c-b028-d0efd7ef6a35,TARIH,"Ceyhun Atıf Kansu'ya ait şiiri okuyan Tarih Öğretmeni Serhat Bey, öğrencilerine ""Bu şiirde Millî Mücadele'de sergilenen çabalardan en çok hangisinin önemine vurgu yapılmıştır?"" sorusunu yöneltmiştir. Öğrenciler şu cevapları vermiştir: Azra: Ulusal bilincin uyandırılması Şamil: Millî egemenliğe dayalı bir devletin kurulması Nihal: İtilaf devletlerine karşı uzlaşmacı siyasetin benimsenmesi Kıvanç: Manda ve himayenin desteklenmesi Aslıhan: İstanbul Hükümeti ile iş birliğinin yapılması Buna göre hangi öğrencinin şiiri doğru yorumladığı söylenebilir?",Azra,Şamil,Nihal,Kıvanç,Aslıhan
edb5925a-6a1f-5689-bb6a-07ee1f7b1ca5,KIMYA,"UHT (sterilizasyon) ve pastörizasyon işlemi ile elde edilen süt örneklerinde,
I. Elde edilme koşulları
II. Raf ömrü
III. Mikroorganizma varlığı
hangileri farklıdır?",Yalnız I,Yalnız II,I ve II,I ve III,"I, II ve III"
bcbbd048-6cc6-5b70-8cea-efc045613bee,FIZIK,"Aşağıda dalga kaynağı ve gözlemcinin bazı hareket durumları verilmiştir.
I. Kaynak ve gözlemci eşit süratle hareket etmektedir.
II. Kaynak durgun, gözlemci sabit hızla hareket etmektedir.
III. Gözlemci durgun; kaynak sabit hızla hareket etmektedir.
Buna göre, hareket durumlarının hangilerinde doppler etkisi kesinlikle gerçekleşir?",Yalnız I,Yalnız II,Yalnız III,II ve III,"I, II ve III"
a7c0588c-82fa-5e32-bc55-e9f5d06b6be5,KIMYA,"I. Okyanuslar
II. Buz dağları ve buzullar
III. Yer altı suları
Bu su kaynaklarının büyüklükleri aşağıdakilerin hangisinde doğru verilmiştir?",I > II > III,I > III > II,II > I > III,III > II > I,II > III > I
0bfcfac6-c96c-550a-bba6-af0c506f7593,MATEMATIK,"$p(x, y): ""4x + 5y = 400, x, y \in N""$ açık önermesinin doğruluk kümesinin eleman sayısı kaçtır?",21,20,17,16,13
3c81e8e7-aa8e-5aa5-b6ac-eec6ac51b416,MATEMATIK,"$0! + 1! + 2! + 3! + ... + 300!$
sayısının birler basamağı kaçtır?",5,6,4,7,0
63a117dd-89dc-54e4-8912-19bc283c2381,MATEMATIK,"$(x-1)^3 = a_3 x^3 + a_2 x^2 + a_1 x + a_0$ olduğuna göre, açılımdaki $a_3, a_2, a_1, a_0$ şeklindeki yer alan katsayıların kaç tanesi tek sayıdır?",2,3,4,5,6
1ae3b568-e43c-5c94-9296-7515cd1a9b02,MATEMATIK,"I. ""Türkiye'nin B harfi ile başlayan illeri.""
II. ""En güzel et yemekleri.""
III. ""İki basamaklı doğal sayılar.""
ifadelerinden hangileri bir küme belirtir?",Yalnız I,Yalnız II,Yalnız III,I ve III,II ve III
2e033cab-4352-5a2a-8d8d-732a1b4994bd,EDEBIYAT,"Numaralanmış roman türü ve örneği eşleştirmelerinden hangisi yanlıştır?
I. Biyografik roman - Bir Bilim Adamının Romanı
II. Egzotik roman - Seksen Günde Devri Âlem
III. Polisiye roman - Sherlock Holmes
IV. Fantastik roman - Yüzüklerin Efendisi
V. Tarihî roman - Küçük Ağa",I,II,III,IV,V
98357885-c303-5de1-a189-b0d3e81817f1,TURKCE,"Cins isim, kimi zaman özel isim görevini üstlenebilir. Aşağıdaki cümlelerin hangisinde buna uygun bir isim kullanılmıştır?","Deniz, buradan daha durgun, daha güzel görünüyordu.","Deniz, balıkların yaşam alanı olmaktan çıkmaya başladı.","Deniz, son sınavda istediği sonucu elde edemedi.","Deniz, dalgalarıyla mavinin binbir tonunu gözler önüne seriyor.","Deniz, akşamın karanlığında yakamozla aydınlanıyor."
e81f087b-42bd-5efb-8596-dc010bd12ba9,KIMYA,$32$ gram bakır (II) sülfat tuzu tartılıp balon jojeye aktarılıyor. Tuzun üzerine bir miktar su eklenip tamamen çözünmesi sağlanıyor. Daha sonra çözelti hacmi $500$ $mL$'ye tamamlanıyor. Buna göre çözelti derişimi kaç $mol/L$ olur? ($CuSO_4=160$ $g/mol$),"$0,20$","$0,25$","$0,40$","$0,50$","$1,00$"
ac4c079a-7c46-5e7e-97ed-723d138d27d5,TARIH,"Orta Asya'da Seyhun ve Ceyhun Nehirleri arasında kalan bölgeye nehrin diğer yakası anlamına gelen Maveraünnehir adı verilmiştir. Diğer bir yer olarak Türklerin yurdu, memleketi anlamına gelen Türkistan; Orta Asya'nın merkezinde yer almakta ve bu bölgede birçok Türk boyuna rastlanmaktadır. Aşağıdakilerden hangisi içerisinde birçok mutasavvıf ve ilim adamı yetişmiş olan Türkistan ve Maveraünnehir Bölgesi ülkelerinden biri değildir?",Kazakistan,Afganistan,Özbekistan,Pakistan,Kırgızistan
1f06993b-dc02-5107-aadc-f6bb17c3e164,TURKCE,"Aka Gündüz'ün yapıtlarında milli duyarlılıklar geniş yer tutar. Sanatının bizzat kendi hayatından izler kattığı bu romanlarında, Osmanlı'nın çöküş döneminde kaleme alınmıştır. Koca ciharı imparatorluğu dağılırken Anadolu'daki Türk varlığının devamının milli ve vatansever bir anlayışa sahip olmaktan geçtiğini iyi idrak etmiştir Aka Gündüz. Bu anlayış doğrultusunda anlatılarını oluşturmuştur.
Aşağıdakilerden hangisi, Aka Gündüz'ün sanat görüşünü örnekler nitelikte bir yargıdır?","Mustafa Necati Sepetçioğlu, Türk toplumunun geçirdiği sosyokültürel değişmeleri romanlarında işlemiştir.","Fakir Baykurt, köydeki yaşam ve geçim koşullarını işleyen romanlar yazmıştır.","Oğuz Atay, modern çağ insanının ruh dünyasına temas eden postmodern anlatılar kurgulamıştır.","Behçet Necatigil, eserlerinde geleneksel şiirimizin anlatım olanaklarından faydalanmıştır.","Ömer Seyfettin, Türklük şuurundan ve yurt sevgisinden beslenen hikâyeler kaleme almıştır."
