id,subject_area,q,oa,ob,oc,od,oe
6fa3e1b0-1363-5292-9bdc-619ccc923070,BIYOLOJI,"Ortak bir atadan gelen, yapı ve görev bakımından oldukça benzer özelliklere sahip, doğada yalnız kendi aralarında serbestçe üreyebilen ve verimli (kısır olmayan) yavrular oluşturabilen bireyler topluluğudur. Canlıların sınıflandırılmasında kullanılan bu kategori için I. Genellikle hücrelerinde aynı sayıda kromozom bulunan bireylere sahiptir. II. Sadece aynı eşeyli olarak çoğalabilen bireylerden meydana gelir. III. Filogenetik sınıflandırmada kullanılan, temel ve en küçük birimdir. ifadelerinden hangileri doğrudur?",Yalnız II,Yalnız I,Yalnız III,I ve II,I ve III
6b91ebdf-51df-59e8-8626-44e2b735ff39,BIYOLOJI,Aşağıda verilen durumlardan hangisi soluk alıp verme hızının artmasına neden olmaz?,Kandaki oksijenin aşırı oranda düşmesi,Kanın pH derecesinin azalması,Kandaki karbondioksit miktarının artması,Kandaki mineral oranının azalması,Kandaki adrenalin hormonu miktarının artması
017f628c-0b95-52f8-979c-e1627e86b2dc,BIYOLOJI,"RNA çeşitlerinin sentezi sırasında
I. DNA'nın şifre vermesi,
II. RNA polimeraz enziminin görev yapması,
III. nükleotitler arasında fosfodiester bağlarının kurulması
olaylarından hangileri ortak olarak gerçekleşir?",Yalnız II,Yalnız III,I ve II,I ve III,"I, II ve III"
c29b5d2c-5f69-55b1-9324-1008656aed90,BIYOLOJI,Zigotun gelişerek tam bir bireyi oluşturması sürecinde embriyo hücrelerinin aşağıdaki özelliklerinden hangisi değişmez?,Sitoplazma miktarı,Sitoplazmadaki organel sayısı,Kromozom sayısı,Depo besin miktarı,Atık madde miktarı
3f414668-1d3b-5936-a4c2-1dd55311bd15,BIYOLOJI,"İki kahverengi göz rengine sahip bireyin mavi ya da yeşil gözlü çocuğu olabilir. Ancak iki mavi ya da iki yeşil gözlü bireyin kahverengi gözlü çocukları olamaz. Buna göre göz rengi kalıtımıyla ilgili I. Kahverengi göz aleli mavi ve yeşil göz aleline baskındır. II. Heterozigot genotipli bireyde çekinik aleller, fenotipte etkisini gösteremez. III. Erkeklerde tek alel tarafından belirlenir. ifadelerinden hangileri söylenebilir? (Göz rengi otozomal kromozomlarda kalıtılır.)",Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III
43845302-5170-510b-b151-bfe3a28816d2,BIYOLOJI,"Sağlıklı bir insanın vücudunda, aşağıdaki enzimatik olaylardan hangisi, hem hücre içinde hem de hücre dışında gerçekleşebilir?",Nişastanın glikozlara kadar sindirilmesi,"Yağ asitlerinin, $H_2O$ ve $CO_2$'ye kadar yıkılması",Glikojenin glikozlara kadar parçalanması,Nükleotitlerden nükleik asit üretilmesi,Amino asitlerden protein sentezlenmesi
7b34912a-67b8-5964-b9ad-a4aab8389a02,BIYOLOJI,"İnsanlarda spermatogenez ve oogenez olayı ile ilgili olarak aşağıdaki ifadelerden hangisi yanlıştır?
A) Spermatogenez olayı seminifer tüpçüklerde gerçekleşir.
B) Bir oogenez sonucunda döllenme yeteneğinde olan dört gamet oluşur.
C) Spermatogenez olayı ergenlik çağında başlar.
D) Dişilerde embriyonik dönemde oluşan birincil oositler profaz-I evresinde bekletilir.
E) Oogenez sonucunda oluşan hücrelerin büyüklüğü aynı değildir.",Spermatogenez olayı seminifer tüpçüklerde gerçekleşir.,Bir oogenez sonucunda döllenme yeteneğinde olan dört gamet oluşur.,Spermatogenez olayı ergenlik çağında başlar.,Dişilerde embriyonik dönemde oluşan birincil oositler profaz-I evresinde bekletilir.,Oogenez sonucunda oluşan hücrelerin büyüklüğü aynı değildir.
f8db52d0-7640-5d16-b65b-17c104745227,BIYOLOJI,"İnsanlarda cinsiyet X ve Y kromozomları tarafından belirlenir. X ve Y kromozomlarının tüm genleri birbirinin aleli değildir. Sadece X kromozomu üzerinde bulunan genler olduğu gibi sadece Y kromozomu üzerinde bulunan genler de vardır. Buna göre, bir erkeğin genotipinde bulunan çekinik bir gen; I. X kromozomunun Y ile homolog olmayan bölgesinde, II. Y kromozomunun X ile homolog olmayan bölgesinde, III. otozomal kromozomlar üzerinde durumlarından hangileriyle taşındığında bu kişinin fenotipindeki etkisini kesinlikle gösterir?",Yalnız I,Yalnız II,Yalnız III,I ve II,I ve III
025166bb-8fa5-5e41-bce8-a4a881b5abaa,COGRAFYA,"Doğu Karadeniz Projesi (DOKAP)'nin uygulanma alanında Artvin, Bayburt, Giresun, Gümüşhane, Ordu, Rize, Samsun, Tokat, Trabzon, Amasya ve Çorum olmak üzere 11 il yer almaktadır. Aşağıdaki gerekçelerden hangisi, DOKAP'ın planlanması üzerinde etkili olmamıştır?",Bölgede önemli taş kömürü rezervlerinin yer alması,İşsizlik ve buna bağlı olarak bölge dışına olan göçlerin fazla olması,Bölgedeki ulaşım olanaklarının yeterince gelişmemiş olması,Ekonomik sektörlerin sınırlı sayıda olması,Bölgede kişi başına düşen ulusal gelirin az olması
2e033cab-4352-5a2a-8d8d-732a1b4994bd,EDEBIYAT,"Numaralanmış roman türü ve örneği eşleştirmelerinden hangisi yanlıştır?
I. Biyografik roman - Bir Bilim Adamının Romanı
II. Egzotik roman - Seksen Günde Devri Âlem
III. Polisiye roman - Sherlock Holmes
IV. Fantastik roman - Yüzüklerin Efendisi
V. Tarihî roman - Küçük Ağa",I,II,III,IV,V
2779fd62-70d1-5dc9-978d-e391c0062944,EDEBIYAT,"Gidelim tamburam gayrı sılaya
Gidenler var katılam alaya
Yarimiz göç etmiş arş-ı alaya
Haydi ey tamburam biz de gidelim
Bu dörtlük aşağıdaki şiir türlerinin hangisinden alınmıştır?",Epik,Satirik,Pastoral,Didaktik,Lirik
3cf3a8a0-3b92-5f84-a3c6-6a9e667f1399,FIZIK,"Michelson - Morley deneyi ile
I. Işık hızının tüm referans sistemlerinde aynı olduğu,
II. Işık hızının ölçülemeyeceği,
III. Işığın yayılması için bir ortama gerek olmadığı
durumlarından hangileri kanıtlanmıştır?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
024a7d6a-742e-55e6-a292-5546b67a3994,FIZIK,"Kepler, gezegenlerin Güneş etrafındaki hareketini Newton'un kütle çekim kanununa dayandırarak açıklamıştır.
Buna göre,
I. Gezegenler Güneş etrafında dolanırken Güneş'e yaklaştığında hızı artar. Böylece eşit sürelerle eşit alanlar tarayabilir.
II. Güneş etrafında dolanmakta olan gezegenlerden Güneş ile arasındaki uzaklığı az olan gezegenin dolanım periyodu fazladır.
III. Gezegen ile Güneş arasındaki kütle çekimi değişmediği için gezegenler Güneş etrafında düzgün çembersel hareket yaparlar.
yargılarından hangileri bu olayı açıklayabilir?",Yalnız I,Yalnız II,Yalnız III,I ve II,"I, II ve III"
d4f338c7-a289-5a43-aee6-a25a4e570acd,FIZIK,"Aşağıda verilen fiziksel büyüklük, nicelik türü eşleştirmelerden hangisi yanlıştır?",Hız - Vektörel,Sürat - Vektörel,Kütle - Skaler,Hacim - Skaler,Yer değiştirme - Vektörel
b8b0dab6-bb52-5bd6-b9d3-d699245db599,FIZIK,I. Graviton II. Gluon III. Foton Yukarıda verilen parçacıklardan hangileri yeğin (güçlü) çekirdek kuvvetlerine aracılık eden parçacıklardır?,Yalnız I,Yalnız II,I ve II,I ve III,II ve III
bd66ad1b-0261-5cdf-9a5c-4fb9276f3991,FIZIK,"Faraday kafesi, elektrik alanlarından koruma sağlamak için kullanılan bir yapıdır. Bu kafes, elektriksel iletken malzemeden yapılmış olup içindeki bölgeyi dış elektrik alanlarından izole eder. Faraday kafesi prensibi, elektrik yüklerinin iletken yüzeyde düzgün olarak dağılması ve iç kısımda elektrik alanının sıfırlanması temeline dayanır. Bu yapılar, elektronik cihazların elektromanyetik etkilerden korunması ve hassas ölçümlerin yapılması gereken durumlarda kullanılır.
Buna göre
I. asansör içinde cep telefonlarının çekmemesi ya da çekim gücünün azalması,
II. yıldırımlı havalarda en güvenilir yerin araba içi olması,
III. yıldırımın genelde cami minaresi, ağaç gibi yerlere düşmesi
olaylarından hangileri Faraday kafesi ile ilgilidir?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
4303a7f8-8ec0-5279-bc49-986e6e66cb26,FIZIK,"I. Bıçağın bir yüzünün ince yapılması
II. Karda yürürken ayaklara kar ayakkabısı giyilmesi
III. Çivinin bir ucunun sivri yapılması
Yukarıda verilen olayların hangilerinde basıncın artmasından yararlanılmıştır?",Yalnız I,Yalnız II,I ve II,I ve III,II ve III
9f681b71-9508-50c5-8b54-3a2523bb9b33,FIZIK,"Bohr atom teorisine göre, hidrojen atomunun birinci yörüngesinde dolanan bir elektronun yörünge yarıçapı $r$'dir. Buna göre, hidrojen atomunun dördüncü yörüngesinde dolanan elektronun yörünge yarıçapı kaç $r$'dir?",1,2,4,8,16
845af96a-7035-5f3c-b2bc-e9acbd70aaa5,FIZIK,"Fizikte sistemler eylemli ve eylemsiz referans sistemleri olmak üzere ikiye ayrılır. Buna göre, I. Sabit hızla hareket eden bir otobüsün koltuğunda oturan bir yolcu II. Dağın zirvesinden aşağıya doğru hızlanarak kayan bir kayakçı III. Durgun bir su yüzeyinde duran bir kayık hareket durumlarından hangileri eylemsiz referans sistemine örnek olarak gösterilebilir? (Dünyanın hareketini önemsemeyiniz.)",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
ffd4730e-6ae0-589e-a594-92c09cb0a6d7,FIZIK,"Sağlıklı büyüme gelişme için düzenli ve dengeli beslenmek çok önemlidir. Ancak günümüzde hızlı nüfus artışı, düzensiz kentleşme ve sanayileşme, köyden kente göçler beraberinde gıda sorununu getirmektedir. Böylece beslenme alışkanlıklarımız olumsuz manada değişirken besin kaynaklarımız da azalmaktadır. Özellikle köyden kentlere göç, ülke tarımını çok ciddi bir biçimde etkilemektedir. Bunun sonucunda sanayi ürünü olan besinler yaygınlaşmakta, organik besin kaynaklarımız tükenmektedir. Buna göre besin kaynaklarının tasarruflu kullanılması ve arttırılması için; I. paket gıdalara yeterli derecede koruyucu madde konularak tüketimi arttırmak, II. düzensiz kentleşme ve düzensiz sanayileşmenin önüne geçmek, III. sanayi ürünü kimyasal katkılı besinlerin önüne geçerek, organik besinlerin yaygınlaşması için tedbirler almak işlemlerinden hangileri yapılmalıdır?",Yalnız I,Yalnız II,I ve II,II ve III,"I, II ve III"
0844b665-28af-541a-8f0f-ddc012bb7bb6,GEOMETRI,"Tabanı 10 birim olan bir ikizkenar üçgenin içine; birer köşesi üçgenin eşit kenarları üzerine, bir kenarı üçgenin tabanı üzerine gelen 16 birimkare alanlı bir kare çizilebiliyor. Buna göre, ikizkenar üçgenin alanı kaç birimkaredir?",50,$\frac{100}{3}$,40,$\frac{110}{3}$,30
f03f24ef-d514-53a5-8367-b9de50de120d,GEOMETRI,"Düzgün bir kare piramidin taban ayrıtı 12 br ve yüzey alanı 384 $br^2$ olduğuna göre, hacmi kaç birimküptür?",336,360,384,400,432
4f1b1d24-3b78-512c-b54a-398d2bf90788,GEOMETRI,"Analitik düzlemde eğimi -2 olup $A(1, 4)$ noktasından geçen doğrunun denklemi aşağıdakilerden hangisidir?",$y=x-4$,$y=-x+3$,$y=2x-2$,$y=-2x+6$,$y=2x-3$
0d70df4d-47fc-555b-9036-7c826afd2fb9,GEOMETRI,"Analitik düzlemde $A(2, 0)$ ve $B(m, -8)$ noktalarını birleştiren doğru parçasının orta noktası $C(0, n)$ dir. Buna göre, $m+n$ kaçtır?",-9,-6,1,3,4
fbb478bf-8d35-5712-b8bc-ceb7c4310815,KIMYA,"Gaz fazındaki maddeler ile ilgili,
I. $0^	ext{o}C$ ve 1 atm'de 1 molü 22,4 litre hacim kaplar.
II. $25^	ext{o}C$ ve 1 atm'de 1 molü 24,5 litre hacim kaplar.
III. Aynı şartlar altında eşit tanecik sayıları eşit hacim kaplar.
verilenlerden hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
