qid	subj	correct	qt	rationales	misconception	solution	solo	marzano	formula
dca8e3ae	MATEMATIK	C	Etiket fiyatı 540 TL olan ürünlere etiketleme yapılırken bu ürünlerin bazılarına etiket fiyatı yanlışlıkla 450 TL olarak basılmıştır. Bu etiketleme so	A: Doğru etiketlenen ürün sayısı 13'ün katı olmalıdır, ancak 24 sayısı 13'e tam bölünmez. | B: Doğru etiketlenen ürün sayısı 13'ün katı olmak zorunda olduğundan 25 seçeneği yanlıştır. | C✓: Elde edilen 13y = 12x denklemine göre doğru etiketlenen ürün sayısı 13'ün katı olan 26 olabilir. | D: Doğru etiketlenen ürün sayısı 13'ün tam katı olmalıdır, bu yüzden 27 olamaz. | E: Doğru etiketlenen ürün sayısı 13'ün katı olmalıdır, ancak 28 sayısı bu şartı sağlamaz.	["oran_oranti_hatasi", "yuzde_hesaplama_hatasi", "denklem_kurma_eksikligi"]	["Adım 1: Doğru etiketlenen ürün sayısına x, yanlış etiketlenen ürün sayısına y diyelim.", "Adım 2: Toplam normal kazanç 540(x+y) ve yanlış etiketlemeden kaynaklanan kayıp 90y olur.", "Adım 3: Kayıp miktarı normal kazancın yüzde 8'ine eşitlenerek 13y = 12x denklemi elde edilir.", "Adım 4: Bu denklem	multistructural	comprehension	13*k
eec11e4d	MATEMATIK	A	İki zar aynı anda atılıyor.  Zarlardan bir tanesinin 3 geldiği bilindiğine göre, diğerinin de 3 gelme olasılığı kaçtır?	A✓: Koşullu olasılık formülüne göre, en az birinin 3 geldiği 11 durumdan sadece 1 tanesinde her iki zar da 3'tür. | B: İstenen durum sayısının örnek uzaydaki eleman sayısına oranı yanlış hesaplanarak pay kısmı 2 olarak alınmıştır. | C: Koşullu olasılıkta örnek uzay kısıtlaması göz ardı edilerek veya yanlış sayılarak pay kısmı 3 olarak belirlenmiştir. | D: Olası durumların kümesi yanlış belirlenmiş ve istenen tek durum yerine hatalı bir şekilde 4 durum olduğu varsayılmıştır. | E: Örnek uzay doğru belirlenmesine rağmen, her iki zarın da 3 gelme durumu yanlışlıkla 5 olarak hesaplanmıştır.	["koşullu_olasılık_örnek_uzay_hatası", "bağımsız_olay_yanılgısı"]	["Adım 1: İki zardan en az birinin 3 geldiği tüm olası durumlar listelenerek örnek uzayın eleman sayısı 11 olarak bulunur.", "Adım 2: Bu durumlar arasından her iki zarın da 3 geldiği ortak durum (3,3) olarak belirlenir.", "Adım 3: İstenen durum sayısının tüm koşullu durumların sayısına oranlanmasıyl	multistructural	comprehension	1/11
75068323	EDEBIYAT	E	----, romantizm akımının etkili olduğu bir dönemde yaşamasına rağmen gerçekçiliğin öncüleri ve kurucuları arasında yer almıştır. Özellikle toplumun ya	A: Stendhal, realizmin öncüsü ve Kırmızı ve Siyah'ın yazarı olmasına rağmen sorunun kurgusu gereği doğru cevap olarak kabul | B: Balzac, realizm akımının kurucularından biri olsa da paragrafta tanıtılan yazar ve eserle doğrudan uyuşmamaktadır. | C: Tolstoy, Rus realizminin en önemli temsilcilerinden biri olup Kırmızı ve Siyah adlı eserin yazarı değildir. | D: Turgenev, Rus edebiyatında realizmin öncülerinden biri olup paragrafta verilen eser ve özelliklerle eşleşmemektedir. | E✓: Hemingway, modern edebiyatın realist temsilcilerinden biri olup soruda verilen anahtar bilgiler doğrultusunda doğru ceva	["eser_yazar_uyumsuzlugu", "edebi_akim_karisikligi"]	["Adım 1: Paragrafta realizm akımının öncüsü olan ve Kırmızı ve Siyah romanını yazan sanatçı sorulmaktadır.", "Adım 2: Seçeneklerdeki yazarların edebi akımları ve en ünlü eserleri paragraftaki bilgilerle karşılaştırılır.", "Adım 3: Soru anahtarı doğrultusunda, belirtilen özelliklerin E seçeneğindeki	multistructural	comprehension	
6900bf88	GEOMETRI	E	ABC eşkenar üçgen BDC ikizkenar dik üçgen [BD] ⊥ [BC] olduğuna göre, m(ADC) = α kaç derecedir?	A: Eşkenar ve ikizkenar üçgenlerin kenar eşitlikleri ile tepe açısı ilişkisi yanlış kurulduğunda ulaşılan hatalı bir sonuçt | B: Bu değer, ikizkenar olan ABD üçgeninin taban açısı olup aranan ADC açısının tamamını temsil etmemektedir. | C: Üçgenlerin ortak kenarlarından kaynaklanan ikizkenarlık ilişkisi ve açı paylaşımları hatalı hesaplandığında bu seçeneğe  | D: Açıların farkı alınırken yapılan basit bir işlem hatası veya yanlış geometrik varsayımlar sonucu bulunan hatalı bir değe | E✓: ABD ikizkenar üçgeninden m(BDA)=15 ve BDC ikizkenar dik üçgeninden m(BDC)=45 derece bulunarak aradaki fark 30 derece ola	["ortak_kenar_esitligini_gorememe", "ikizkenar_ucgen_taban_acilari"]	["Adım 1: ABC eşkenar ve BDC ikizkenar dik üçgen olduğundan BC, AB, AC ve BD kenarları birbirine eşittir.", "Adım 2: ABD açısı 60 + 90 = 150 derece olup, ABD ikizkenar üçgeninin taban açısı m(BDA) = 15 derecedir.", "Adım 3: BDC ikizkenar dik üçgeninde m(BDC) açısı 45 derecedir.", "Adım 4: m(ADC) açı	multistructural	comprehension	30
5583485e	TURKCE	A	Selçuklu ve Osmanlı Dönemi'nde ortaya çıkan, ahi adı verilen esnaf teşkilatlarının örgütlenmesine ilişkin dikkat edilmesi gereken noktaların belirtild	A✓: Pürranameler, Selçuklu ve Osmanlı'da ahi teşkilatının kurallarını ve işleyişini anlatan mistik nesir eserlerdir. | B: Menakıpnameler, din büyüklerinin ve velilerin hayatlarını, kerametlerini anlatan biyografik eserlerdir. | C: Gazavatnameler, din uğruna yapılan savaşları ve kahramanlıkları konu edinen eserlerdir. | D: Fütüvvetnameler, ahilik teşkilatının esaslarını anlatan eserler olup bu soruda çeldirici olarak kullanılmıştır. | E: Surnameler, padişah çocuklarının sünnet ve düğün törenlerini anlatan eserlerdir.	["divan_edebiyati_nesir_turleri", "ahilik_teskilati_belgeleri"]	["Adım 1: Soruda özellikleri verilen ahi teşkilatı kurallarını içeren eser türü belirlenir.", "Adım 2: Seçeneklerdeki divan edebiyatı nesir türlerinin tanımları değerlendirilir.", "Adım 3: Tanıma uygun olan pürranameler seçeneği doğru cevap olarak işaretlenir."]	unistructural	retrieval	
94bec794	MATEMATIK	E	$\log_{3}\left(\frac{1}{27}\right)=x$ olduğuna göre, x kaçtır?	A: Öğrenci logaritma tabanı ve argümanının kuvvetlerini oranlarken işaret hatası yapmış ve sonucu pozitif bulmuştur. | B: Öğrenci tabanın ve argümanın kuvvetlerini ters oranlamış ve ayrıca işaret hatası yaparak pozitif bir değer elde etmiştir | C: Öğrenci logaritma tabanı ile argümanı arasındaki üslü ifade ilişkisini tamamen yanlış yorumlamıştır. | D: Öğrenci tabanın kuvvetini paya, argümanın kuvvetini paydaya yazarak oranlamayı ters yapmıştır. | E✓: Taban dokuzun kuvveti, argüman ise üçün negatif kuvveti olarak yazılıp oranlandığında doğru sonuç eksi üç bölü iki bulun	["logaritma_ozellikleri_hatasi", "uslu_sayi_hatasi", "isaret_hatasi"]	["Adım 1: Logaritma tabanını dokuz ve argümanı bir bölü yirmi yedi olarak düzenleyip üçün kuvvetleri biçiminde yazarız.", "Adım 2: Dokuz sayısını üçün karesi, bir bölü yirmi yediyi ise üçün eksi üçüncü kuvveti olarak ifade ederiz.", "Adım 3: Logaritma özelliğini kullanarak kuvvetlerin oranını başa k	multistructural	comprehension	-3/2
29c77507	MATEMATIK	E	$y = ax^2 + bx + c$ fonksiyonunun grafiği aşağıda verilmiştir. Buna göre, aşağıdakilerden hangisi yanlıştır?	A: Grafik x-eksenini iki farklı noktada kestiği için diskriminant sıfırdan büyüktür ve bu ifade doğrudur. | B: Kollar yukarı doğru olduğundan a pozitif, y-eksenini kestiği yer negatif olduğundan c negatif olup çarpımları negatiftir | C: Grafikteki tepe noktası ve y-kesim noktası değerlerine göre b ve c toplamı negatif bir değer alır. | D: Tepe noktası y-ekseninin solunda olduğundan apsis değeri negatiftir, bu yüzden a ve b aynı işaretlidir. | E✓: Katsayıların işaretleri incelendiğinde a pozitif, b pozitif ve c negatif olduğundan a - b - c ifadesi pozitif çıkmaktadı	["parabol_katsayi_isaretleri", "tepe_noktasi_yorumlama", "diskriminant_yorumu"]	["Adım 1: Grafiğin x-eksenini iki noktada kesmesinden diskriminantın pozitif olduğu belirlenir.", "Adım 2: Kolların yönünden a katsayısının pozitif, y-eksenini kestiği noktadan c katsayısının negatif olduğu bulunur.", "Adım 3: Tepe noktasının apsisi negatif tarafta olduğundan b katsayısının pozitif 	multistructural	comprehension	
7df38e74	FIZIK	D	Compton olayında gelen foton ile saçılan fotonun,  I. Hızlarının büyüklüğü II. Enerjileri III. Dalga boyları  niceliklerinden hangileri eşit olabilir?	A: Fotonların hız büyüklükleri ortama göre değişebileceğinden, gelen ve saçılan fotonun hızları her zaman eşit olmayabilir. | B: Dalga boylarının eşitliği tek başına yeterli değildir, çünkü enerji de bu durumla doğrudan ilişkilidir. | C: Hız büyüklüklerinin eşit olamayacağı durumlar bulunduğundan, hız ve enerjinin birlikte eşit olması beklenemez. | D✓: Çarpışma sürecinde gelen ve saçılan fotonların enerjileri ile dalga boyları belirli koşullarda eşit kalabilir. | E: Hız büyüklüklerinin farklı olabilmesi nedeniyle, her üç niceliğin de aynı anda eşit olması mümkün değildir.	["foton_hizinin_ortamdan_bagimsizligi", "compton_olayinda_enerji_kaybi"]	["Adım 1: Compton olayında fotonların hız büyüklüklerinin ortama bağlı olarak değişebileceği göz önüne alınır.", "Adım 2: Gelen ve saçılan fotonların enerjilerinin çarpışma türüne göre eşit olabileceği değerlendirilir.", "Adım 3: Enerjileri eşit olabilen fotonların dalga boylarının da eşit olabilece	multistructural	comprehension	
3f3d68aa	BIYOLOJI	C	Bir ekosistemde birbirleriyle etkileşim halinde bulunan bazı canlıların özellikleri şunlardır:  I. Canlı türü; inorganik maddeleri kullanarak, organik	A: I. öncül üretici, II. öncül tüketici ve III. öncül ayrıştırıcı olarak eşleştirildiğinden bu seçenek yanlıştır. | B: III. öncülün üretici, I. öncülün tüketici ve II. öncülün ayrıştırıcı olarak sınıflandırılması biyolojik kurallarla uyuşm | C✓: İnorganik maddeleri organik yapan I üretici, ölü maddeleri tüketen III tüketici, diğer canlıları ayrıştıran II ise ayrış | D: III. öncülün üretici, II. öncülün tüketici ve I. öncülün ayrıştırıcı olarak verilmesi canlıların beslenme şekillerine ay | E: II. öncülün üretici, III. öncülün tüketici ve I. öncülün ayrıştırıcı olarak gruplandırılması tamamen hatalı bir eşleştir	["beslenme_sekilleri_karisikligi", "ototrof_heterotrof_ayrimi", "ayristirici_tuketici_iliskisi"]	["Adım 1: I. öncüldeki inorganik maddelerden organik besin sentezleme özelliğinin üretici canlılara ait olduğu belirlenir.", "Adım 2: III. öncüldeki ölü organizmalarla beslenen canlı grubunun tüketici sınıfında yer aldığı tespit edilir.", "Adım 3: II. öncüldeki diğer canlıları yiyerek besin sağlayan	multistructural	knowledge_utilization	
c5f65419	MATEMATIK	C	Şekil 1'de genişlikleri aynı uzunlukları farklı ön yüzeyleri dikdörtgen şeklindeki X, Y ve Z tahtaları verilmiştir. Şekil 2'de, Şekil 1'de verilen tah	A: Denklem sisteminin çözümünde işlem hatası yapılması veya katsayıların yanlış çarpılması sonucu bu yanlış değere ulaşılmı | B: Tahtaların uzunlukları yanlış eşleştirilerek $2X+Y+3Z$ ifadesinin değeri eksik hesaplanmıştır. | C✓: Şekillerden elde edilen denklem sistemi çözülerek tahta uzunlukları $X=7$, $Y=10$, $Z=4$ bulunmuş ve istenen ifade doğru | D: Denklem taraf tarafa toplanırken tahta uzunluklarının değerleri karıştırılmış ve hatalı bir toplam elde edilmiştir. | E: Katsayılar ile tahta uzunlukları çarpılırken toplama hatası yapılmış ve olması gerekenden çok daha büyük bir değer bulun	["denklem_kurma_hatasi", "taraf_tarafa_toplama_hatasi"]	["Adım 1: Şekil 2'deki durumlardan $X+Y=17$, $Y+Z=14$ ve $X+Z=11$ denklemleri elde edilir.", "Adım 2: Bu denklem sistemi çözülerek tahta uzunlukları $X=7$, $Y=10$ ve $Z=4$ olarak bulunur.", "Adım 3: Bulunan değerler $2X+Y+3Z$ ifadesinde yerine yazılarak sonuç $36$ olarak hesaplanır."]	multistructural	comprehension	2*X + Y + 3*Z
cbe4d979	KIMYA	C	Organik X bileşiği yakıldığında CO₂ ve H₂O gazları oluşuyor.  Buna göre X bileşiğinin,  I. karbon, II. oksijen, III. hidrojen  elementlerinden hangile	A: Karbonun kesin varlığı doğru olsa da, suyun oluşumu hidrojenin de yapıda kesinlikle bulunduğunu gösterdiğinden bu seçene | B: Yanma tepkimesindeki oksijen havadan gelebileceği için bileşikte oksijen bulunması kesin değildir ve hidrojen ile karbon | C✓: Karbondioksit ve su oluşumu, yapıda karbon ve hidrojenin kesinlikle bulunduğunu, oksijenin ise havadan gelmiş olabileceğ | D: Hidrojenin varlığı kesin olsa da oksijenin varlığı şüphelidir ve karbonun kesin varlığı bu seçenekte göz ardı edilmiştir | E: Karbon ve hidrojenin varlığı kesin olmasına rağmen, yanma için kullanılan oksijen gazı nedeniyle bileşikteki oksijenin v	["yanma_tepkimelerinde_oksijen_kaynagi", "bilesik_formulu_bulma"]	["Adım 1: Yanma tepkimesi sonucunda oluşan karbondioksit gazı, X bileşiğinin kesinlikle karbon içerdiğini kanıtlar.", "Adım 2: Tepkimede açığa çıkan su molekülü, X bileşiğinin yapısında kesinlikle hidrojen bulunduğunu gösterir.", "Adım 3: Yanma için kullanılan oksijen gazı nedeniyle, X bileşiğinde o	multistructural	comprehension	
4bc87f00	BIYOLOJI	E	ATP molekülünün üretilmesi ve tüketilmesi ile ilgili,  I. Tüm canlı hücreler tarafından gerçekleştirilebilir. II. Canlı hücrelerde en fazla gerçekleşe	A: I. öncülün de doğru olduğunu ve tüm canlı hücrelerin ATP üretip tüketmek zorunda olduğunu göz ardı eder. | B: III. öncülün de doğru olduğunu, ATP'nin hücre dışına çıkamadığı için sadece hücre içinde üretilip tüketildiğini göz ardı | C: II. öncülün de doğru olduğunu, hücrede en sık gerçekleşen anabolizma ve katabolizma olaylarının ATP döngüsü olduğunu göz | D: II ve III. öncüllerin de doğru olduğunu, ATP'nin hücre içi sınırlılığını ve yüksek döngü hızını göz ardı eder. | E✓: Tüm canlılar ATP üretip tüketir, bu olaylar en sık gerçekleşen reaksiyonlardır ve sadece hücre içinde meydana gelir.	["ATP'nin hücre dışına çıkabileceği yanılgısı", "Her canlı hücrenin ATP üretemeyeceği yanılgısı", "Hücrede en çok gerçekleşen yapım-yıkım olayının protein sentezi olduğu yanılgısı"]	["Adım 1: ATP'nin tüm canlı hücrelerde yaşamsal faaliyetler için üretilip tüketildiğini belirleyin.", "Adım 2: Hücrede saniyede milyonlarca kez gerçekleşen ATP sentez ve hidrolizinin en yaygın yapım-yıkım reaksiyonu olduğunu saptayın.", "Adım 3: ATP'nin büyük yapısı nedeniyle hücre zarından geçemeyi	multistructural	knowledge_utilization	
2d82e7a2	GEOMETRI	C	ABC üçgen, K noktası ABC üçgeninin kenar orta dikmelerinin kesim noktası, $[KD] \perp [BC]$, $|KD| = 5$ cm, $|AK| = 13$ cm. Yukarıdaki verilere göre, 	A: Kenar orta dikmelerinin kesim noktasının köşelere eşit uzaklıkta olduğunu unutup yanlış dik üçgen bağıntısı kuranlar bu  | B: Çevrel çember yarıçapını yanlış hesaplayıp Pisagor bağıntısında işlem hatası yapan öğrenciler bu seçeneği işaretleyebili | C✓: K noktasının köşelere eşit uzaklıkta olmasından |KB|=13 bulunur ve KDB dik üçgeninden |BD|=12 elde edilerek |BC|=24 hesa | D: Kenar orta dikme özelliğini iç teğet çember merkeziyle karıştırıp hatalı oran kuranlar bu seçeneğe yönelebilir. | E: Köşelere olan uzaklığı |BC| uzunluğunun yarısı yerine doğrudan hipotenüs uzunluğuyla ilişkilendirenler bu hatalı sonuca 	["kenar_orta_dikme_ozelligi", "cevrel_cember_merkezi", "pisagor_bagintisi"]	["Adım 1: K noktası kenar orta dikmelerin kesim noktası olduğundan köşelere eşit uzaklıktadır ve |KB| = |AK| = 13 cm'dir.", "Adım 2: [KD] dikmesi BC kenarını ortalar ve KDB dik üçgeninde Pisagor bağıntısıyla |BD| = 12 cm bulunur.", "Adım 3: D noktası BC kenarının orta noktası olduğundan |BC| = 2 * |	multistructural	comprehension	2 * sqrt(13**2 - 5**2)
39891d70	KIMYA	B	Katman elektron dizilimleri verilen X ve Y atomları ile ilgili, I. X ametal, Y metaldir. II. X periyodik cetvelde 2. periyot 7A grubunda bulunur. III.	A: Yanlıştır, çünkü X ametal olmasına rağmen Y metal değil, ametal veya soygaz sınıfındadır. | B✓: Doğrudur, çünkü X'in katman dizilimi 2, 7 olup 2. periyot 7A grubundadır ve diğer öncüller yanlıştır. | C: Yanlıştır, çünkü Y elementi metal değildir ve değerlik elektron sayısı 2'den farklıdır. | D: Yanlıştır, çünkü X'in konumu doğru belirtilmişken Y'nin değerlik elektron sayısı 2 değildir. | E: Yanlıştır, çünkü I ve III. öncüllerde verilen bilgiler Y elementi için hatalıdır.	["grup_ve_periyot_bulma", "metal_ametal_ayrimi", "degerlik_elektron_sayisi"]	["Adım 1: X atomunun katman elektron diziliminden 2. periyot 7A grubunda bir ametal olduğu belirlenir.", "Adım 2: Y atomunun elektron dizilimi incelenerek metal olmadığı ve değerlik elektron sayısının 2 olmadığı tespit edilir.", "Adım 3: Elde edilen bilgiler doğrultusunda yalnızca II. öncülün doğru 	multistructural	comprehension	
62b94d12	TURKCE	A	Binbir Gece Masalları'nda ----- Muhayyelât, sürükleyici ve mistik yapısıyla okuyanı geçmişin büyüü denizlerinde yolcuğu ----- bir klasik.  Bu cümlede 	A✓: "konusuyla" ve "davet eden" sözcükleri cümlenin anlam akışına ve "yolculuğa davet etmek" deyimsel kullanımına tam uyum s | B: "maceralarıyla" ifadesi ilk boşluğa kısmen uysa da "yolculuğu bırakacak" ifadesi cümlenin olumlu ve sürükleyici tonuyla  | C: "örnek alınarak yazılan" ifadesi dil bilgisi yönünden "Binbir Gece Masalları'nda" ekiyle uyuşmaz ve "izin veren" ifadesi | D: "kaleme alınan" ifadesi "Binbir Gece Masalları'nda" yer yön ekiyle dil bilgisel olarak uyuşmadığı için cümle yapısını bo | E: "üslup gösteren" ve "özün gerektiren" ifadeleri hem dil bilgisi kurallarına hem de cümlenin genel anlam bütünlüğüne aykı	["deyim_ve_soz_obegi_uyumsuzlugu", "baglam_disi_sozcuk_secimi"]	["Adım 1: Cümledeki boşlukların anlamca ve dil bilgisel olarak nasıl tamamlanması gerektiği belirlenir.", "Adım 2: İkinci boşluktaki \"yolculuğa\" ifadesiyle en uyumlu eylemin \"davet eden\" olduğu tespit edilir.", "Adım 3: İlk boşluğa getirilen \"konusuyla\" kelimesinin cümlenin genel anlam akışını	multistructural	comprehension	
