id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer
635a0d1a-3635-526c-8ef7-3e755f2a4150	GEOMETRI	2020-2021-Apotemi-Tyt Ayt-Geometri Maestro Soru Bankası	48	A ve B noktalarında bulunan, AB = 200 olan boyunca 10 m/s hızı ile hareket eden iki nesnenin birbirine göre hız farkı kaç m/s'dir?	10	20	30	40	50	A
b1b47537-4940-5b85-b369-6648a54568c0	KIMYA	Bilgi Sarmal 2024 Tyt Kimya Soru Bankasi	149	"160'ar gram Ca(s) ve Br2(g) maddelerinin tam verimli tepkimesi sonucu 200 gram CaBr2 bileşiği oluşurken X gram Ca(s) metali artmaktadır.

Buna göre, tepkime sonucu artan Ca(s) metali kütlesi ""X"" kaç g"	80	100	120	130	140	C
41efea4a-0ef8-5891-ac74-36817761b158	MATEMATIK	2020-2021-ACİL-TYT Matematik Soru Bankası	119	Sayı doğrusunda verilen noktaların koordinatları sırasıyla hangi doğruya denk gelir?	74	75	76	77	78	A
ac7b00f2-d8ec-5983-9891-13cdfb50893f	MATEMATIK	ACİL-2025-Matematiğin İlacı Polinom	21	Polinomun genel formülesi P(x) = ax^2 + bx + c ise, aşağıdaki eşitliklerden hangisi polinomun x = 0 için değerini verir?	P(0) = 0	P(0) = a	P(0) = b	P(0) = c	P(0) = a + b + c	D
90481b04-86f6-5d8d-ab8c-6eedd5efc7e1	FIZIK	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	319	Bir üçgenin bir kenar uzunluğu 10 cm, diğer kenar uzunluğu 8 cm ve bu kenarların arasındaki açı 60° ise, üçgenin alanı kaç cm²'dir?	20	24	30	36	40	A
c8343387-47f1-5cc1-a6b3-779abb4f1204	MATEMATIK	Orijinal-2025-Tyt-Matematik Porblemler	179	1. Eski, Gelen ve Gelenlerin toplamı 100 olan bir dizi veriliyor. Bu dizideki her bir eleman, önceki elemanın 2 katı ve sonraki elemanın 3 katı olup, bu dizi 100'den büyük olmayan en büyük elemanı kaç	40	50	60	70	80	D
5a98ee3b-865e-56ed-8e50-daca61bd29a8	FIZIK	Krallar Karmasi Tyt Fizik 45 Deneme	65	Farklı türden iki doğru, bir doğru ve bir yanlış olan beş tane cümle verilmiştir. Bu cümlelerden hangileri doğru, hangileri yanlış?	1 doğru, 4 yanlış	2 doğru, 3 yanlış	3 doğru, 2 yanlış	4 doğru, 1 yanlış	5 doğru	B
3714a906-9886-5e52-8647-31039dac0180	TURKCE	Bilgi Sarmal  Tyt Türkce Soru Bankası	232	10. Bu cümlede manasını veren ifade hangisi doğru?	a) 10.000.000.000	b) 10.000.000.000.000	c) 1.000.000.000	d) 1.000.000.000.000	e) 10.000.000.000.000.000	B
056c1c5f-9fa1-5c02-bf80-3f8afca026ed	MATEMATIK	2023-2024-ACİL-TYT-Matematiğin İlacı	168	1998 yılında Rusya'da bir operasyon başarıyla sonuçlanmıştır. Bu operasyon hangi sayıya karşılık gelir?	2000	2010	2020	2030	2040	A
58cd4ea9-08ed-5fb4-bfc6-134ea3aee9b9	TARIH	Bilgi Sarmali Ayt Tarih Soru Bankasi 2021 2022	242	Aşağıdakiler hangisi bir perişanın davranışlarıdır?	Yüksek ses tonu kullanarak ses çıkarmak	Kadınlarla konuşmak	Farklı dillerde konuşmak	Sanki bir baba gibi davranmak	Rota belirtmek	C
ff7f8586-6826-5954-9921-e740d98ca253	FIZIK	345 2025 Ayt Fizik Soru Bankası	46	Bir çemberin çevresi 12 cm'dir. Bu çemberin yarıçapı kaç cm'dir?	3 cm	4 cm	5 cm	6 cm	7 cm	D
e8712643-0ab5-5e61-b6e5-b0b6faab7ce0	MATEMATIK	Esen 2025 Aps Ayt Matemat,k Soru Bankası	56	"Üstel ve Logarithmik Fonksiyonlar
Logaritmik Fonksiyon
log_{10} 100 = ?
A) 10
B) 2
C) 1
D) 0.1
E) 0.01"	10	2	1	0.1	0.01	B
3979f37e-f022-5976-8062-f95778a4e2ec	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	41	Ağustos 1000 mL'de serum aşısı geliştirildi. Bu aşının mikro hemşarplarının %7, %9 ve %12'ye göre dağıtılmış olup, %7'ye göre dağıtılan miktar 2200 mL'dir. %9'ya göre dağıtılan miktar kaç mL'dir?	400	450	500	550	600	C
d05ddd69-d12b-54c9-8b93-a7989fe5bfed	MATEMATIK	C1CELL-2025-Matematik Soru Bankası	209	"Dik koordinat düzleminde $f(x) = \log_2(x - 3)$ fonksiyonunun grafiği verilmiştir.

A noktası f fonksiyonu grafiği, B noktası ise hem x ekseni hem de f fonksiyonu grafiği üzerindedir.

OAB üçgeninin a"	7	11	19	35	67	B
c9412ffe-2109-59f5-ad66-61c18636d786	COGRAFYA	Esen Aps Cografya Soru Bankası	219	Aşağıdaki parçalardan hangisi 1965 yılından önceki bir dönemle ilgili?	Hammaddelerin tarihi birikimi	Görsel sanatların başlangıcı	Yazma kültürün başlangıcı	Yazma kültürünün sonu	Yazma kültürünün başlangıcı ve sonu	C
4245dcbf-7e32-55cb-bc89-2cae3cbb24f4	TURKCE	Edebiyat Sokagi Paragraf ileri Duzey	199	Gelişen teknolojinin medya üzerindeki etkisi ve yeni kitle iletişim araçlarının hız ve görünürlüğe plana çıkaran nitelikleri, yazılı mecralara hazırlanan röportaj yazılarını pek çok açıdan değişime uğ	Gazetecilik öğrencilerine röportajın önemi ve özellikleri yeterince anlatılmamaktadır.	Bir röportaj olduğu gibi değil düzenlendikten sonra yayınlanmalıdır.	Teknolojik gelişmeler, röportaj yazılığını da olumsuz etkilemektedir.	Röportajda bulunması gereken özelliklere yeterince önem verilmektedir.	Gazetecilik öğrencileri röportaj yayını konusunda gerekli özeni göstermemektedirler.	D
40493f2d-b56b-5bc0-8919-4d1b38b74bcc	KIMYA	Apotemi 2024 Ayt Kimya Soru Bankasi	260	Kıyaslanan iki fonksiyonun hangi özelliklerine sahip olabilir?	1. Eşitlik	2. Eşitlik ve ters fonksiyon	3. Eşitlik ve ters fonksiyon ve ters fonksiyonun tersi	4. Eşitlik ve ters fonksiyon ve ters fonksiyonun tersi ve ters fonksiyonun tersi	5. Eşitlik ve ters fonksiyon ve ters fonksiyonun tersi ve ters fonksiyonun tersi ve ters fonksiyonun tersi	A
91502bd1-c078-5188-8e01-4b973b3e9091	MATEMATIK	C1CELL-TYT-Matematik 12 Deneme Sınavı	54	"I. $(a-2)x + 4y = 6$
$6x + 8y = b - 3$
II. $a \cdot b \cdot x + a + b = mx + n$
Yukarıda verilen I no'lu denklem sistemi ve II no'lu denklemdeki her iki çözüm kümesi de sonsuz elemanlı olduğuna göre, "	95	87	80	75	60	B
11d94792-8e47-58a5-83a0-a53fb366fd1f	GEOMETRI	Orijinal-Tyt Ayt Geometri Soru Bankası	245	ABCD dikdörtgenin çevresi 20 cm, ABEF dikdörtgenin çevresi 16 cm. ABCD dikdörtgenin bir kenarı 4 cm ise, ABEF dikdörtgenin bir kenarı kaç cm?	2 cm	3 cm	4 cm	5 cm	6 cm	C
8f0fb2b8-4060-5c00-a0fd-85d8d9b89239	MATEMATIK	ACİL-2023-Matematik Deneme-8	35	"a, b ve c birer asal sayı olmak üzere,
$$8a + 4b + 5c = 314$$
olduğuna göre, a + b + c toplamı kaçtır?"	39	40	41	42	43	C
3ec083af-c12e-5081-85d3-011811de1c6d	MATEMATIK	Full Matematik-Tyt-Matematik Soru Bankası	148	Birbirinden farklı sayılarla kaplı 4 x 4 türkçe harflerinin bulunduğu bir tablo oluşturun. Bu tablo, her satırda ve her sütunda farklı harfler içermeli ve her harf sadece bir kez kullanılmalıdır.	Tablo oluşturamadım	Tablo oluşturabilirim	Tablo oluşturabilirim ancak her satırda ve her sütunda aynı harf tekrarlanabilir	Tablo oluşturabilirim ancak her satırda ve her sütunda farklı harfler içermeli	Tablo oluşturabilirim ancak her satırda ve her sütunda farklı harfler içermeli ve her harf sadece bir kez kullanılmalıdır	D
05c9a801-4994-5f6c-8b0e-933620ccfeee	MATEMATIK	Bilgi Sarmalı-2023-2024-Ayt-Matematik Soru Bankası	145	Sekildeki dikdörtgenin alanı kaç birimkaredir?	24	30	36	42	48	D
83f6835a-a007-5bc3-9e48-15c4395503cb	GEOMETRI	Bilgi Sarmalı-2023-2024-Tyt Ayt-Geometri Soru Bankası	315	ABCDEF dikdörtgenli bir yüzeyde, AEFB düzlemi, ABCD düzlemiyle açısı 60°. AC = 10 cm, AB = 6 cm, BC = 8 cm. AEFB düzlemiyle paralel olan düzlemdeki AEFB dikdörtgeninin alanı kaç cm²'dir?	48 cm²	60 cm²	72 cm²	80 cm²	96 cm²	D
