id,gemma3,qwen3,stored_key
cf95b7bc-5ac8-509a-b257-3159c56bc198,A,A,E
3f6bcb4d-d2fa-5a1d-88a9-daa6c782ca2a,C,B,D
42d995d1-1f62-58f3-b23d-f136fe3ce1a8,C,E,B
3545deec-ea1f-5ee5-9ad2-8f37ef52f42e,C,C,B
8cbf6269-f0b3-53fa-9e66-0db5b48da2b5,D,B,C
b564d2a9-6a67-57ad-a296-76074d4df4a3,D,C,B
3944644d-a365-5860-a96d-2712544e177e,A,C,B
f64eb563-1986-5b95-b2e9-b983a3de4bc9,C,C,E
d749f0dd-8cf0-53ea-8a46-af9081f3a924,B,A,E
a5d85df4-9a79-546e-b68f-02e3397bfa8c,D,D,C
16bb3fa3-1523-5fb5-891a-172c92c95f09,A,A,B
f11c91cc-5299-53f0-bfa1-704218e59d9e,D,E,A
51ce855c-c6b1-53b4-8079-9c9a0bea035a,D,E,C
872fa3e5-9917-5e98-9674-f90ba36cb511,D,D,A
b665718c-b9ef-5a66-8316-d0d1ef6a18e4,B,E,A
2c871394-74c4-5b0a-8dec-b340534f6ec4,C,D,B
5e1bc7e3-a3b2-5bcb-b4f8-280304606b97,B,B,A
8b6beefc-6da0-5f5a-951d-4a8acbb4914a,C,C,A
758d7bff-fa7f-5ec3-9d68-fec144fb88e0,D,E,C
86fdaabf-35b4-52a9-8035-142072aa0fee,D,D,E
a1e0dee3-95b2-569e-94da-230ba15dd893,C,A,B
35b1ab0e-85ae-597b-9006-929fccfffd63,D,B,E
ebecf18c-fd25-5905-a9a3-8302ad421db2,C,E,D
8a4923c2-fd5d-57a3-a0e4-f585d36d05c3,A,A,B
9842d894-365b-5506-beee-6f0eb32c38f8,B,E,D
94120517-b4b9-5a55-8b62-274e4c9cb5db,B,A,C
e829870c-6bde-5c13-a08b-7f5a7e6e8d4c,C,C,E
857ab03b-217b-5358-bc5a-ccf3ecff2ffd,B,B,A
333af378-a2ad-5d7b-ba89-b6540abfcd9e,E,E,A
1dd54e6a-55d3-55af-87b1-60a7d31f8f9b,E,B,C
