method	path	tag	operationId	body_tenant_hint
POST	/api/v1/berturk/motivation/assess	BERTurk NLP	assess_student_motivation_api_v1_berturk_motivation_assess_post	student_id
POST	/api/v1/billing/webhook	Billing	billing_webhook_api_v1_billing_webhook_post	user_id
POST	/api/v1/compliance/coppa/parental-consent	FERPA/COPPA Compliance	request_coppa_parental_consent_api_v1_compliance_coppa_parental_consent_post	child_id,parent_id
POST	/api/v1/compliance/ferpa/consent	FERPA/COPPA Compliance	request_ferpa_consent_api_v1_compliance_ferpa_consent_post	parent_id,student_id
POST	/api/v1/eba-tv/recommendations	EBA TV	get_eba_recommendations_api_v1_eba_tv_recommendations_post	student_id
POST	/api/v1/enhanced-chat/message	chat	send_message_api_v1_enhanced_chat_message_post	student_id
POST	/api/v1/enhanced-chat/stream	chat	stream_message_api_v1_enhanced_chat_stream_post	student_id
POST	/api/v1/irt-morfoloji/recommend-questions	IRT Morfoloji	recommend_questions_for_student_api_v1_irt_morfoloji_recommend_questions_post	student_id
POST	/api/v1/learning-path/adapt-path	Learning Path	adapt_learning_path_api_v1_learning_path_adapt_path_post	student_id
POST	/api/v1/learning-path/assess-knowledge	Learning Path	assess_knowledge_api_v1_learning_path_assess_knowledge_post	student_id
PUT	/api/v1/learning-path/completion/{student_id}	Learning Path	update_completion_status_api_v1_learning_path_completion__student_id__put	student_id
POST	/api/v1/learning-path/create-path	Learning Path	create_learning_path_api_v1_learning_path_create_path_post	student_id
POST	/api/v1/learning-path/quiz/{quiz_id}/submit	Learning Path	submit_quiz_api_v1_learning_path_quiz__quiz_id__submit_post	student_id
POST	/api/v1/learning-style/behavioral-data/{student_id}	Í­renme Stili	update_behavioral_data_api_v1_learning_style_behavioral_data__student_id__post	student_id
POST	/api/v1/learning-style/questionnaire/{student_id}	Í­renme Stili	submit_questionnaire_api_v1_learning_style_questionnaire__student_id__post	student_id
POST	/api/v1/live-sessions/{session_id}/chat	live-sessions	send_chat_message_api_v1_live_sessions__session_id__chat_post	recipient_id
POST	/api/v1/manipulatives/geogebra/activity	manipulatives	record_geogebra_activity_api_v1_manipulatives_geogebra_activity_post	user_id
POST	/api/v1/manipulatives/geometry/tool-usage	manipulatives	record_geometry_tool_usage_api_v1_manipulatives_geometry_tool_usage_post	user_id
POST	/api/v1/manipulatives/tangram/puzzle	manipulatives	record_tangram_puzzle_api_v1_manipulatives_tangram_puzzle_post	user_id
POST	/api/v1/math-solution-steps/check-answer	Math Solution Steps	check_answer_api_v1_math_solution_steps_check_answer_post	student_id
POST	/api/v1/moderation/actions	Moderation	create_action_api_v1_moderation_actions_post	target_user_id
POST	/api/v1/moderation/reports	Moderation	create_report_api_v1_moderation_reports_post	reported_user_id
POST	/api/v1/parent/notifications	parent	create_notification_api_v1_parent_notifications_post	child_id
