id	confidence	reasons	length_ratio	correct_answer	qtext_full	ocr_full	image_url
f8f386c4-fcd8-5ad0-b3de-86b982b6352b	high	broken_text_o	1.361	D	ABC ikizkenar üçgen $|AB| = |BC|$ $|AD| = |AC|$ $m(\widehat{DAC}) = 38^ ext{o}$ $m(\widehat{ABC}) = x$ Buna göre, $x$ kaç derecedir?	ABC ikizkenar üçgen |AB| = |BC| |AD| = |AC| m(DÂC) = 38° m(AÂBC) = x  Buna göre, x kaç derecedir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0014_q06.png
27ba6169-7ff2-57f7-95b8-61bafa097c17	high	broken_text_o	1.362	C	ABCD yamuk $[DC] \parallel [AB]$ $[AC] \perp [BC]$ $|AB| = 2|AD|$ $m(\widehat{DAB}) = 60^ ext{o}$ Yukarıda verilenlere göre, $m(\widehat{ABC})$ kaç derecedir?	12. ABCD yamuk [DC] // [AB] [AC] ⊥ [BC] |AB| = 2|AD| m(DÂB) = 60°  Yukarıda verilenlere göre, m(A͡BC) kaç derecedir?	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0215_q06.png
0e0acaf4-d8f0-59b2-b443-aec1af6d5012	high	broken_text_o	1.016	D	ABC üçgen $|AD| = |AB| = |BE|$ $m(\widehat{ABC}) = 80^ ext{o}$ $m(\widehat{ACB}) = 40^ ext{o}$ Buna göre, $x$ kaç derecedir?	7.  ABC üçgen |AD| = |AB| = |BE| m(A$\hat{B}$C) = 80° m(A$\hat{C}$B) = 40° m(D$\hat{E}$B) = x  Buna göre, x kaç derecedir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0018_q01.png
5edc9313-b6b1-535f-9f75-1444db49a852	high	italic_i_segment	1.092	D	ABCD ikizkenar yamuk, $DE \perp AB$, $|AD|=|BC|$, $|DF|=17$ birim, $|DE|=8$ birim, $A(ABCD)=160 \text{ br}^2$. Buna göre, $|FBI|$ kaç birimdir?	ABCD ikizkenar yamuk, DE $\perp$ AB, |AD| = |BC|  |DF| = 17 birim, |DE| = 8 birim, A(ABCD) = 160 br²  Buna göre, |FB| kaç birimdir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0164_q03.png
5460ac0d-ab0c-5503-af63-c3f229dd3ab4	high	italic_i_segment	1.112	C	ABC üçgen $|IFE| = |EDI|$ $|AF| = |AD|$ $|EC| = 3$ birim $|BE| = 4$ birim Çevre$(ABC) = 21$ birim Buna göre, $|AB|$ kaç birimdir?	ABC üçgen |FE| = |ED| |AF| = |AD| |EC| = 3 birim |BE| = 4 birim Çevre(ABC) = 21 birim  Buna göre, |AB| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0156_q04.png
501db30e-3459-5656-9dab-b4195e26943e	high	italic_i_segment	1.265	E	ABCD eşkenar dörtgen, $[DH] \perp [AB]$, $|DH|=8$ cm, $|DI|=8$ cm, $|EC|=7$ cm. Yukarıda verilenlere göre, Alan($\Delta DEC$) kaç $\text{cm}^2$ dir?	ABCD eşkenar dörtgen [DH] ⊥ [AB] |DH| = 8 cm |EC| = 7 cm  Yukarıda verilenlere göre, Alan(\widehat{DEC}) kaç cm² dir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0198_q01.png
29606c61-74f0-5973-8bd4-0ca28179bfcd	high	broken_text_o	0.994	B	ABC ikizkenar üçgen, $|AB|=|AC|$, $m(\widehat{BAC})>60^ ext{o}$. Buna göre, I. $|a-b|-|c-a|=0$'dır. II. $|b-c|+|a-b|=b$'dir. III. $c<a<2c$ ifadelerinden hangileri doğrudur?	ABC ikizkenar üçgen, |AB| = |AC| m(BAC) > 60°  Buna göre, I. |a - b| - |c - a| = 0'dır. II. |b + c - a| + |a - b| = b'dir. III. c < a < 2c  ifadelerinden hangileri doğrudur?	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0172_q05.png
26e765c6-d385-582a-b498-7a09b92ebf3c	high	italic_i_segment	1.082	C	ABCD kare $DG \perp CF$ $|DE| = 4\sqrt{2}$ birim $|EG| = \sqrt{2}$ birim Buna göre, $|EFI|$ kaç birimdir?	ABCD kare DG ⊥ CF |DE| = $4\sqrt{2}$ birim |EG| = $\sqrt{2}$ birim  Buna göre, |EF| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0148_q06.png
d04dee2b-f6dc-53a0-a802-02baa50f6f0a	high	broken_text_o	1.375	E	ABC ikizkenar üçgen $|AC| = |CB|$ $DC \perp CB$ $m(\widehat{BDC}) = 50^ ext{o}$ $m(\widehat{DCA}) = x$ Buna göre, $x$ kaç derecedir?	9.  ABC ikizkenar üçgen |AC| = |CB| DC ⊥ CB m(BDC) = 50° m(DCA) = x  Buna göre, x kaç derecedir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0020_q06.png
1cefdc7c-d587-5485-ad9c-c9cfb29168f8	high	italic_i_segment	1.169	B	ABCD kare, $[EC] \perp [BF]$, $|IF| = 3$ cm, $|EFI| = 1$ cm olduğuna göre, $|DC| = x$ kaç santimetredir?	ABCD kare [EC] ⊥ [BF] |FC| = 3 cm |EF| = 1 cm  olduğuna göre, |DC| = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0257_q08.png
