id,subject,db_key,gemma3
0928e1d9-0914-5864-8902-e9b211ba9df4,KIMYA,E,D
81825587-3c93-5421-960b-91070d1b4a8c,FIZIK,C,B
9f017ef3-0feb-530b-a229-276acf4cdc16,KIMYA,D,C
a3254ab9-5ee9-585b-8940-f74414299c31,TARIH,B,C
0b197a53-c008-5e95-902c-b89d5c4413d9,KIMYA,D,C
1fcdfd23-20ad-5d43-9230-8dab969a387d,KIMYA,C,A
9b8f3b56-65b4-52ab-abaf-10cde615e08d,FIZIK,C,B
c09264ca-901f-50d6-b731-482e034261f4,KIMYA,C,E
60548170-c5c5-5fb6-8eb6-42734e0a9f85,EDEBIYAT,A,C
5ba5869b-3aea-5817-b827-5f60bef0600b,KIMYA,D,C
27dd7d04-fa81-5c18-a498-2475fb408aad,FIZIK,C,D
77d4757a-1eb6-574a-8107-673da96336ff,KIMYA,E,C
5e787828-defc-56cc-b710-15cbd32977b7,BIYOLOJI,E,C
23c7d6e7-db6f-505d-b85c-bdced7c60c8b,KIMYA,E,B
c9874082-f26d-5ba9-8254-0fc7c8ba770d,KIMYA,E,D
bf10753e-1c3f-5626-a8c6-8387d6f7d442,FIZIK,A,D
54a6505f-0792-5341-aa01-f415cccebf4a,TURKCE,A,D
82fc4d99-37cb-54c3-bda8-84f55b552076,FIZIK,B,D
fe3b5408-5535-549c-b451-90e9762e5ac2,FIZIK,E,D
5f4d34ba-4d7e-5339-b783-f8e50a7528a5,KIMYA,D,C
dc358ab2-2295-5c0c-98df-c50fca4d9f23,KIMYA,B,C
ac987b7c-7b4d-5ea4-858c-25b5239af292,KIMYA,D,B
aa188ab4-46a3-5338-8278-1270d0fd9830,EDEBIYAT,B,A
887f4406-5c75-55d3-aa6d-9aec2188e75f,COGRAFYA,C,B
530fcd84-a856-5cc4-86cc-6488384bda60,BIYOLOJI,D,C
f133e1fc-c57c-5272-a079-664bd55be333,KIMYA,A,D
95ec7dee-5414-537e-9386-a00a9af5348e,COGRAFYA,C,B
a666e300-56fc-5edf-b39a-e5ba6e50e909,FIZIK,D,C
83b9af4e-8f04-50e7-a096-bc124ffd60bb,BIYOLOJI,B,A
fe5555e3-908c-549e-a358-4b1678e2da32,BIYOLOJI,E,D
155b19ac-7f91-5b99-b6d9-8c75caf4fc36,TARIH,C,D
85fd40c5-3f5d-59ec-850e-41d1363d6649,BIYOLOJI,D,E
4226957a-18cb-5bbb-9d0f-d6057e22fac0,TARIH,C,D
0c435ec9-27e7-5333-b8d8-c65bff3d03dd,TURKCE,A,B
5e78da07-f3be-5eb7-bd50-7601184cfbd4,TARIH,A,D
53f263f7-3d31-512e-9782-d2228f722bfa,TURKCE,C,B
3752b84c-5a63-5c27-a9c8-1f41bdf957ea,KIMYA,C,B
0d20d1d7-3fe7-5d9c-b4f5-1b46604c2459,TURKCE,E,C
56aa3dff-0f2c-5fc0-a4d4-f166e115c851,EDEBIYAT,E,A
b0f9c872-3746-5993-aa11-5035c63a8dd6,BIYOLOJI,A,C
23a171ad-af84-538a-9f21-27520818ad29,KIMYA,D,B
a214b7b8-9933-5f5f-8dbe-b13a4eeb64e9,KIMYA,E,C
ca6ee118-b7a5-55e3-b49b-eec6621942bc,FIZIK,E,B
8da315e9-3767-5bdc-bd93-f9b72723bd70,KIMYA,C,B
98d893fd-b823-5773-8b56-11fdd6296c27,FIZIK,E,C
1a5669d1-ce0e-5859-8bb1-7696ee8fd453,KIMYA,B,A
860f1293-069a-5440-bc73-4f674abde456,BIYOLOJI,D,C
add43575-4d90-50e8-9004-311bbf62360d,FIZIK,D,E
33503ead-31a9-5b0e-a8bc-a1e9fd0f931c,KIMYA,D,B
7f7a0634-51ff-5555-b376-dd546d2d7a6f,KIMYA,D,B
573c571d-e02e-5206-a1f9-e707db390207,KIMYA,D,C
7258c5fa-d697-5e21-9c84-a4b134542292,TURKCE,D,E
beeac414-dfda-55f3-a73d-03be70a93561,FIZIK,E,A
8c78227d-2420-5488-9187-c0263d518b72,KIMYA,C,D
e00432bc-b008-56d8-9099-3f39311be225,KIMYA,A,B
6eec73ed-3600-5fc3-9efb-7f268ae5cc1f,EDEBIYAT,C,B
3fd533ad-ff9b-57e6-986e-932a72a0a055,TURKCE,C,B
352a8781-c0c0-5b58-b07c-55169300f3d8,TURKCE,E,D
2677df25-436f-560b-b27b-00b7f474128b,KIMYA,C,B
7f7fb942-bcb3-5bc2-b768-49949e05cfa0,FIZIK,B,C
