id,subject_area,q,oa,ob,oc,od,oe,key
9dadc241-07e8-56e5-a05b-f90404fcbb55,BIYOLOJI,"Bir bitkinin bütün canlı hücrelerinde
I. organik besinlerin kullanılmasıyla enerji üretilmesi,
II. besin monomerlerinden organik polimer sentezlenmesi,
III. inorganik maddelerden organik monomer sentezlenmesi
olaylarından hangileri ortak olarak gerçekleşmez?",Yalnız I,Yalnız II,Yalnız III,I ve III,II ve III,C
06f6300a-65c9-5965-9333-6ffd38d33b06,MATEMATIK,"$\sin2x-\cos x-\sin x=0$ denkleminin $[0, 2\pi]$ aralığındaki köklerinin toplamı kaç radyandır?",$2\pi$,$3\pi$,$4\pi$,$5\pi$,$6\pi$,B
106eb612-486e-5498-8979-00a8afd5c97b,MATEMATIK,"$x^2-4x+m-2=0$ denkleminin diskriminantı $-12$ olduğuna göre, $m$ değeri kaçtır?",5,7,9,3,4,D
fb428d85-045f-5a8c-bf84-3e3ccce51cf1,MATEMATIK,"$0 < x \le \pi$ olmak üzere, $\sin2x + \sqrt{3}\cos2x = 1$ eşitliğini sağlayan $x$ değerleri toplamı kaçtır?",$\frac{3\pi}{2}$,$\frac{7\pi}{6}$,$\pi$,$\frac{5\pi}{6}$,$\frac{2\pi}{3}$,E
b7794c06-55c3-5bc9-8621-d090ef01410c,MATEMATIK,"Ömer ve dedesi arasında aşağıdaki konuşma geçmiştir.
Ömer: 2030 yılında senin yaşın benim yaşımın 6 katı olacak.
Dede: 2022 yılında benim yaşım, senin yaşının 14 katıydı.
Buna göre, Ömer hangi yıl doğmuştur?",2014,2015,2016,2017,2018,E
602081f9-f022-5c6a-989c-54a2cd69e19e,MATEMATIK,"$x^2 < x$ olduğuna göre, $\frac{6x-1}{2}$ ifadesinin alabileceği kaç farklı tam sayı değeri vardır?",1,2,3,4,5,B
d992d174-7528-5b32-a3a2-868714117d0a,MATEMATIK,"Üç basamaklı $abc$ sayısı; kendi rakamları kullanılarak yazılabilecek rakamları farklı tüm iki basamaklı sayıların toplamına eşit ise $abc$ sayısına ""kalem sayısı"" denir.
Buna göre,
I. $132$
II. $198$
III. $264$
sayılarından hangisi ya da hangileri kalem sayısıdır?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III",B
d7c45c4f-376b-55b0-b0ff-bb936a3f5c96,MATEMATIK,"$a, b, c$ birbirinden ve sıfırdan farklı rakamlardır. $ \frac{(a-x)^a \cdot (b-x)^b}{(c-x)^c} \le 0 $ eşitsizliğinin çözüm kümesi $ (- \infty, 3] \cup \{6\} $ olduğuna göre, $a-b+c$ toplamı en az kaçtır?",0,1,3,4,5,E
44905b70-b4b7-5c5d-8099-48142cf9c160,MATEMATIK,"Ardışık yedi tek sayının en büyüğü, ortancanın $B$ eksiğinin $3$ katına eşittir.
Buna göre, en küçük sayı kaçtır?",9,11,17,19,21,A
29f682f0-2008-57ed-a84e-76390af8e2e5,MATEMATIK,8 elemanlı bir kümenin 2 elemanlı alt küme sayısı kaçtır?,20,22,24,26,28,E
a3298a8a-0e55-566d-8192-0e773e3ad4c9,COGRAFYA,"Göllerin oluşumları birbirinden farklıdır. Örneğin; Tuz Gölü'nün oluşumu ile Tortum Gölü'nün oluşumu aynı değildir. Buna göre, aşağıdaki göllerin hangilerinde de aynı durum yaşanmaktadır?",Abant - Tortum,Tuz - Hazar,Uzunöl - Beyşehir,Ulubat - İznik,Büyük Çekmece - Terkos,A
66b46d7f-c9cc-5435-9878-ca28a5101df1,EDEBIYAT,"(I) Namık Kemal, Türk şiirini halk şiirinin etkisinden kurtarmaya çalışmıştır. (II) İlk şiirlerinde divan ve tasavvuf edebiyatı etkileri görülen sanatçının şiir anlayışı Şinasi ile tanıştıktan sonra değişmiştir. (III) Divan şiiri nazım şekillerini kullanarak yeni ve toplumsal temaları işlemiştir. (IV) ""Vatan Şairi"" olarak şöhret bulan sanatçı, birçok sosyal kavramı Türk şiirine taşımıştır. (V) Vaveyla, Hürriyet Kasidesi sanatçının şiirlerinden bazılarıdır.
Bu parçada numaralanmış cümlelerin hangisinde bilgi yanlışı vardır?",V,IV,III,II,I,E
2dcbca16-f9ae-5202-8d3f-4499d0617bd6,MATEMATIK,"$(a_n)$ ve $(b_n)$ dizilerinin genel terimleri, $(a_n) = (n^2)$, $(b_n) = (4n + 4)$ olarak veriliyor. Buna göre, $a_{10} + b_{10}$ toplamını bölen kaç doğal sayı vardır?",9,16,25,36,64,C
9bd03332-cd95-58e0-b306-b6ab7aefd67c,MATEMATIK,"Aşağıdaki 3 soruyu verilen $P(x)$ polinomuna göre çözünüz.
$a$ ve $b$ birer doğal sayı olmak üzere
$P(x) = 2x^4 + ax^3 - x^2 + bx + 3$
polinomu veriliyor.
Buna göre, $P(x)$ polinomunun
1. Sabit terimi kaçtır?
2. Katsayılar toplamı kaçtır?
3. $(x+1)$ ile bölümünden kalan kaçtır?","1) 2, 2) 7, 3) -7","1) 3, 2) 6, 3) -5","1) 2, 2) 4, 3) -4","1) 1, 2) 3, 3) -3","1) 0, 2) 1, 3) -2",B
c71ed756-9d81-5e21-abe0-459795dfeeaf,MATEMATIK,"$a$ ve $b$ gerçel sayıları için $3^a = 7^b$ ve $3^b = 49^a$ eşitliği veriliyor. Buna göre, $\frac{18^a}{2^b}$ oranının değeri kaçtır?",2,1,$\frac{1}{2}$,$\frac{1}{4}$,$\frac{1}{8}$,B
bcace6d7-137f-5e40-90a7-746312b42feb,MATEMATIK,"Bir tekstil fabrikasının dikim bölümünde çalışan 6 işçinin her biri günde 8 gömlek dikmektedir. 1440 gömlek siparişi alan fabrikada işçiler işe başladıktan 5 gün sonra 1 işçi salgın hastalıktan dolayı işe ara veriyor ve diğer 4 işçi 10 gün boyunca çalıştıktan sonra hasta olan işçiler işlerine geri dönüyorlar.

Siparişin vaktinde teslim edilebilmesi için bundan sonra 1 işçinin günde kaç adet gömlek dikmesi gerekmektedir?",8,9,10,12,15,D
ce0cb14e-1b97-5419-a88e-50bbda5bad41,FIZIK,"Altay; içinde su bulunan yatay zemindeki bir kaba hacimleri birbirine eşit, her biri içi dolu küre şeklindeki alüminyum, demir ve tahtadan yapılmış üç topu bıraktığında ilk ikisinin batarken tahtanın yüzdüğünü gözlemliyor.
Demirin özkütlesi alüminyumun özkütlesinden büyük olduğuna göre;
I. Demir ve alüminyum topa, suyun uyguladığı kaldırma kuvveti eşit büyüklüktedir.
II. Tahta topa, ağırlığına eşit büyüklükte kaldırma kuvveti etki eder.
III. Tahta top diğerlerinden daha fazla hacimde suyun yerini değiştirir.
yargılarından hangileri doğrudur?",Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III,D
cac394ab-709d-563f-9f16-4a7bb2e6c41e,KIMYA,Aşağıda katman elektron dağılımları verilen atomlardan hangisinin elektronegatiflik değeri en büyüktür?,X: 2) 8) 7),Y: 2) 8),Z: 2) 8) 1),T: 2) 8) 5),L: 2) 8) 6),A
9f9e0b93-bdd7-534f-bc3d-41f992ea585c,TURKCE,"Ülkemizin en önemli ilçelerinden olan Didim'de Dünya Çevre Günü'nde sıfır atık projesi kapsamında farkındalık çalışması için kıyı ve deniz temizleme çalışmaları esnasında toplanan pet şişeler, bir sanat eserine dönüştürüldü. Denizden toplanan 2 binden fazla pet şişe ile yapılan Şirinler Heykeli, Dünya Çevre Günü'nde plastik kirliliği sorununa dikkat çekme amacıyla oluşturuldu ve bu amacına ulaştı. Didim'de heykel ve seramik atölyeleri tarafından yapılan çizgi film karakterleri Şirinler Heykeli, özellikle çocuklar ve Didim halkı tarafından ilgi gördü. Ayrıca Altınkum plajında sergilenen Şirinler Heykeli'nin yanı sıra geri dönüşüm temalı bir etkinliğe de yer verildi.
I. Çevreyi önemseme
II. Turist sayısını artırma
III. Sıfır atık projesine dikkat çekme
IV. Çocukları sevindirme
Bu parçada Şirinler Heykeli'nin yapılmasının yukarıdakilerden hangisi ile bağlantısıdan söz edilmemiştir?",Yalnız I,Yalnız II,I ve III,II ve IV,"I, II ve IV",B
8aca091a-1019-59a1-9ecf-f21912889a6c,MATEMATIK,"$P(x)$ ve $Q(x)$ birer polinom olmak üzere, $P(2x+1)=x \cdot Q(x^2+x)-3x^2+6x-1$ eşitliği veriliyor. $Q(x)$ polinomunun $(x-2)$ ile bölümünden kalan 3 olduğuna göre $P(x+2)$ polinomunun $(x-1)$ ile bölümünden kalan kaçtır?",1,3,5,7,12,A
48e924f9-9a43-5be7-bdc0-4cbeecc5b06e,FIZIK,Manyetizma ve mıknatıslarla ilgili aşağıda verilen bilgilerden hangisi doğrudur?,Manyetik alan çizgileri sadece mıknatısın dışında vardır.,Bir mıknatısın manyetik kutupları birbirinden bağımsız var olabilir.,Manyetik alan çizgileri iki boyutlu düzlemde bulunur.,Mıknatıslar bütün metalleri çeker.,Manyetik alan çizgileri başlangıcı ve sonu olmayan kapalı eğriler şeklindedir.,E
7bc7e1f2-f899-59e2-87d1-00290d126045,MATEMATIK,"$f(x) = x^2 - 2x$ ve $g(x) = x+3$ fonksiyonları veriliyor. Buna göre, $(f \circ g)(x) < 8$ eşitsizliğini sağlayan kaç tam sayı değeri vardır?",4,5,7,3,6,B
01b12904-f93d-52da-a614-d47a9437335b,MATEMATIK,Kakao oranı %16 olan kakao süt karışımının $\frac{1}{4}$'ü dökülerek yerine aynı miktarda süt konuluyor. Yeni karışımın kakao oranı yüzde kaç olur?,%12,%10,%9,%8,%6,A
9e6bb95f-c16f-5d1e-a928-ef6ffcc077f2,MATEMATIK,"$P(x)$ bir polinom olmak üzere, $P(x) = P(x+2) + P(2x)$ eşitliği veriliyor. Buna göre $P(4)$ değeri kaç olabilir?",7,8,10,12,15,A
89ccea47-3f7e-5a5a-be3a-a3f18894e193,MATEMATIK,"$g(x) = 3x - 4$ ve $(gof)(x) = 6x - 10$ fonksiyonları veriliyor. Buna göre, $f(x)$ aşağıdakilerden hangisine eşittir?",$2x - 3$,$2x - 2$,$2x - 1$,$2x + 1$,$2x + 2$,B
aa17a566-d566-522e-8c36-5daf5dbd112c,MATEMATIK,"$x^2-(m+1)x+5-m=0$ denkleminin kökleri $x_1$ ve $x_2$'dir. $x_1^2+x_2^2=29$ olduğuna göre, $m$'nin alabileceği değerler toplamı kaçtır?",-6,-10,-12,6,12,B
