id,gemma3,qwen3,stored
0146d685-6567-5577-8d8d-540fd63dbff7,B,B,A
03157c41-971e-5166-8a9a-e41b0c3355ac,D,D,A
04893e6e-c1da-559c-abff-29c6e15eb077,C,C,E
06741fc4-0b0c-5a75-8ed8-3c0799e46b1c,E,E,A
06b1af1a-1a45-5c97-9e83-6c4a97357063,B,B,C
0734d6e1-3f22-5be0-86f6-bb63e019459d,C,C,B
07a4dbee-87b9-54af-9562-5aec3d2f468d,A,A,E
0980f3dd-74a9-542a-b282-a7ef0778d0c7,B,B,A
0a9fddd2-e098-5b35-8f93-f1bcdaebc427,B,B,D
0b495726-817b-5377-8f07-649acacb92b1,E,E,C
0bc870fc-69c1-5af2-8f20-1c28a6bf22ed,E,E,A
0c4e887e-b0df-549e-96ec-de61591d6639,A,A,C
0c918184-430a-5fa3-bd7a-b481aa9ffb40,D,D,B
0d05e127-bfc1-5f43-8e39-3ddbf646cdc4,A,A,B
0d866f7a-be21-558d-9f66-228a0d548602,B,B,A
0e2f2476-7555-5547-8a71-b6074b109fac,B,B,E
0f41699a-a877-575d-bab2-0ab6dc850850,B,B,A
111a0a82-ab91-56d2-8194-c076ff3ee029,B,B,A
116bf107-e8bc-55c2-b9df-d381e4a49da2,C,C,D
11a23fa6-997e-56c8-9c28-af4889c84d09,D,D,B
11dfca64-96a5-59d7-8d8a-72e176fcf1d7,E,E,D
1458e6ac-6259-5ea4-bdc5-a3c2b369fcf9,C,C,A
16bb3fa3-1523-5fb5-891a-172c92c95f09,A,A,B
1763703b-b810-5a9c-9607-e1e1ac0292dc,E,E,D
19ba5570-347f-5fb8-8121-550fc2a29bc3,C,C,E
1c688066-5b6b-5df5-b4b8-5f7ba8050c23,B,B,D
1c8775f4-2808-533f-9464-9e658c2e6b7d,C,C,A
1ccff20f-183b-5aec-86c1-28cb5610cd02,A,A,C
1cfc2d41-d7db-511b-a38c-e57cb80868fb,C,C,B
1d9b1b73-2dd0-5871-a488-5f888a7f6489,D,D,C
22f22b79-5cd5-532e-b174-af6e813aacd7,D,D,E
23cdfadf-952b-5032-b174-ac4addacdb9c,B,B,A
25ffb599-9706-58c2-9e83-c6cd586f4170,A,A,B
26305f9d-580e-5f52-9bbd-79ef53b9ba8e,C,C,D
2657bb69-bbfe-5188-98c2-e7761297a045,B,B,D
26a3c840-813f-598f-bf0e-468ba686dc33,D,D,E
26edc9d0-943e-530a-9dee-f88d930f7391,B,B,A
28472027-81bc-5376-9cfd-91ee24f31549,D,D,A
2bb8d6df-79fc-5725-acd7-1f5e986ada9f,C,C,B
2d390e69-18d5-5f6d-9cfe-56c3d9003efa,C,C,B
2d3b7949-0645-535c-b7f9-5fcee4b6a001,B,B,A
333af378-a2ad-5d7b-ba89-b6540abfcd9e,E,E,A
3545deec-ea1f-5ee5-9ad2-8f37ef52f42e,C,C,B
359a41eb-734e-5240-9f83-f39cabb21e14,A,A,B
