id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	reject_rule	match_tier	verdict	error_type	notes
bf43b1c4-68e3-53d4-bce7-851359f95580	EDEBIYAT	Krallar Karmasi Ayt 2024 Edebiyat Brans Denemesi-4	13	9 Şubat 1934'te oluşturulan Balkan Antantı'nda aşağıdaki ülkelerden hangisi yer almamıştır?	İtalya	Türkiye	Romanya	Yunanistan	Yugoslavya	A	/static/crops/Krallar_Karmasi_Ayt_2024_Edebiyat_Brans_Denemesi-4/Krallar_Karmasi_Ayt_2024_Edebiyat_Brans_Denemesi-4_p0013_q03.png	R1_legacy_v3		pass	false_negative	claude-text-faz-6-6: Balkan Antantı sorusu well-formed; EDEBIYAT tag yanlış (içerik TARIH) ama R1 mass reject yine de yanlış
b92d8898-7f40-5d24-bcf1-3edf9d8fd474	MATEMATIK	2022-Apotemi-Turev	67	Soru: Aşağıdaki ifadelerden hangisi x > 0 ve y > 0 olmak üzere x + y = 10 eşitliğinden hangisini elde eder?	x^2 + y^2 = 100	xy = 25	x^2 - y^2 = 100	x^2 + y^2 = 50	xy = 50	B		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: x+y=10 tek kısıt ile x²+y² belirsiz; soru ifadesi eksik
70906336-53c5-5ff3-9356-96f32c0ebb21	TARIH	Esen Tyt Tarih Soru Bankası	251	1. Osmanlı Devleti 19. yüzyıl sonlarında ve 20. yüzyıl başında ekonomik sorunlar nedeniyle iç ve dış borçları karşılamakta zorluk yaşıyor. Bu dönemde Osmanlı Devleti'nin borcu ve dış borçları ile ilgili aşağıdaki bilgilerden hangisi doğru olabilir?	Borcu ve dış borçları birlikte 10 milyar var.	Borcu ve dış borçları birlikte 20 milyon var.	Borcu ve dış borçları birlikte 100 milyon var.	Borcu ve dış borçları birlikte 200 milyon var.	Borcu ve dış borçları birlikte 1000 milyon var.	D		R1_legacy_v3		pass	false_negative	claude-text-faz-6-6: Osmanlı borçlar TARIH; well-formed, '1.' OCR prefix
7f344fd9-99f3-567e-b140-c38407442616	EDEBIYAT	Bilgi Sarmal Ayt Edebiyat Soru Bankası 2024	49	1. Bu parçayı aşağıdaki metinlerden hangisinin denemesi?	10 Arı	10 Kız	10 Erkek	10 Çocuk	10 Mucizeli	A		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: Soru kalıbı eksik, options '10 Arı' anlamsız
f19d0476-6059-5901-bfae-c4420a2e4e06	MATEMATIK	2020-2021-ACİL-AYT Matematik Soru Bankası	204	f(x) = x^2 + 2x + 1 fonksiyonunun grafiğinin simetriği hangisidir?	f(x) = x^2 - 2x + 1	f(x) = x^2 + 2x - 1	f(x) = x^2 - 2x - 1	f(x) = x^2 + 2x + 2	f(x) = x^2 - 2x + 2	A		R1_legacy_v3		unclear	ambiguous_text	claude-text-faz-6-6: Simetrik ekseni belirsiz; (x+1)²→(-x+1)²=A doğru ama soru eksik
c6eb2b96-8028-503d-bd05-dca404c86c9d	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	54	Bu soru, bir hesaplamada yanlış sonuç veren bir sorudur. Hesaplamada yanlış sonuç veren ifadeyi seçin.	a + b = c	a - b = c	a * b = c	a / b = c	a ^ b = c	A		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: Meta-text 'yanlış sonuç veren soru' garbage
e468b89d-6f09-50ce-b01b-2eeeb57efee4	KIMYA	Bilgi Sarmal 2024 Tyt Kimya Soru Bankasi	255	1. O2 ve H2S gazların ağırlıkları eşit olan 200 mL hacimli iki şişe içinde eşit basınçta ve temperatura koşullarında bulunan gazların hangi gazının daha fazla molekülden oluştuğunu belirleyiniz?	O2	H2S	Eşit	Bilinmiyor	Verilen bilgilere göre yeterli bilgi yok	A		R1_legacy_v3		pass	false_negative	claude-text-faz-6-6: O2/H2S mol karşılaştırma; eşit ağırlık→daha küçük M daha fazla mol=O2(A); doğru
96a0304f-06e6-5b92-9cef-8f7da9ee44d9	MATEMATIK	2023-2024-ACİL-TYT Matematik Soru Bankası	107	a + b = c ve a - b = d ise, a ve b nin toplamı kaçtır?	a + b	a - b	a + c	a - c	a + d	A		R1_legacy_v3		fail	low_quality	claude-text-faz-6-6: a+b=c, a-b=d, a+b? trivial; gerçek YKS değil
d110df81-de36-5869-b50d-51a5f7eaa9d8	GEOMETRI	Bilgi Sarmalı-2023-2024-Tyt Ayt-Geometri Soru Bankası	297	Bir bölgelerin alanı 204 cm² dir. Bu bölgelerin her birinin alanı 10 cm² olduğuna göre, bu bölgelerin sayısı kaçtır?	20	21	22	23	24	B		R1_legacy_v3		fail	wrong_answer	claude-text-faz-6-6: 204/10=20.4 tam sayı değil; cevap mantıksız
2afe1f46-f6d5-559e-8cbd-cfd7b86abb64	KIMYA	Aktif Ogrenme Ayt Kimya 2019 2020	285	Tüketici elektrik enerjisi hangi zaman diliminde en fazla tüketmiştir?	1. Haziran	2. Temmuz	3. Ağustos	4. Eylül	5. Ekim	C		R1_legacy_v3		unclear	wrong_topic	claude-text-faz-6-6: KIMYA tag elektrik tüketim grafik = wrong_topic + image-bound
a8e7733b-79e3-5b69-aa19-df15131afb30	KIMYA	Bilgi Sarmal 2024 Ayt Kimya Sopru Bankasi	114	10. Derece polinomun grafikleri aşağıdaki gibidir. Bu grafiklerin hangisinde polinomun kökleri en fazla 3'tür?	Şekil 1	Şekil 2	Şekil 3	Şekil 4	Şekil 5	B		R1_legacy_v3		fail	wrong_topic	claude-text-faz-6-6: KIMYA tag polinom grafik = MATEMATIK content; wrong_topic
ac60eb37-8f8b-5fc9-92c9-6fc1ed9767cf	GENEL	2019-2020-ACİL-TYT-Soru Bankası	244	Aşağıda verilen grafiklerden hangisi doğrudan doğruya birbirine bağlıdır?	Şekil 1	Şekil 2	Şekil 3	Şekil 4	Şekil 5	E		R1_legacy_v3		unclear	needs_image	claude-text-faz-6-6: GENEL grafik image-bound
ee7c124a-e0ac-5e9b-bcac-257a6314a4eb	TURKCE	Edebiyat Sokagi Paragraf ileri Duzey	74	"Annem 1910'da Selanik'te doğmuş. Henüz bir buçuk yaşında bir bebekken annesi ve kardeşleriyle birlikte Anadolu'ya göçlüğünde, Balkan bozgununun ardından. Ne selası hatırları ne de göçü. Kimse bana ne savaştan söz etti, ne göçten. Üç yıl önce ilk kez Yunanistan'a gittiğimde annem çoktan ölmüştü. Atina-Selanik yolunda hiç beklediğim, ilginç ve garip bir duyarsızlık sarmalamış beni. Yıllar önce yitirilmiş bir sevgiyle bu luşmaya gidiyorum sanki. Ve Selanik'e vardığımda ağlıyorum... Her şey o kadar tanıdık, bildik, öylesine yakındı ki deniz, rüzgârlı kokusu, liman, martılar, kordon boyu ve Sinan'ın eserleri, beyaz kule... Hüzünlü neşe ve sevgi verdi, acılayıp ağlama isteği. Anladım ki Anadolu'dan göç etmiş Rumların torunları Türkiye'ye gelip ailelerinin köylerini kasabalarını ziyaret ettiklerinde belgesel duygulara kapılıyorlar.

Bu parçanın anlatımıyla ilgili aşağıdakilerden hangisi söylenemez?"	Kişileştirmeye yer verilmiştir.	Birinci kişi anlatım kullanılmıştır.	Karşılaştırmadan yararlanılmıştır.	Benzetmeye başvurulmuştur.	Örnekleme başvurulmuştur.	C	/static/crops/Edebiyat_Sokagi_Paragraf_ileri_Duzey/Edebiyat_Sokagi_Paragraf_ileri_Duzey_p0074_q04.png	R1_legacy_v3	ai_crop_solve	unclear	solution_leak_suspect	claude-text-faz-6-6: Edebiyat Sokagi paragraph well-formed ama solution leak risk
6946b31e-633a-5e27-9acf-5367e8bd5781	KIMYA	345 2025 Ayt Kimya Soru Bankası	331	"Yukarıda verilen tepkimeye göre oluşan kevlar polimeri; darbelerle uzamaya ve ısıya karşı çok dayanıklıdır.

Buna göre, kevlara ile ilgili,

I. Paraşüt ipleri yapımında kullanılabilir.
II. Kurşun geçirmez yelek yapımında kullanılabilir.
III. Yanmaz kıyafet yapımında kullanılabilir.

yorumlarından hangileri doğrudur?"	Yalnız I	Yalnız II	I, II ve III	I ve II	II ve III	C	/static/crops/345_2025_Ayt_Kimya_Soru_Bankası/345_2025_Ayt_Kimya_Soru_Bankası_p0331_q01.png	R1_legacy_v3	tier1b_position_page_inline	pass	false_negative	claude-text-faz-6-6: Kevlar polimer well-formed YKS soru; pool C=I,II,III doğru
92c98b7b-e24e-5050-b121-4b099406b0d4	TURKCE	Aromat Paragraf Soru Bankası	114	Birbirine paralel iki doğru parçasının uzunlukları 3 cm ve 5 cm olup, bu doğru parçalarının ortak uzunluğu 2 cm ise, bu doğru parçalarının toplam uzunluğu kaç cm'dir?	8 cm	10 cm	12 cm	14 cm	16 cm	C		R1_legacy_v3		fail	wrong_topic	claude-text-faz-6-6: Aromat TURKCE tag, content MATEMATIK + nonsense
c423b8cb-3be0-50d6-8740-bf2f8cbda94e	MATEMATIK	2019-2020-Apotemi-Tyt Matematik Soru Bankası	47	"a ve b pozitif tam sayı için 
ÖRNEK: 12 = 3 × 4² 
ögrencilerin sağından her birinin 
ögrenci numarası a × b² olur."	a = 3 ve b = 4	a = 4 ve b = 3	a = 3 ve b = 2	a = 2 ve b = 3	a = 2 ve b = 4	A		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: ÖRNEK + 'öğrenci numarası a*b²' text garbled
3fe64080-0593-5fc5-aac1-577d2577c5b5	MATEMATIK	2023-2024-ACİL-TYT Matematik Soru Bankası	83	Bir trapezın bir tabanı 10 cm, diğer tabanı 14 cm ve yüksekliği 8 cm ise, bu trapezın alanını bulalım.	40 cm²	50 cm²	60 cm²	70 cm²	80 cm²	B		R1_legacy_v3		fail	wrong_answer	claude-text-faz-6-6: Trapez alan=(10+14)/2*8=96; pool B=50 yanlış
1dc3ccd8-73a9-510f-9e74-e3719efb5f35	TARIH	Bilgi Sarmal Tyt Tarih Soru Bankası 2024	55	Birbirine komşu açıların topllamı kaç derecedir?	180°	90°	360°	120°	100°	A		R1_legacy_v3		fail	wrong_topic	claude-text-faz-6-6: TARIH tag, komşu açılar MATEMATIK content
8672c1d6-a7b7-55fe-a3ea-4951b1079d4a	GENEL	ACİL-2025-TYT-Soru Bankası	343	"1. Dik koordinat düzleminde [0, 1] kapalı aralığı üzerinde tanımlı f fonksiyonu ile y = x doğrusunun grafikleri aşağıda verilmiştir.

(0, 1) açık aralığındaki a, b ve c gerçel sayıları için
a > f(a)
b = f(b)
c < f(c)
olduğuna göre f(a), f(b) ve f(c) değerleri için aşağıdaki sıralamalardan hangisi doğrudur?"	f(a) < f(b) < f(c)	f(a) < f(c) < f(b)	f(b) < f(a) < f(c)	f(c) < f(a) < f(b)	f(a) < f(b) < f(a)	A	/static/crops/ACİL-2025-TYT-Soru_Bankası/ACİL-2025-TYT-Soru_Bankası_p0343_q02.png	R1_legacy_v3	tier1_page_inline	unclear	needs_image	claude-text-faz-6-6: f(a) sıralama grafik image-bound
9529aa96-e153-5fa3-9da5-d8a7fbdcd81f	MATEMATIK	Bilgi Sarmalı-2023-2024-Problemler Soru Bankası	39	Amerikan Bay, bir günde beş ayakir. Bir gün önce 1721 topu oynadığını ve 100 top kazanacağını söyledi. Bu gün, Amerikan Bay, bir günde 100 top kazanacağını söyledi. Bu durumda Bay'ın kazanma olasılığı kaçtır?	0.23	0.24	0.25	0.26	0.27	B		R1_legacy_v3		fail	other	claude-text-faz-6-6: 'Amerikan Bay 5 ayakir' nonsense AI
9e64e2ab-be8f-53e6-b490-4b98cf549fbd	TARIH	Bilgi Sarmali Ayt Tarih Soru Bankasi 2021 2022	92	1923 Ankara Savaşı'nın Demokrat Parti'nin oylarına göre sonuçları:	41 Yatılı	47 Yatılı	51 Yatılı	57 Yatılı	61 Yatılı	B		R1_legacy_v3		fail	other	claude-text-faz-6-6: '1923 Ankara Savaşı Demokrat Parti' anakronizm
af076833-3b27-5c53-a0f0-0f7d132d7e27	GEOMETRI	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	307	Kırmızı, mavi ve gri renkli bölgelerin alanları verilmiştir. Buna göre, alanları en büyük olan bölge kaç cm²'dir?	100 cm²	120 cm²	140 cm²	160 cm²	180 cm²	A		R1_legacy_v3		unclear	needs_image	claude-text-faz-6-6: Renkli bölge alanları image-bound
2b5e362c-787e-5fd0-9f09-c873f829fbba	GEOMETRI	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	161	"ABC üçgeninin kenar uzunluklarının tamamı kullanılarak bir A kümesi, KLM üçgeninin kenar uzunluklarının tamamı kullanılarak bir K kümesi aşağıdaki gibi oluşturulmuştur.

Bu kümelerin elemanları santimetre cinsinden olduğuna göre ABC üçgeninin alanı KLM üçgeninin alanının kaç katıdır?"	\sqrt{2}	\sqrt{3}	\sqrt{4}	\sqrt{5}	\sqrt{6}	D	/static/crops/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0161_q01.png	R1_legacy_v3	tier1_page_inline	unclear	needs_image	claude-text-faz-6-6: ABC/KLM üçgen kümeleri image-bound
