id	source_book	source_page	question_text	question_image_url	has_diagram_flag
a47ecdd1-59dc-5d46-943d-ab383843d057	Orijinal2024-Ayt-Matematik Soru Bankası	367	"Aşağıdaki dik koordinat düzleminde $d: y = 18 - 3x$ doğrusu, $y = 4x^2 - x^3$ eğrisine T noktasında teğettir.
Buna göre, boyalı A ve B alanlarının toplamı kaç birimkaredir?"		true
c4b4a746-3547-5da8-9814-b442d7d7ac5d	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	243	Kenar uzunlukları $12 \text{ cm}$ ve $16 \text{ cm}$ olan dikdörtgen bir çerçeve önce uzun kenarı zemine paralel olacak şekilde duvara asılıyor. Daha sonra bu çerçeve A köşesi etrafında dönerek bir kö		true
5a4df668-ce78-572a-ac10-c8b9a33701b4	Egsersiz Tyt Fizik Soru Bankası 2021	75	Sürtünmesiz yatay düzlemlerde bulunan kütleleri sırasıyla $m_X$, $m_Y$ ve $m_Z$ olan X, Y ve Z cisimlerine sırasıyla $F_X$, $F_Y$ ve $F_Z$ kuvvetleri Şekil - I'deki gibi yatay düzlemlere paralel olara		true
68bcb586-92f7-5197-90cd-1493838da155	Bilgi Sarmalı-Tyt Ayt-Geometri Soru Bankası	45	"Aşağıda yere dik durumda 25 metre uzunluğunda bir direk ile bu direkten 15 metre ve 24 metre uzaklıkta sırasıyla A ve B binaları verilmiştir.
Bu direk P noktası sabit kalmak şartıyla sola doğru yatırı"		true
f43b278d-676b-5575-9f55-5a94f85f7133	ACİL-TYT-AYT-Geometri Soru Bankası	385	Şekildeki koni, yüksekliği $8$ cm olan içi dolu dikdörtgenler prizmasına $5$ cm girecek şekilde yerleştiriliyor. $|OB|=3$ cm, $|AB|=5$ cm Buna göre, oluşan oyuğun alanı kaç $\text{cm}^2$dir?		true
71630290-d706-589e-92cc-80a33c4a2aee	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bankası	80	ABC dik üçgen, $[AB] \perp [AC]$, G noktası ABC üçgensel bölgesinin ağırlık merkezi, $[AD] \perp [BC]$, $|GD| = |BC|$, $|AG| = 6$ cm, $|DC| = 11$ cm. Yukarıdaki verilere göre, $|GD| = x$ kaç cm'dir?		true
b88a914c-dc8d-51f8-bf1a-c6acb667c7d6	ACİL-TYT-AYT-Geometri Soru Bankası	312	Aşağıdaki dik koordinat düzleminde B noktasında kesişen, $y=x$ ve $3x+4y-36=0$ doğruları verilmiştir. Buna göre, $|AB|/|BC|$ oranı kaçtır?		true
05171108-f7a8-5e50-82f5-e5b84c043820	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	214	Aşağıdaki sayı doğrusu üzerinde bulunan 3 noktasına pergelin bir ucu batırılıyor. Pergel $\log_2 18$ birim açılarak A ve B noktalarından geçen bir çember çiziliyor. Buna göre, A noktası ile B noktası 		true
d01da84f-f116-5d0c-b167-938fad2fa47e	Esen Yks Motivasyon Kimya Soru Bankası	193	Sıcaklık-zaman grafikleri şekilde gösterilen X ve Y maddeleri için aşağıdaki yargılardan hangisi kesinlikle doğrudur?		true
4c976607-fe9f-5d97-9a22-0c05a84d1e07	ACİL-2025-TYT-Soeu Bankası	336	Bir kenarı $y=4$ doğrusu diğer kenarı y-ekseni ve bir köşesi de $y=x^2$ eğrisi üzerinde değişen dikdörtgenlerden alanı en büyük olanın alanı kaç birimkaredir?		true
