idx,id,subj,exam,key
0,81ca7c5d-87bf-5f99-aa2e-74c1ff7f543d,KIMYA,TYT,E
1,64316c0f-08fc-5b31-88f0-a4adab3e8ae7,KIMYA,TYT,C
2,55089682-6819-5980-9018-773e21849370,KIMYA,TYT,D
3,aaf7897a-6634-558a-b6b1-2d7362488ed7,MATEMATIK,TYT,D
4,be47a2b5-eed1-5de5-94c5-a011cb3331f9,KIMYA,TYT,D
5,c60a4ab6-a891-5e43-8ac0-394230d38a8a,FIZIK,TYT,C
6,0344bdd2-b463-5b43-9dd9-8cf1190e48c4,KIMYA,TYT,A
7,dab4b22a-4b3c-5352-a364-49c58cff49db,KIMYA,TYT,E
8,fe11ae48-d802-5676-8621-db82f433862e,KIMYA,TYT,C
9,ddfe3ad9-a044-5f42-a854-e76b6239e8fb,FIZIK,TYT,A
10,130d6f92-acf9-5eca-b8b3-49dbc3ac1e81,KIMYA,TYT,E
11,4e88a878-9916-5faf-a66d-eccd2f23af42,FIZIK,TYT,A
12,b64345e5-69cc-5816-b9a7-c70305aaf32e,KIMYA,TYT,C
13,a01bffce-c8e7-5a50-a68b-c7c50f3cac15,MATEMATIK,TYT,D
14,9c9a522e-3c15-5598-989c-b1ec7b2c7c80,FIZIK,TYT,A
15,2267606d-b539-5983-8a25-c6911f26358c,KIMYA,TYT,D
16,46b7976b-677c-5bb2-928c-8182f028b083,TURKCE,TYT,C
17,e1688216-3406-5854-8099-65fc208e9960,TURKCE,TYT,A
18,cd2aaa2e-3ba2-5dbd-8a4f-b79ba81b2daa,FIZIK,TYT,B
19,fe74f3d7-c7d7-5ba8-b9fc-01f2f1ad4c66,KIMYA,TYT,C
20,9c814a6a-18a7-50cc-bbc0-dd78541d06ed,KIMYA,TYT,E
21,0286b133-684f-5811-bf53-b17e0750673f,KIMYA,TYT,E
22,f92bf036-f5d0-5724-8271-89a4bb136b1d,KIMYA,TYT,D
23,0cdb1688-c403-595f-b512-cdd11615e129,EDEBIYAT,AYT,D
24,9b5b7881-c28f-5ab9-a9e7-49bd4b29f5db,GEOMETRI,TYT,B
25,7ea7dcf9-068f-5011-b24b-03379b9099be,KIMYA,TYT,C
26,f0047f99-f416-51af-a27a-cdeb5b6df4c2,KIMYA,TYT,C
27,b782c6a3-dd01-5699-a47b-496d882c1569,KIMYA,TYT,E
28,0628f5af-41ce-515f-81d9-34abf959631c,KIMYA,TYT,B
29,2a4e67a3-d453-5e2d-bc6e-35803c719604,KIMYA,TYT,B
30,23bf10ce-2721-5cbd-b8ce-b3b4e83377c2,TURKCE,TYT,E
31,9fdc173a-bceb-5a65-a79b-855c91d0c085,MATEMATIK,TYT,A
32,48c3fdef-f5c5-57b5-a128-d7102981cca6,TURKCE,TYT,D
33,f1793b90-314f-5917-aaa5-b4187844dd3e,TURKCE,TYT,C
34,e887a3ec-c7cc-51d6-9046-3c41156ff7fb,MATEMATIK,TYT,A
35,2530d190-1419-5cfc-9335-bbb0983aef32,FIZIK,TYT,E
36,081cb53b-28de-51e8-a89c-60dc9bed7ee6,TURKCE,TYT,D
37,8bafe0a6-492f-5f09-8c95-f7f75b9f8103,TURKCE,TYT,E
38,d35042b5-e907-5217-bc2b-4a5e9c0bbb3f,KIMYA,TYT,B
39,0447c283-6893-539e-a350-5aa7b196f292,KIMYA,TYT,B
40,f03604e8-2f58-549d-b9a1-e222b199069d,KIMYA,TYT,A
41,31f70c6f-a756-5427-8416-0cd67e77ba0c,KIMYA,TYT,E
42,802c7454-27f9-5f82-90a5-1fa0ab535b60,TARIH,TYT,A
43,8da300b3-6e78-54b6-9db9-98725d3b4f27,MATEMATIK,TYT,C
44,c3419418-0234-56f6-b6b1-c338f4f97665,BIYOLOJI,TYT,A
45,87460f54-c744-5e1e-9fae-f8457d285a34,EDEBIYAT,AYT,C
46,418a35e8-0371-57f5-81cd-a228b03c8bca,TURKCE,TYT,A
47,0581427b-dcd8-50b2-b137-9ddfdab843cd,KIMYA,TYT,A
48,0ab0ef07-5618-59c0-bc30-a570708907ce,TURKCE,TYT,B
49,66461db3-81fe-5921-8947-8d6906d2f545,KIMYA,TYT,C
50,e7007c2b-3da5-575e-8309-e33f8da205ea,TARIH,TYT,C
51,0fb77c96-bbba-508f-9041-9e93d3953244,MATEMATIK,TYT,E
52,3f828a0e-f43f-51fc-81af-cc107a726e48,MATEMATIK,TYT,D
53,a449f090-e69b-5fb0-9a69-36a7f7128a50,COGRAFYA,TYT,E
54,3d118aa5-84a4-5340-bf37-c9fffbd074df,MATEMATIK,TYT,A
55,7d7c68b4-9669-588e-94a0-b6e2c4001a0c,KIMYA,TYT,D
56,2104d19b-959e-539b-8c46-cef0914f9c9d,TURKCE,TYT,D
57,e2eb728c-2c6e-54da-9f26-0d572cbb8272,TURKCE,TYT,B
58,1d21657f-6ac0-5417-b9c4-6fb6afae22d1,KIMYA,TYT,A
59,8800679f-ecba-5e0f-a816-92a0852ae233,KIMYA,TYT,A
60,cea672fc-652f-5001-ab7a-0248783ab06d,TURKCE,TYT,D
61,57689105-2c5e-5df1-9a2a-f3c2eadd9c7b,KIMYA,TYT,A
62,dfbe324a-82f7-5509-bbde-700e600cd47e,KIMYA,TYT,C
